Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number,Vat Registration Num
,,24/09/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,1410020062,"152,178.57",NCCRCD Management,LS9 7TF,,,PUBLIC,,
,,24/09/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,1410020064,"106,029.38",NCCRCD Management,LS9 7TF,,,PUBLIC,,
,,24/09/2015,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-544268-110382,"244,814.00",Invention for Innovation,EC1V 2PD,,,PUBLIC,,
,,24/09/2015,Research & development,DG: RDD,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ERS-544271-110381,"79,733.34",Invention for Innovation,S75 2PY,,,PUBLIC,,
,,24/09/2015,Additions Other loans,DG: SFNHS,NHS PROPERTY SERVICES LTD,NHSPS LOAN24/9/15,"30,000,000.00",,SE1 6LH,,,PUBLIC,,
,,25/09/2015,Research & development,DG: SFNHS,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,4000437136,"357,583.50",SBRI competition - Renal care,S5 7AU,,,PUBLIC,,
,,28/09/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,1410026206,"120,959.44",NCCRCD Management,LS9 7TF,,,PUBLIC,,
,,28/09/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,1410026227,"25,539.99",NCCRCD Management,LS9 7TF,,,PUBLIC,,
,,28/09/2015,Addition Clearing - SW LIC,DG: IGT,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,15354579,"66,437.69","Capital: LSP NME - STAFA and Local Change costs associated with deployment of Lorenzo at Warrington & Halton NHS Foundation Trust - 2014/15 outstanding costs to be reimbursed - July'15					 ",WA7 2DA,,,PUBLIC,,
,,28/09/2015,Service charge,DG: IGT,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,15354579,"195,922.22","Revenue: LSP NME - STAFA and Local Change costs associated with deployment of Lorenzo at Warrington & Halton NHS Foundation Trust - 2014/15 outstanding costs to be reimbursed - July'15					 ",WA7 2DA,,,PUBLIC,,
,,28/09/2015,Outsourcing Contract,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8214898,"198,961.00",UK Cochrane Centre ,OX3 7HE,,,PUBLIC,,
,,28/09/2015,Additions NHS FTs Capital Investment Loans,DG: Central Technical,5 BOROUGH PARTNERSHIP NHS FOUNDATION TRUST,HAFS-18796,"9,500,000.00",,WA2 8WA,,,PUBLIC,,
,,28/09/2015,ED 30/07/2015 Additions-PDC permanent,DG: Central Technical,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,HAFS-18797,"468,000.00",,WF3 1WE,,,PUBLIC,,
,,28/09/2015,Additions NHS FTs Working Capital Loans,DG: Central Technical,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-18798,"20,000,000.00",,CB2 2QQ,,,PUBLIC,,
,,28/09/2015,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,EPSOM & ST HELIER UNIVERSITY HOSPITAL NHS TRUST,HAFS-18799,"38,000.00",,SM5 1AA,,,PUBLIC,,
,,28/09/2015,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,HAFS-18800,"46,000.00",,SN3 6BB,,,PUBLIC,,
,,28/09/2015,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,HINCHINGBROOKE HEALTH CARE NHS TRUST,HAFS-18801,"165,000.00",,PE29 6NT,,,PUBLIC,,
,,28/09/2015,Additions NHS FTs Capital Investment Loans,DG: Central Technical,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-18802,"1,865,000.00",,LU4 0D,,,PUBLIC,,
,,28/09/2015,Additions NHS FTs Capital Investment Loans,DG: Central Technical,POOLE HOSPITAL NHS FOUNDATION TRUST,HAFS-18803,"850,000.00",,BH15 2JB,,,PUBLIC,,
,,28/09/2015,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,HAFS-18804,"346,000.00",,S10 2TH,,,PUBLIC,,
,,28/09/2015,Additions NHS FTs Capital Investment Loans,DG: Central Technical,SOUTH TYNESIDE NHS FOUNDATION TRUST,HAFS-18805,"1,950,000.00",,NE34 0PL,,,PUBLIC,,
,,28/09/2015,Additions FT Financing Facility Loans,DG: Central Technical,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,HAFS-18806,"3,066,000.00",,CV34 5BW,,,PUBLIC,,
,,28/09/2015,Additions NHS FTs Capital Investment Loans,DG: Central Technical,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-18807,"1,825,000.00",,SW17 0QT,,,PUBLIC,,
,,28/09/2015,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,THE ROYAL WOLVERHAMPTON NHS TRUST,HAFS-18808,"2,323,000.00",,WV10 0QP,,,PUBLIC,,
,,28/09/2015,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,THE ROYAL WOLVERHAMPTON NHS TRUST,HAFS-18809,"527,000.00",,WV10 0QP,,,PUBLIC,,
,,28/09/2015,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,HAFS-18810,"432,000.00",,B29 6JS,,,PUBLIC,,
,,28/09/2015,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST.,HAFS-18811,"3,109,000.00",,ST4 7LN,,,PUBLIC,,
,,28/09/2015,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,WEST LONDON MENTAL HEALTH NHS TRUST,HAFS-18812,"15,269,000.00",,UB1 3EU,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-544412-110467,"80,236.56",HTA Researcher Lead,L12 2AP,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-544412-110467,"18,118.00",Research for Patient Benefit,L12 2AP,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-544412-110467,"145,180.00",HTA Researcher Lead,L12 2AP,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-544412-110467,"23,828.00",HTA Researcher Lead,L12 2AP,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,ERS-544413-110523,"66,137.00",Programme Grants for NHS Trusts,BA1 3QE,,,PUBLIC,,GB654912228
,,29/09/2015,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-544415-110619,"9,263.66",Research for Patient Benefit,E1 8PR,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-544415-110619,"19,236.00",Programme Grants for NHS Trusts,E1 8PR,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-544415-110619,"89,268.00",Programme Grants for NHS Trusts,E1 8PR,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-544415-110619,"101,424.00",Programme Grants for NHS Trusts,E1 8PR,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-544415-110619,"17,995.00",Research for Patient Benefit,E1 8PR,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-544415-110619,"86,339.00",Programme Grants for NHS Trusts,E1 8PR,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-544415-110619,"16,666.00",Experimental Cancer Medicine Centres,E1 8PR,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,ERS-544418-110614,"16,755.00",Research for Patient Benefit,RG7 4BQ,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,ERS-544418-110614,"34,491.00",Research for Patient Benefit,RG7 4BQ,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-544420-110545,"25,061.00",Research for Patient Benefit,B15 2PZ,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-544420-110545,"90,958.00",Programme Grants for NHS Trusts,B15 2PZ,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-544420-110545,"47,570.67",HTA Commissioned Research,B15 2PZ,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ERS-544421-110501,"25,740.00",Research for Patient Benefit,B4 6NL,,,PUBLIC,,GB654964300
,,29/09/2015,Research & development,DG: RDD,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST RYW,ERS-544422-110616,"5,887.00",Research for Patient Benefit,B13 8JL,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST RYW,ERS-544422-110616,"93,769.00",Programme Grants for NHS Trusts,B13 8JL,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST RYW,ERS-544422-110616,"61,310.00",Programme Grants for NHS Trusts,B13 8JL,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BIRMINGHAM WOMENS NHS FOUNDATION TRUST,ERS-544424-110494,"31,366.00",Research for Patient Benefit,B16 6TW,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-544425-110542,"27,257.00",Research for Patient Benefit,FY3 8NR,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-544426-110463,"17,396.00",Research for Patient Benefit,WF3 1WE,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-544426-110463,"37,625.75",HS & DR,WF3 1WE,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-544426-110463,"85,873.00",Programme Grants for NHS Trusts,WF3 1WE,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-544426-110463,"91,550.00",Programme Grants for NHS Trusts,WF3 1WE,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-544426-110463,"44,734.00",Research for Patient Benefit,WF3 1WE,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-544426-110463,"25,572.92",HS & DR,WF3 1WE,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-544426-110463,"24,603.00",Research for Patient Benefit,WF3 1WE,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-544426-110463,"69,304.00",Programme Grants for NHS Trusts,WF3 1WE,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-544428-110540,"19,417.00",Research for Patient Benefit,BN2 3EW,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-544428-110540,"12,506.00",Research for Patient Benefit,BN2 3EW,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-544428-110540,"5,992.00",Research for Patient Benefit,BN2 3EW,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-544428-110540,"95,801.00",Programme Grants for NHS Trusts,BN2 3EW,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ERS-544432-110543,"45,317.00",Research for Patient Benefit,HP7 0JD,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-544433-110480,"25,561.00",Research for Patient Benefit,CB2 2QQ,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-544433-110480,"20,833.00",Experimental Cancer Medicine Centres,CB2 2QQ,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-544433-110480,"16,359.61",HTA Customer Priority Research,CB2 2QQ,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-544433-110480,"63,233.00",CJD ,CB2 2QQ,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,ERS-544437-110612,"19,734.00",Research for Patient Benefit,NW1 0PE,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,ERS-544437-110612,"27,994.00",Programme Grants for NHS Trusts,NW1 0PE,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,ERS-544437-110612,"80,115.00",Programme Grants for NHS Trusts,NW1 0PE,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,CARDIFF AND VALE UNIVERSITY LOCAL HEALTH BOARD,ERS-544439-110552,"59,479.80",HTA Researcher Lead,CF4 4XW,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,ERS-544441-110520,"20,512.00",Research for Patient Benefit,NW1 7QY,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,ERS-544441-110520,"16,544.00",Research for Patient Benefit,NW1 7QY,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-544442-110525,"22,571.00",Research for Patient Benefit,M13 0JR,,,PUBLIC,,GB654415538
,,29/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-544442-110525,"27,397.00",Research for Patient Benefit,M13 0JR,,,PUBLIC,,GB654415538
,,29/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-544442-110525,"18,944.00",Research for Patient Benefit,M13 0JR,,,PUBLIC,,GB654415538
,,29/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-544442-110525,"25,995.00",Research for Patient Benefit,M13 0JR,,,PUBLIC,,GB654415538
,,29/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-544442-110525,"19,443.00",Research for Patient Benefit,M13 0JR,,,PUBLIC,,GB654415538
,,29/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-544442-110525,"19,455.00",Research for Patient Benefit,M13 0JR,,,PUBLIC,,GB654415538
,,29/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-544442-110525,"20,301.00",Research for Patient Benefit,M13 0JR,,,PUBLIC,,GB654415538
,,29/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-544442-110525,"30,000.00",HTA Commissioned Research,M13 0JR,,,PUBLIC,,GB654415538
,,29/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-544442-110525,"44,577.45",HTA Researcher Lead,M13 0JR,,,PUBLIC,,GB654415538
,,29/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-544442-110525,"7,770.29",HS & DR,M13 0JR,,,PUBLIC,,GB654415538
,,29/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-544442-110525,"22,821.31",HS & DR,M13 0JR,,,PUBLIC,,GB654415538
,,29/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-544442-110525,"20,290.00",Experimental Cancer Medicine Centres,M13 0JR,,,PUBLIC,,GB654415538
,,29/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-544442-110525,"66,976.00",HTA Researcher Lead,M13 0JR,,,PUBLIC,,GB654415538
,,29/09/2015,Research & development,DG: RDD,DERBY HOSPITALS NHS FOUNDATION TRUST,ERS-544445-110516,"132,074.20",HTA Researcher Lead,DE1 2QS,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,DEVON PARTNERSHIP NHS TRUST,ERS-544446-110534,"86,609.00",Programme Grants for NHS Trusts,EX2 5DW,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,DEVON PARTNERSHIP NHS TRUST,ERS-544446-110534,"20,638.00",Research for Patient Benefit,EX2 5DW,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,EAST & NORTH HERTFORDSHIRE NHS TRUST,ERS-544449-110531,"34,171.00",Research for Patient Benefit,BS1 2NP,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,EAST LONDON NHS FOUNDATION TRUST,ERS-544452-110532,"67,140.00",Programme Grants for NHS Trusts,E1 1RD,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,EAST LONDON NHS FOUNDATION TRUST,ERS-544452-110532,"14,231.00",Programme Grants for NHS Trusts,E1 1RD,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,ERS-544453-110538,"144,385.00",Programme Grants for NHS Trusts,NG8 3LL,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-544461-110498,"38,085.23",HS & DR,WC1N 3JH,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-544461-110498,"5,167.00",Research for Patient Benefit,WC1N 3JH,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,ERS-544462-110546,"3,378.00",Research for Patient Benefit,M25 3BL,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,ERS-544462-110546,"107,872.00",HTA Commissioned Research,M25 3BL,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,ERS-544462-110546,"22,809.00",Research for Patient Benefit,M25 3BL,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,ERS-544462-110546,"20,878.00",Research for Patient Benefit,M25 3BL,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-544463-110487,"44,275.00",Programme Grants for NHS Trusts,SE1 9RT,,,PUBLIC,,GB654923417
,,29/09/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-544463-110487,"19,637.01",HS & DR,SE1 9RT,,,PUBLIC,,GB654923417
,,29/09/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-544463-110487,"12,218.00",Research for Patient Benefit,SE1 9RT,,,PUBLIC,,GB654923417
,,29/09/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-544463-110487,"46,951.00",Invention for Innovation,SE1 9RT,,,PUBLIC,,GB654923417
,,29/09/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-544463-110487,"8,120.00",Research for Patient Benefit,SE1 9RT,,,PUBLIC,,GB654923417
,,29/09/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-544463-110487,"26,017.00",Research for Patient Benefit,SE1 9RT,,,PUBLIC,,GB654923417
,,29/09/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-544463-110487,"42,243.63",HTA Commissioned Research,SE1 9RT,,,PUBLIC,,GB654923417
,,29/09/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-544463-110487,"100,958.23",HTA Commissioned Research,SE1 9RT,,,PUBLIC,,GB654923417
,,29/09/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-544463-110487,"8,333.00",Experimental Cancer Medicine Centres,SE1 9RT,,,PUBLIC,,GB654923417
,,29/09/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-544463-110487,"72,726.00",Programme Grants for NHS Trusts,SE1 9RT,,,PUBLIC,,GB654923417
,,29/09/2015,Research & development,DG: RDD,HEART OF ENGLAND NHS FOUNDATION TRUST,ERS-544464-110505,"23,330.00",Research for Patient Benefit,B9 5TA,,,PUBLIC,,GB654912816
,,29/09/2015,Research & development,DG: RDD,HEART OF ENGLAND NHS FOUNDATION TRUST,ERS-544464-110505,"27,400.00",Research for Patient Benefit,B9 5TA,,,PUBLIC,,GB654912816
,,29/09/2015,Research & development,DG: RDD,HEART OF ENGLAND NHS FOUNDATION TRUST,ERS-544464-110505,"24,991.00",Research for Patient Benefit,B9 5TA,,,PUBLIC,,GB654912816
,,29/09/2015,Research & development,DG: RDD,HEART OF ENGLAND NHS FOUNDATION TRUST,ERS-544464-110505,"10,668.64",HS & DR,B9 5TA,,,PUBLIC,,GB654912816
,,29/09/2015,Research & development,DG: RDD,HEART OF ENGLAND NHS FOUNDATION TRUST,ERS-544464-110505,"71,930.34",HTA Commissioned Research,B9 5TA,,,PUBLIC,,GB654912816
,,29/09/2015,Research & development,DG: RDD,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,ERS-544465-110533,"21,000.00",Research for Patient Benefit,AL3 5TL,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,ERS-544465-110533,"30,753.00",Research for Patient Benefit,AL3 5TL,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,ERS-544465-110533,"19,817.00",Research for Patient Benefit,AL3 5TL,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-544467-110503,"25,787.29",HTA Researcher Lead,E9 6ZZ,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ERS-544469-110527,"52,329.51",EME - ( NETSCC ),HU16 5JQ,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ERS-544469-110527,"76,498.00",Programme Grants for NHS Trusts,HU16 5JQ,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-544470-110548,"4,225.00",Research for Patient Benefit,W12 0HS,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-544470-110548,"8,333.00",Experimental Cancer Medicine Centres,W12 0HS,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-544470-110548,"35,890.00",Research for Patient Benefit,W12 0HS,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-544470-110548,"25,123.00",Research for Patient Benefit,W12 0HS,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-544478-110490,"56,644.00",Programme Grants for NHS Trusts,SE5 9RS,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-544478-110490,"103,657.00",Programme Grants for NHS Trusts,SE5 9RS,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-544478-110490,"50,936.66",HTA Commissioned Research,SE5 9RS,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-544478-110490,"38,422.00",Invention for Innovation,SE5 9RS,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-544483-110506,"8,333.00",Experimental Cancer Medicine Centres,LS9 7TF,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-544483-110506,"118,709.00",Programme Grants for NHS Trusts,LS9 7TF,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-544483-110506,"16,752.87",HS & DR,LS9 7TF,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-544483-110506,"16,416.00",Research for Patient Benefit,LS9 7TF,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-544483-110506,"20,250.00",Research for Patient Benefit,LS9 7TF,,,PUBLIC,,
,,29/09/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-544483-110506,"25,310.00",Research for Patient Benefit,LS9 7TF,,,PUBLIC,,
