Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,,
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Change Assurance and Investment,TNT UK LTD,5100071736,£466.86,Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Corporate Finance,TNT UK LTD,5100071736,£509.30,Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,S&ID,TNT UK LTD,5100071736,£721.51,Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,BT Change,TNT UK LTD,5100071736,£933.71,Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Commercial Directorate,TNT UK LTD,5100071736,£976.16,Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Corporate Communications,TNT UK LTD,5100071736,"£1,230.82",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Business Customer & Strategy,TNT UK LTD,5100071736,"£1,400.58",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Civil Service Resourcing,TNT UK LTD,5100071736,"£1,782.55",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Customs Directorate,TNT UK LTD,5100071736,"£1,952.33",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,CTIS,TNT UK LTD,5100071736,"£2,079.65",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,E&C Central Services,TNT UK LTD,5100071736,"£2,164.54",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Indirect Tax Directorate,TNT UK LTD,5100071736,"£2,291.86",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Information Management Services,TNT UK LTD,5100071736,"£2,461.62",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Solicitors Office,TNT UK LTD,5100071736,"£2,631.40",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Corporate Finance,TNT UK LTD,5100071736,"£3,098.26",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,PT Customer Product & Process,TNT UK LTD,5100071736,"£3,480.23",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Estates & Support Services,TNT UK LTD,5100071736,"£4,498.82",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Counter Avoidance Directorate,TNT UK LTD,5100071736,"£7,002.90",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,HR,TNT UK LTD,5100071736,"£7,087.78",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Information Management Services,TNT UK LTD,5100071736,"£7,299.98",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Business Tax Operations,TNT UK LTD,5100071736,"£8,827.90",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Tax Professionalism & Assurance,TNT UK LTD,5100071736,"£8,870.34",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Specialist Investigations (SI),TNT UK LTD,5100071736,"£10,865.10",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Specialist PT,TNT UK LTD,5100071736,"£11,586.61",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Large Business Directorate,TNT UK LTD,5100071736,"£14,302.88",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Criminal Investigations,TNT UK LTD,5100071736,"£16,170.32",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Risk & Intelligence,TNT UK LTD,5100071736,"£20,032.52",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Benefits & Credits Delivery,TNT UK LTD,5100071736,"£39,683.05",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Debt Management & Banking,TNT UK LTD,5100071736,"£48,510.96",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,Local Compliance,TNT UK LTD,5100071736,"£88,194.04",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,PT Operations,TNT UK LTD,5100071736,"£102,454.48",Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,100 PS Service Charg,Estates & Support Services,EXCHEQUER PARTNERSHIP PLC,5100071980,"£1,239,840.98",Monthly charge for fully serviced accommodation at 100 Parliament Street London,M41 7HG,,,,,,
HMRC,HMRC,08/12/2015,100 PS Service Charg,Estates & Support Services,EXCHEQUER PARTNERSHIP PLC,5100071980,"£1,290,446.74",Monthly charge for fully serviced accommodation at 100 Parliament Street London,M41 7HG,,,,,,
HMRC,HMRC,09/12/2015,Debt coll serv (DEL),Debt Management & Banking,COMMERCIAL COLLECTION SERVICES,5100071743,"£35,525.17",Debt Collection Services,CR7 6YY,,,,,,
HMRC,HMRC,09/12/2015,Min AW non-struc VAT,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071757,"£28,355.47",Essential work at Holland House Bournemouth,WD17 1HN,,,,,,
HMRC,HMRC,09/12/2015,Employee education,HR,CAPITA BUSINESS SERVICES LTD,5100071761,"£67,227.26",September costs for external training consultants,DL1 9HN,,,,,,
HMRC,HMRC,09/12/2015,Employee education,HR,CAPITA BUSINESS SERVICES LTD,5100071762,"£68,454.67",October costs for external training consultants,DL1 9HN,,,,,,
HMRC,HMRC,09/12/2015,Jackets - Stock,Estates & Support Services,ARCO LTD,5100071772,"£6,096.96",HMRC Navy Soft Shell Jacket. This relates to the purchase of operational safety goods for use by HMRC staff .,HU1 2SJ,,,,,,
HMRC,HMRC,09/12/2015,Jackets - Stock,Estates & Support Services,ARCO LTD,5100071772,"£8,637.36",HMRC Navy Soft Shell Jacket.This relates to the purchase of operational safety goods for use by HMRC staff.  ,HU1 2SJ,,,,,,
HMRC,HMRC,09/12/2015,Jackets - Stock,Estates & Support Services,ARCO LTD,5100071772,"£11,177.76",HMRC Navy Soft Shell Jacket. This relates to the purchase of operational safety goods for use by HMRC staff.  ,HU1 2SJ,,,,,,
HMRC,HMRC,09/12/2015,Marketing Promotion,Corporate Communications,GfK UK Ltd,5100071866,"£27,360.00",Self Assessment 2015 tracking research,E14 5LQ,,,,,,
HMRC,HMRC,09/12/2015,Court Fees,Debt Management & Banking,THE INSOLVENCY SERVICE,5100071885,"£153,950.00",Court Fees,B4 6FD,,,,,,
HMRC,HMRC,09/12/2015,Legal Service Sol's,Solicitors Office,TSOL,5100071894,"£107,637.05",Costs incurred by Government Legal Department for HMRC Employment legal cases.,WC2B 4TS,,,,,,
HMRC,HMRC,09/12/2015,Meeting Rooms,PT Operations,DEPARTMENT OF WORK AND PENSIONS,5100071952,"£104,707.22",NES Venue charges,NE98 1ZZ,,,,,,
HMRC,HMRC,09/12/2015,Document destruction,Estates & Support Services,BANNER BUSINESS SERVICES LTD,5100071985,"£20,705.21",Monthly charge for secure destruction of confidentially marked waste,NR3 1PD,,,,,,
HMRC,HMRC,09/12/2015,Document destruction,Estates & Support Services,BANNER BUSINESS SERVICES LTD,5100071985,"£23,348.42",Monthly charge for secure destruction of confidentially marked waste,NR3 1PD,,,,,,
HMRC,HMRC,09/12/2015,Software coding,Digital,EQUAL EXPERTS UK LTD,5100072032,"£250,815.00",Digital development contractor costs ,WC1H 9BB,,,,,,
HMRC,HMRC,09/12/2015,Government Gateway,Civil Service Resourcing,FOREIGN AND COMMONWEALTH OFFICE,5100072036,"£39,348.72",Costs for services provided by 3 Foreign & Commonwealth Office Staff on behalf of European Fast Streamers.,MK10 1PX,,,,,,
HMRC,HMRC,09/12/2015,Rent,Estates & Support Services,BERKLEY ESTATES LONDON LTD,5100072062,"£1,336.43",Monthly rent payment payable to the Landlord,W1U 1QY,,,,,,
HMRC,HMRC,09/12/2015,Rent,Estates & Support Services,BERKLEY ESTATES LONDON LTD,5100072062,"£132,306.07",Monthly rent payment payable to the Landlord,W1U 1QY,,,,,,
HMRC,HMRC,09/12/2015,Rent,Estates & Support Services,WESTMORELAND INVESTMENTS LTD,5100072063,£373.50,Monthly rent payment payable to the Landlord,LE4 8PH,,,,,,
HMRC,HMRC,09/12/2015,Rent,Estates & Support Services,WESTMORELAND INVESTMENTS LTD,5100072063,"£124,126.50",Monthly rent payment payable to the Landlord,LE4 8PH,,,,,,
HMRC,HMRC,09/12/2015,Rent,Estates & Support Services,DTZ,5100072065,"£2,151.00",Quarterly rent payment,LS1 2ND,,,,,,
HMRC,HMRC,09/12/2015,Rent,Estates & Support Services,DTZ,5100072065,"£212,949.00",Quarterly rent payment,LS1 2ND,,,,,,
HMRC,HMRC,09/12/2015,Landlord Charges,Estates & Support Services,COLLIERS INT PROPERTY  CONSULT LTD,5100072067,£303.12,Quarterly landlord service charges,W1U 7GA,,,,,,
HMRC,HMRC,09/12/2015,Landlord Charges,Estates & Support Services,COLLIERS INT PROPERTY  CONSULT LTD,5100072067,"£8,357.62",Quarterly landlord service charges,W1U 7GA,,,,,,
HMRC,HMRC,09/12/2015,Rent,Estates & Support Services,COLLIERS INT PROPERTY  CONSULT LTD,5100072067,"£28,665.00",Monthly rent payment payable to the Landlord,W1U 7GA,,,,,,
HMRC,HMRC,09/12/2015,Rent,Estates & Support Services,COLLIERS INT PROPERTY  CONSULT LTD,5100072067,"£790,335.00",Monthly rent payment payable to the Landlord,W1U 7GA,,,,,,
HMRC,HMRC,09/12/2015,Rent,Estates & Support Services,INTU,5100072068,"£1,560.90",Monthly rent payment payable to the Landlord,SW1H 0BU,,,,,,
HMRC,HMRC,09/12/2015,Rent,Estates & Support Services,INTU,5100072068,"£140,339.10",Monthly rent payment payable to the Landlord,SW1H 0BU,,,,,,
HMRC,HMRC,09/12/2015,Landlord Charges,Estates & Support Services,CUSHMAN & WAKEFIELD LLP,5100072072,"£2,874.24",Quarterly landlord service charges,G2 2ND,,,,,,
HMRC,HMRC,09/12/2015,Rent,Estates & Support Services,CUSHMAN & WAKEFIELD LLP,5100072072,"£6,179.30",Monthly rent payment payable to the Landlord,G2 2ND,,,,,,
HMRC,HMRC,09/12/2015,Landlord Charges,Estates & Support Services,CUSHMAN & WAKEFIELD LLP,5100072072,"£96,237.36",Quarterly landlord service charges,G2 2ND,,,,,,
HMRC,HMRC,09/12/2015,Rent,Estates & Support Services,CUSHMAN & WAKEFIELD LLP,5100072072,"£206,900.20",Monthly rent payment payable to the Landlord,G2 2ND,,,,,,
HMRC,HMRC,09/12/2015,Rent,Estates & Support Services,COCHRANE SQUARE SPV LTD,5100072075,"£5,169.94",Quarterly rent payment payable to the landlord,W1U 8EW,,,,,,
HMRC,HMRC,09/12/2015,Rent,Estates & Support Services,COCHRANE SQUARE SPV LTD,5100072075,"£253,326.86",Quarterly rent payment payable to the landlord,W1U 8EW,,,,,,
HMRC,HMRC,09/12/2015,Landlord Charges,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100072079,£50.60,Standard Landlord Service Charge payable to the Landlord,WD17 1HN,,,,,,
HMRC,HMRC,09/12/2015,Landlord Charges,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100072079,£821.81,Standard Landlord Service Charge payable to the Landlord,WD17 1HN,,,,,,
HMRC,HMRC,09/12/2015,Rent,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100072079,"£6,960.00",Monthly rent payment payable to the Landlord,WD17 1HN,,,,,,
HMRC,HMRC,09/12/2015,Rent,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100072079,"£113,040.00",Monthly rent payment payable to the Landlord,WD17 1HN,,,,,,
HMRC,HMRC,09/12/2015,Nat Pst Del Ser(VAT),PT Director,G3 WORLDWIDE (UK) LTD,5100072156,"£16,443.12",These are postal charges following the Ex-com decision to move all HMRC Output Management costs into PT Director . ,UB2 5LF,,,,,,
HMRC,HMRC,09/12/2015,Nat Pst Del Ser(VAT),PT Director,G3 WORLDWIDE (UK) LTD,5100072156,"£42,795.34",These are postal charges following the Ex-com decision to move all HMRC Output Management costs into PT Director . ,UB2 5LF,,,,,,
HMRC,HMRC,09/12/2015,Prof bodies subs,Information Management Services,THE CORPORATE IT FORUM LTD,5100072173,"£40,800.00",This is the annual subscription to CITF for an unlimited user licence agreement for all HMRC staff.  Agreed at SLT in September.,HP4 1AS,,,,,,
HMRC,HMRC,09/12/2015,Oth PFI unitary chrg,Estates & Support Services,NEWCASTLE ESTATE PARTNERSHIP,5100072267,"£1,876,678.72",Charges for accommodation provided under the Newcastle Private Finance Initiative contract,BS1 4DJ,,,,,,
HMRC,HMRC,09/12/2015,Oth PFI unitary chrg,Estates & Support Services,NEWCASTLE ESTATE PARTNERSHIP,5100072267,"£1,953,277.83",Charges for accommodation provided under the Newcastle Private Finance Initiative contract,BS1 4DJ,,,,,,
HMRC,HMRC,10/12/2015,Debt coll serv (DEL),Debt Management & Banking,TDX GROUP LTD,5100072273,"£238,332.94",Debt Collection Services,NG1 5FS,,,,,,
HMRC,HMRC,10/12/2015,Valuation Services,Risk & Intelligence,VALUATION OFFICE AGENCY,5100072306,"£734,429.25",Property valuations in respect of Inheritance Tax and other Tax cases - monthly payment ,W1D 5BU,,,,,,
HMRC,HMRC,11/12/2015,Forensic Services,Criminal Investigations,CCL FORENSICS LTD,5100072200,"£51,646.08",Forensic Services,CV37 6NW,,,,,,
HMRC,HMRC,11/12/2015,Employee education,Tax Professionalism & Assurance,Reed Elsevier (UK) Ltd,5100072361,"£25,030.17",Fees for Advanced Diploma in International Taxation (ADIT) for HMRC staff,SM2 5AS,,,,,,
HMRC,HMRC,11/12/2015,Specimen Isolation,Specialist Investigations (SI),IMA LTD,5100072390,"£489,168.00",Scientific Testing Equipment,LS20 8BH,,,,,,
HMRC,HMRC,11/12/2015,Nat Pst Del Ser(VAT),PT Director,UK MAIL,5100072439,"£101,115.88",These are postal charges following the Ex-com decision to move all HMRC Output Management costs into PT Director . ,SL1 4LZ,,,,,,
HMRC,HMRC,14/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100072539,"£4,493.54",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,14/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100072539,"£476,316.24",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,14/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100072596,£690.06,Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,14/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100072596,£999.38,Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,14/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100072596,"£24,751.20",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,14/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100072596,"£47,396.16",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,14/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100072597,"£2,165.10",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,14/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100072597,"£47,059.42",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,14/12/2015,Maintenance fees,Information Management Services,SKYSCAPE CLOUD SERVICES LTD,5100072601,"£276,085.51",Skyscape November-15 invoice charges for server hosting,SN13 0RP,,,,,,
HMRC,HMRC,14/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100072603,"£4,239.96",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,14/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100072603,"£32,955.14",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,14/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100072603,"£416,503.20",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,14/12/2015,Gov Bank Serv Charge,Corporate Finance,SANTANDER UK PLC,5100072683,"£44,093.96",Monthly bank charges for tax credits and Child Benefit payments by Post Office card account (POca).,L30 4GB,,,,,,
HMRC,HMRC,14/12/2015,Debt coll serv (DEL),Debt Management & Banking,ADVANTIS CREDIT LTD,5100072705,"£25,583.66",Debt Collection Services,ST4 7RY,,,,,,
HMRC,HMRC,15/12/2015,Management Agreement,Information Management Services,ACCENTURE (UK) LTD,5100072034,"£187,275.38",CapGemini November 15 invoice Charge for Management of Agreement,EC3M 3BD,,,,,,
HMRC,HMRC,15/12/2015,Sys Software Maint,Information Management Services,ACCENTURE (UK) LTD,5100072034,"£609,411.10",Accenture November Charge for S02.10 NIRS2,EC3M 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,£162.96,the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,£179.90,the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,£870.22,the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,£999.67,the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£1,069.52",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£1,757.71",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£1,874.30",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£2,027.23",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£2,488.86",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£4,672.13",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£5,273.14",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£7,250.57",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£9,036.84",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£11,791.32",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£14,139.35",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£14,903.82",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£16,083.06",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£26,113.79",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£52,184.29",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£58,928.03",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£78,085.90",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£83,296.55",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£113,787.68",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£124,643.75",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£127,738.42",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£140,067.67",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Software Coding,Information Management Services,CAPGEMINI,5100072049,"£228,082.64",the 2015/16 Enhancements Programme expenditure under MASP20008E.  The attached charges are applicable following the contractual changes relating to Revenue & Customs Digital & Technology Services Ltd (RCDTS). ,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Data storage service,Information Management Services,FUJITSU SERVICES LTD,5100072436,"-£258,000.00",Fujitsu Nov-15 invoice for S04.800 HMRC servers & payloads,W1U 3BW,,,,,,
HMRC,HMRC,15/12/2015,Software coding,Information Management Services,BAIN & COMPANCY INC UNITED KINGDOM,5100072728,"£784,800.00",Charges for IT Specialists,WC2N 5RW,,,,,,
HMRC,HMRC,15/12/2015,Gov Bank Serv Charge,Corporate Finance,RBS - NATWEST,5100072747,"£67,946.33",Monthly bank charges for tax credits and Child Benefit payments by Post Office card account (POca).,EC2M 4RB,,,,,,
HMRC,HMRC,15/12/2015,Recruitment services,Civil Service Resourcing,SPECIALIST COMPUTER CTR,5100072751,"£51,644.08",Specialist Computer Centre (SCC) is the main IT contractor for the Civil Service Fast Stream intake. Invoice covers Fast Stream reimbursables for November 2015.,B11 2LE,,,,,,
HMRC,HMRC,15/12/2015,Vehicle leasing,Criminal Investigations,INCHCAPE FLEET SOLUTIONS,5100072798,"£70,598.78",Vehicle Fleet Services,P06 4RP,,,,,,
HMRC,HMRC,15/12/2015,Vehicle leasing,PT Operations,INCHCAPE FLEET SOLUTIONS,5100072837,£349.49,Vehicle Leasing,P06 4RP,,,,,,
HMRC,HMRC,15/12/2015,Fleet mgmt services,PT Operations,INCHCAPE FLEET SOLUTIONS,5100072837,£613.04,Vehicle Leasing,P06 4RP,,,,,,
HMRC,HMRC,15/12/2015,Vehicle servicing ma,PT Operations,INCHCAPE FLEET SOLUTIONS,5100072837,"£1,083.50",Vehicle Leasing,P06 4RP,,,,,,
HMRC,HMRC,15/12/2015,Vehicle repairs,PT Operations,INCHCAPE FLEET SOLUTIONS,5100072837,"£2,950.37",Vehicle Leasing,P06 4RP,,,,,,
HMRC,HMRC,15/12/2015,Vehicle servicing ma,PT Operations,INCHCAPE FLEET SOLUTIONS,5100072837,"£9,433.46",Vehicle Leasing,P06 4RP,,,,,,
HMRC,HMRC,15/12/2015,Vehicle leasing,PT Operations,INCHCAPE FLEET SOLUTIONS,5100072837,"£17,258.68",Vehicle Leasing,P06 4RP,,,,,,
HMRC,HMRC,15/12/2015,Network Voice Serv,Information Management Services,CAPGEMINI,5100072948,£0.58,Cap Gemini November-15 invoice charge for Communication Voice Services,TF3 3BD,,,,,,
HMRC,HMRC,15/12/2015,Network Voice Serv,Information Management Services,CAPGEMINI,5100072948,£15.96,Cap Gemini November-15 invoice charge for Communication Voice Services,TF3 3BD,,,,,,
