Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department for Energy and Climate Change,Department for Energy and Climate Change,23/09/2010,External Legal Advice,Energy Markets & Infrastructure - Office of Nuclear Development,SLAUGHTER AND MAY,4017725,"£32,078",
Department for Energy and Climate Change,Department for Energy and Climate Change,23/09/2010,External Legal Advice,Energy Markets & Infrastructure - Office of Nuclear Development,SLAUGHTER AND MAY,4017725,"£32,057",
Department for Energy and Climate Change,Department for Energy and Climate Change,23/09/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4017749,"£31,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,02/09/2010,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ERNST & YOUNG LLP,4017186,"£30,810",
Department for Energy and Climate Change,Department for Energy and Climate Change,22/09/2010,Research & Development Expenditure (Programme),National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4017730,"£29,488",
Department for Energy and Climate Change,Department for Energy and Climate Change,06/09/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4017237,"£27,940",
Department for Energy and Climate Change,Department for Energy and Climate Change,09/09/2010,Independent Experts,Energy Markets & Infrastructure - Security and resilience,DSTL,4017400,"£27,857",
Department for Energy and Climate Change,Department for Energy and Climate Change,16/09/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BRE,4017457,"£25,871",
Department for Energy and Climate Change,Department for Energy and Climate Change,28/09/2010,Other Pay Costs,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4017869,"£25,090",
Department for Energy and Climate Change,Department for Energy and Climate Change,06/09/2010,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,HUGH JAMES SOLICITORS,4017256,"£25,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,29/09/2010,Technical Advice / Services & Support,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,CIVIL AVIATION AUTHORITY,4017866,"£25,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,09/09/2010,Contract Management,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",HUDSON GLOBAL RESOURCES LTD,4017249,"£24,885",
Department for Energy and Climate Change,Department for Energy and Climate Change,23/09/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4017754,"£24,817",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ADAM BOND COMMERCIAL ADVISORY LTD,4017427,"£24,799",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ADAM BOND COMMERCIAL ADVISORY LTD,4017427,"£24,799",
Department for Energy and Climate Change,Department for Energy and Climate Change,07/09/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,VIVID ECONOMICS LTD,4017297,"£24,021",
Department for Energy and Climate Change,Department for Energy and Climate Change,17/09/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4017619,"£22,792",
Department for Energy and Climate Change,Department for Energy and Climate Change,17/09/2010,Salaries - Secondees,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4017627,"£22,780",
Department for Energy and Climate Change,Department for Energy and Climate Change,20/09/2010,Technical Services,Energy Markets & Infrastructure - Office of Nuclear Development,ATKINS LTD,4017659,"£22,774",
Department for Energy and Climate Change,Department for Energy and Climate Change,07/09/2010,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - DECC Commercial Team,WRIGHT ENERGY SOLUTIONS LTD,4017308,"£22,744",
Department for Energy and Climate Change,Department for Energy and Climate Change,08/09/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,GENESIS OIL & GAS CONSULTANTS LTD,4017344,"£21,893",
Department for Energy and Climate Change,Department for Energy and Climate Change,20/09/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4017626,"£21,750",
Department for Energy and Climate Change,Department for Energy and Climate Change,09/09/2010,Economic Consultancy and Research,Energy & Climate Change International - International Climate Change Negotiations,ENERDATA,4017266,"£20,457",
Department for Energy and Climate Change,Department for Energy and Climate Change,02/09/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,CAMBRIDGE ECONOMETRICS LTD,4017175,"£19,897",
Department for Energy and Climate Change,Department for Energy and Climate Change,06/09/2010,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,HUGH JAMES SOLICITORS,4017262,"£19,163",
Department for Energy and Climate Change,Department for Energy and Climate Change,16/09/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BRE,4017460,"£18,496",
Department for Energy and Climate Change,Department for Energy and Climate Change,06/09/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4017263,"£18,046",
Department for Energy and Climate Change,Department for Energy and Climate Change,06/09/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4017263,"£18,046",
Department for Energy and Climate Change,Department for Energy and Climate Change,16/09/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,AX BUSINESS SOLUTIONS LTD,4017342,"£17,625",
Department for Energy and Climate Change,Department for Energy and Climate Change,14/09/2010,Other Staff Costs (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4017536,"£17,483",
Department for Energy and Climate Change,Department for Energy and Climate Change,09/09/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4017316,"£17,347",
Department for Energy and Climate Change,Department for Energy and Climate Change,22/09/2010,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4017738,"£16,981",
Department for Energy and Climate Change,Department for Energy and Climate Change,15/09/2010,Economic Consultancy and Research,National Climate Change & Consumer Support - Energy Efficiency & Consumers,COI COMMUNICATIONS,4017514,"£16,966",
Department for Energy and Climate Change,Department for Energy and Climate Change,07/09/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,COLLABRO,4017331,"£16,953",
Department for Energy and Climate Change,Department for Energy and Climate Change,28/09/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,AEA TECHNOLOGY plc,4017787,"£16,950",
Department for Energy and Climate Change,Department for Energy and Climate Change,14/09/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4017507,"£16,926",
Department for Energy and Climate Change,Department for Energy and Climate Change,02/09/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,INFORMED SOLUTIONS,4017165,"£16,878",
Department for Energy and Climate Change,Department for Energy and Climate Change,20/09/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,VEGA CONSULTING SERVICES LTD,4017652,"£16,800",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4017216,"£15,877",
Department for Energy and Climate Change,Department for Energy and Climate Change,06/09/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4017272,"£15,625",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Salaries - Secondees (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4017229,"£15,606",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4017194,"£15,541",
Department for Energy and Climate Change,Department for Energy and Climate Change,09/09/2010,Contract Management,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CAPITA RESOURCING LTD,4017292,"£15,327",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Other Media Costs,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4015556,"£15,272",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Other Media Costs,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4015556,"£15,272",
Department for Energy and Climate Change,Department for Energy and Climate Change,24/09/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE FOR NATIONAL STATISTICS,4017786,"£15,226",
Department for Energy and Climate Change,Department for Energy and Climate Change,28/09/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,ROCKFIELD SOFTWARE LTD,4017921,"£15,177",
Department for Energy and Climate Change,Department for Energy and Climate Change,23/09/2010,Secondees (not paid directly),Energy Markets & Infrastructure - Energy Development Unit,JACOBS ENGINEERING UK LTD,4017777,"£15,122",
Department for Energy and Climate Change,Department for Energy and Climate Change,20/09/2010,Contributions (Programme),Energy & Climate Change International - International Climate Change Negotiations,ADELPHI CONSULT GMBH T/A ICAP TRUST,4017561,"£15,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4017425,"£14,742",
Department for Energy and Climate Change,Department for Energy and Climate Change,23/09/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4017784,"£14,742",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4017425,"£14,709",
Department for Energy and Climate Change,Department for Energy and Climate Change,23/09/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4017784,"£14,709",
Department for Energy and Climate Change,Department for Energy and Climate Change,23/09/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,AX BUSINESS SOLUTIONS LTD,4017823,"£14,453",
Department for Energy and Climate Change,Department for Energy and Climate Change,17/09/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,NCIMB LTD,4017645,"£14,326",
Department for Energy and Climate Change,Department for Energy and Climate Change,01/09/2010,Economic Consultancy and Research,National Climate Change & Consumer Support - Energy Efficiency & Consumers,DIALOGUE BY DESIGN,4016916,"£14,104",
Department for Energy and Climate Change,Department for Energy and Climate Change,14/09/2010,Maintenance of IT Equipment (Programme),Energy Markets & Infrastructure - Security and resilience,MET OFFICE,4017485,"£13,930",
Department for Energy and Climate Change,Department for Energy and Climate Change,29/09/2010,Other Programme Expenditure,Energy Markets & Infrastructure - Security and resilience,DEPARTMENT FOR TRANSPORT,4017904,"£13,865",
Department for Energy and Climate Change,Department for Energy and Climate Change,29/09/2010,Hire of Conference Facilities,Energy & Climate Change International - International Climate Change Negotiations,TIANJIN BINTENG CONVENTION AND EXHIBITION MANAGEMENT CO LTD,4017845,"£13,764",
Department for Energy and Climate Change,Department for Energy and Climate Change,07/09/2010,Payments to Treasury Solicitors and Treasury Counsel,Corporate Support & Shared Services - Corporate Support & Shared Services,THE TREASURY SOLICITORS,4017258,"£13,726",
Department for Energy and Climate Change,Department for Energy and Climate Change,14/09/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4017496,"£13,118",
Department for Energy and Climate Change,Department for Energy and Climate Change,08/09/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4017369,"£13,073",
Department for Energy and Climate Change,Department for Energy and Climate Change,23/09/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4017753,"£13,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,MACE LTD,4017426,"£12,746",
Department for Energy and Climate Change,Department for Energy and Climate Change,20/09/2010,Research & Development Expenditure (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,AEA TECHNOLOGY plc,4017654,"£12,708",
Department for Energy and Climate Change,Department for Energy and Climate Change,07/09/2010,Printing,Corporate Support & Shared Services - Corporate Support & Shared Services,STAIRWAY COMMUNICATIONS LTD,4017245,"£12,258",
Department for Energy and Climate Change,Department for Energy and Climate Change,07/09/2010,Printing,Corporate Support & Shared Services - Corporate Support & Shared Services,STAIRWAY COMMUNICATIONS LTD,4017245,"£12,258",
Department for Energy and Climate Change,Department for Energy and Climate Change,23/09/2010,Cash Expenditure during the Year - Concessionary Fuel,Energy Markets & Infrastructure - Energy Development Unit,GIROBANK plc,4017540,"£12,170",
Department for Energy and Climate Change,Department for Energy and Climate Change,22/09/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4017731,"£11,973",
Department for Energy and Climate Change,Department for Energy and Climate Change,08/09/2010,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF CAMBRIDGE,4017334,"£11,921",
Department for Energy and Climate Change,Department for Energy and Climate Change,29/09/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4017944,"£11,912",
Department for Energy and Climate Change,Department for Energy and Climate Change,07/09/2010,Recruitment Advice and Services,Energy Markets & Infrastructure - Energy Development Unit,PETER LOCKYER ADVERTISING LTD,4017301,"£11,880",
Department for Energy and Climate Change,Department for Energy and Climate Change,17/09/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4017515,"£11,659",
Department for Energy and Climate Change,Department for Energy and Climate Change,15/09/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4017547,"£11,597",
Department for Energy and Climate Change,Department for Energy and Climate Change,02/09/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4017188,"£11,374",
Department for Energy and Climate Change,Department for Energy and Climate Change,15/09/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4017548,"£11,163",
Department for Energy and Climate Change,Department for Energy and Climate Change,24/09/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE FOR NATIONAL STATISTICS,4017785,"£11,016",
Department for Energy and Climate Change,Department for Energy and Climate Change,27/09/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4017862,"£10,969",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Corporate Management Consultancy,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4015556,"£10,629",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Corporate Management Consultancy,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4015556,"£10,629",
Department for Energy and Climate Change,Department for Energy and Climate Change,22/09/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,METHODS CONSULTING LTD,4017718,"£10,311",
Department for Energy and Climate Change,Department for Energy and Climate Change,09/09/2010,Contract Management,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CAPITA RESOURCING LTD,4017291,"£10,199",
Department for Energy and Climate Change,Department for Energy and Climate Change,23/09/2010,Contract Management,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CAPITA RESOURCING LTD,4017768,"£10,199",
Department for Energy and Climate Change,Department for Energy and Climate Change,09/09/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4017295,"£10,105",
Department for Energy and Climate Change,Department for Energy and Climate Change,07/09/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4017329,"£10,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,24/09/2010,External Legal Advice,Energy Markets & Infrastructure - Office of Nuclear Development,MCGRIGORS LLP,4017843,"£10,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,27/09/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4017804,"£9,975",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,TIM WOOD CONSULTING LTD,4017148,"£9,942",
Department for Energy and Climate Change,Department for Energy and Climate Change,01/09/2010,Other HR Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,AX BUSINESS SOLUTIONS LTD,4017024,"£9,459",
Department for Energy and Climate Change,Department for Energy and Climate Change,30/09/2010,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4017873,"£9,232",
Department for Energy and Climate Change,Department for Energy and Climate Change,27/09/2010,IT Maintenance and Management Services,National Climate Change & Consumer Support - Communications,AMEE UK LTD,4017894,"£9,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,14/09/2010,Other Staff Costs (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4017518,"£8,997",
Department for Energy and Climate Change,Department for Energy and Climate Change,29/09/2010,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,NORFOLK COUNTY COUNCIL,4017776,"£8,989",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Secondees (not paid directly),Energy Markets & Infrastructure - Office of Nuclear Development,COSTAIN LTD,4017414,"£8,813",
Department for Energy and Climate Change,Department for Energy and Climate Change,16/09/2010,Grants - Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,SOUTH EAST ENGLAND DEVELOPMENT AGENCY,4017565,"£8,750",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,TIM WOOD CONSULTING LTD,4017148,"£8,725",
Department for Energy and Climate Change,Department for Energy and Climate Change,14/09/2010,Other Staff Costs (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4017480,"£8,505",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Other IT Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,RISKWIZE LTD T/A ESSENTIALSKILLZ,4017228,"£8,500",
Department for Energy and Climate Change,Department for Energy and Climate Change,07/09/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TUV NEL LTD,4017076,"£8,434",
Department for Energy and Climate Change,Department for Energy and Climate Change,28/09/2010,Contract Management,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4017869,"£8,368",
Department for Energy and Climate Change,Department for Energy and Climate Change,15/09/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4017532,"£8,328",
Department for Energy and Climate Change,Department for Energy and Climate Change,29/09/2010,Payments to Treasury Solicitors and Treasury Counsel,Corporate Support & Shared Services - Corporate Support & Shared Services,THE TREASURY SOLICITORS,4017827,"£8,250",
Department for Energy and Climate Change,Department for Energy and Climate Change,20/09/2010,Technical Services,Energy Markets & Infrastructure - Office of Nuclear Development,ATKINS LTD,4017658,"£8,146",
Department for Energy and Climate Change,Department for Energy and Climate Change,21/09/2010,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FCO SERVICES,4017661,"£7,960",
Department for Energy and Climate Change,Department for Energy and Climate Change,08/09/2010,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4017357,"£7,784",
Department for Energy and Climate Change,Department for Energy and Climate Change,13/09/2010,Media Services,National Climate Change & Consumer Support - Communications,GORKANA LTD,4017490,"£7,647",
Department for Energy and Climate Change,Department for Energy and Climate Change,01/09/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4017128,"£7,609",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4017214,"£7,486",
Department for Energy and Climate Change,Department for Energy and Climate Change,16/09/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4017571,"£7,351",
Department for Energy and Climate Change,Department for Energy and Climate Change,09/09/2010,Salaries - Secondees,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4017437,"£7,336",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4017195,"£7,164",
Department for Energy and Climate Change,Department for Energy and Climate Change,07/09/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,BRITISH TRUST FOR ORNITHOLOGY (THE),4017315,"£7,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,24/09/2010,Technical Support,Science & Innovation Group - Science & Innovation Group,ENVIROS CONSULTING LTD,4017841,"£6,961",
Department for Energy and Climate Change,Department for Energy and Climate Change,06/09/2010,Emergency Planning Service,Energy Markets & Infrastructure - Security and resilience,STEELHENGE CONSULTING LTD,4017293,"£6,880",
Department for Energy and Climate Change,Department for Energy and Climate Change,06/09/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MILLS & REEVE,4017255,"£6,831",
Department for Energy and Climate Change,Department for Energy and Climate Change,16/09/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,WEB TECHNOLOGY GROUP (WTG),4017587,"£6,815",
Department for Energy and Climate Change,Department for Energy and Climate Change,15/09/2010,Research & Development Expenditure (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,ANDALIN CONSULTING,4017546,"£6,750",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4017215,"£6,736",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Minor Works,Corporate Support & Shared Services - Corporate Support & Shared Services,TIDEY ELECTRICAL LTD,4017340,"£6,609",
Department for Energy and Climate Change,Department for Energy and Climate Change,09/09/2010,ICT Infrastructure Specific Service,DECC Central Budgets - DECC Central Budgets,FUJITSU SERVICES LTD,4016697,"£6,522",
Department for Energy and Climate Change,Department for Energy and Climate Change,06/09/2010,Air Fares  - Overseas (Programme),Energy & Climate Change International - International Climate Change Negotiations,LONDON SCHOOL OF ECONOMICS,4017268,"£6,516",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Corporate Management Consultancy,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4015556,"£6,208",
Department for Energy and Climate Change,Department for Energy and Climate Change,08/09/2010,Estates Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,MILLER & YOUNG UK LTD T/A MYFM,4017179,"£6,125",
Department for Energy and Climate Change,Department for Energy and Climate Change,22/09/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4017740,"£6,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,17/09/2010,Sponsorship Support,Energy Markets & Infrastructure - Energy Development Unit,THE UNITED KINGDOM OFFSHORE OIL & GAS INDUSTRY ASSOCIATION LTD T/A OIL & GAS UK,4017628,"£5,875",
Department for Energy and Climate Change,Department for Energy and Climate Change,20/09/2010,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4017624,"£5,583",
Department for Energy and Climate Change,Department for Energy and Climate Change,30/09/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,LINKLATERS LLP,4018001,"£5,542",
Department for Energy and Climate Change,Department for Energy and Climate Change,30/09/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,LINKLATERS LLP,4018002,"£5,542",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Media Services,National Climate Change & Consumer Support - Communications,DELIB LTD,4017412,"£5,280",
Department for Energy and Climate Change,Department for Energy and Climate Change,09/09/2010,Contract Management,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CAPITA RESOURCING LTD,4017287,"£5,100",
Department for Energy and Climate Change,Department for Energy and Climate Change,09/09/2010,Contract Management,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CAPITA RESOURCING LTD,4017289,"£5,100",
Department for Energy and Climate Change,Department for Energy and Climate Change,09/09/2010,Contract Management,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CAPITA RESOURCING LTD,4017290,"£5,100",
Department for Energy and Climate Change,Department for Energy and Climate Change,14/09/2010,Contract Management,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CAPITA RESOURCING LTD,4017416,"£5,100",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Finance & Accounting Advice,Corporate Support & Shared Services - Corporate Support & Shared Services,SPIKES CAVELL ANALYTIC LTD,4017432,"£5,048",
Department for Energy and Climate Change,Department for Energy and Climate Change,30/09/2010,Finance & Accounting Advice,Corporate Support & Shared Services - Corporate Support & Shared Services,SPIKES CAVELL ANALYTIC LTD,4017980,"£5,048",
Department for Energy and Climate Change,Department for Energy and Climate Change,29/09/2010,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,GOVERNMENT ACTUARYS DEPARTMENT,4017969,"£5,028",
Department for Energy and Climate Change,Department for Energy and Climate Change,20/09/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4017670,"£5,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,21/09/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,PESGB,4017719,"£5,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,24/09/2010,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4017803,"£5,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,15/09/2010,Air Fares  - Overseas (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,ANDALIN CONSULTING,4017545,"£4,958",
