Department Family,Entity,Date,Expense Type,Expense Area ,Supplier,Transaction No,Sum of Amount,Item Text,Postal Code
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,BOURNEMOUTH BOROUGH COUNCIL,2000004385,1758935.04,LSTF Grant Payment 2012-13 Q4 Capital,BH2 5SL
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,BRACKNELL FOREST BC,2000004367,86038.72,LSTF Grant Payment 2012-13 Q4 Capital,RG12 1AQ
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,BRIGHTON & HOVE COUNCIL,2000004381,638436.21,LSTF Grant Payment 2012-13 Q4 Capital,BN3 2SR
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,BRISTOL CITY COUNCIL,2000004310,1270499,LSTF Grant Payment 2012-13 Q4 Capital,BS99 7BL
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,CAMBRIDGESHIRE COUNTY COUNCIL,2000004311,608604.15,LSTF Grant Payment 2012-13 Q4 Capital,CB3 0AP
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,CENTRAL BEDFORDSHIRE COUNCIL,2000004392,460360,LSTF Grant Payment 2012-13 Q4 Capital,MK42 9BD
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,CHESHIRE EAST BOROUGH COUNCIL,2000004387,7748.71,LSTF Grant Payment 2012-13 Q4 Capital,CW11 1HZ
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,CHESHIRE WEST &,2000004388,209500,LSTF Grant Payment 2012-13 Q4 Capital,CH1 9PS
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,CITY OF YORK COUNCIL,2000004312,450374,LSTF Grant Payment 2012-13 Q4 Capital,Y01 7WH
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,CORNWALL COUNCIL,2000004389,203522.71,LSTF Grant Payment 2012-13 Q4 Capital,TR1 3AY
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,COVENTRY CITY COUNCIL,2000004368,97683.69,LSTF Grant Payment 2012-13 Q4 Capital,CV1 2QL
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,CUMBRIA COUNTY COUNCIL,2000004313,159245,LSTF Grant Payment 2012-13 Q4 Capital,CA3 8NA
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,DARLINGTON BC,2000004314,325192.37,LSTF Grant Payment 2012-13 Q4 Capital,TS19 1JA
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,DERBY CITY COUNCIL RESOURCES DEP,2000004386,99043.09,LSTF Grant Payment 2012-13 Q4 Capital,DE1 2YL
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,DEVON COUNTY COUNCIL,2000004384,390641,LSTF Grant Payment 2012-13 Q4 Capital,EX2 4QW
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,DORSET COUNTY COUNCIL,2000004315,268688,LSTF Grant Payment 2012-13 Q4 Capital,DT1 1XJ
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,DUDLEY MBC,2000004369,5996.57,LSTF Grant Payment 2012-13 Q4 Capital,DY1 1HF
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,EAST RIDING OF YORKSHIRE COUNCIL,2000004370,267773.49,LSTF Grant Payment 2012-13 Q4 Capital,HU17 9BA
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,EAST SUSSEX COUNTY COUNCIL,2000004350,75500,LSTF Grant Payment 2012-13 Q4 Capital,BN7 1UE
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,GLOUCESTERSHIRE COUNTY COUNCIL,2000004309,97600.84,LSTF Grant Payment 2012-13 Q4 Capital,GL1 2TJ
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,HAMPSHIRE COUNTY COUNCIL,2000004317,1745103.85,LSTF Grant Payment 2012-13 Q4 Capital,SO23 8UB
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,HEREFORDSHIRE COUNCIL,2000004359,666544.29,LSTF Grant Payment 2012-13 Q4 Capital,HR4 0XH
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,HERTFORDSHIRE CC,2000004318,1202941.64,LSTF Grant Payment 2012-13 Q4 Capital,SG13 8TN
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,ISLE OF WIGHT COUNCIL,2000004319,214479.06,LSTF Grant Payment 2012-13 Q4 Capital,PO30 1UD
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,KENT COUNTY COUNCIL,2000004320,66476,LSTF Grant Payment 2012-13 Q4 Capital,ME14 1XQ
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,KINGSTON UPON HULL CITY COUNCIL,2000004371,227790,LSTF Grant Payment 2012-13 Q4 Capital,HU1 2AB
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,LANCASHIRE COUNTY COUNCIL,2000004382,202144.55,LSTF Grant Payment 2012-13 Q4 Capital,PR1 0LD
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,LEICESTER CITY COUNCIL,2000004321,233284,LSTF Grant Payment 2012-13 Q4 Capital,LE1 6ZG
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,LEICESTERSHIRE COUNTY COUNCIL,2000004343,166943,LSTF Grant Payment 2012-13 Q4 Capital,LE3 8RB
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,LUTON BOROUGH COUNCIL,2000004323,99258,LSTF Grant Payment 2012-13 Q4 Capital,LU1 2BQ
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,MIDDLESBROUGH BC,2000004308,63667,LSTF Grant Payment 2012-13 Q4 Capital,TS1 2QQ
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,NORTH EAST LINCOLNSHIRE COUNCIL,2000004397,406795.16,LSTF Grant Payment 2012-13 Q4 Capital,DN35 8LN
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,NORTH YORKSHIRE CC,2000004372,241416.16,LSTF Grant Payment 2012-13 Q4 Capital,DL7 8AL
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,NORTHUMBERLAND CC,2000004373,411392,LSTF Grant Payment 2012-13 Q4 Capital,NE61 2EF
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,OXFORDSHIRE CC,2000004324,1182659.13,LSTF Grant Payment 2012-13 Q4 Capital,OX1 1TH
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,PETERBOROUGH CITY COUNCIL,2000004325,390846.7,LSTF Grant Payment 2012-13 Q4 Capital,PE1 1FF
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,PLYMOUTH CITY COUNCIL,2000004326,257025,LSTF Grant Payment 2012-13 Q4 Capital,PL1 2AA
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,PORTSMOUTH CITY COUNCIL,2000004344,282628.68,LSTF Grant Payment 2012-13 Q4 Capital,PO1 2BG
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,READING BC,2000004327,1469517,LSTF Grant Payment 2012-13 Q4 Capital,RG1 7TD
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,REDCAR & CLEVELAND BC,2000004345,144842.12,LSTF Grant Payment 2012-13 Q4 Capital,TS6 9AR
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,RUTLAND COUNTY COUNCIL,2000004328,31500,LSTF Grant Payment 2012-13 Q4 Capital,LE15 6HP
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,SEFTON MBC,2000004329,40554,LSTF Grant Payment 2012-13 Q4 Capital,PR8 1DA
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,SHROPSHIRE COUNCIL,2000004390,79321,LSTF Grant Payment 2012-13 Q4 Capital,SY2 6ND
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,SLOUGH BC,2000004330,85652,LSTF Grant Payment 2012-13 Q4 Capital,SL1 3UF
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,SOMERSET COUNTY COUNCIL,2000004331,291026.93,LSTF Grant Payment 2012-13 Q4 Capital,TA1 4DY
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,SOUTHAMPTON CITY COUNCIL,2000004349,118026,LSTF Grant Payment 2012-13 Q4 Capital,SO14 7LF
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,SOUTHEND-ON-SEA BC,2000004375,172000.42,LSTF Grant Payment 2012-13 Q4 Capital,SS2 6AN
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,ST HELENS MBC,2000004332,39421.31,LSTF Grant Payment 2012-13 Q4 Capital,WA10 1UQ
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,STAFFORDSHIRE COUNTY COUNCIL,2000004374,252038,LSTF Grant Payment 2012-13 Q4 Capital,ST16 2NF
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,STOCKTON ON TEES BC,2000004333,603803,LSTF Grant Payment 2012-13 Q4 Capital,TS23 2YS
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,STOKE ON TRENT CITY COUNCIL,2000004376,563098.94,LSTF Grant Payment 2012-13 Q4 Capital,ST4 1RF
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,SUFFOLK COUNTY COUNCIL,2000004351,456069,LSTF Grant Payment 2012-13 Q4 Capital,IP1 2DH
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,SURREY COUNTY COUNCIL,2000004334,1388096.98,LSTF Grant Payment 2012-13 Q4 Capital,KT1 2DN
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,SWINDON BC,2000004335,499636.81,LSTF Grant Payment 2012-13 Q4 Capital,SN1 2JH
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,TELFORD & WREKIN DC,2000004346,111049.94,LSTF Grant Payment 2012-13 Q4 Capital,TF3 4LF
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,THURROCK DC,2000004336,288656,LSTF Grant Payment 2012-13 Q4 Capital,RM17 6LT
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,TORBAY BC,2000004337,599886.83,LSTF Grant Payment 2012-13 Q4 Capital,TQ1 3DS
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,W YORKS PTE,2000004377,5096,LSTF Grant Payment 2012-13 Q4 Capital,LS1 2DE
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,WARRINGTON BC,2000004338,707693.49,LSTF Grant Payment 2012-13 Q4 Capital,WA1 1BN
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,WARWICKSHIRE CC,2000004347,1315577,LSTF Grant Payment 2012-13 Q4 Capital,CV34 4SX
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,WEST SUSSEX CC,2000004339,124191.77,LSTF Grant Payment 2012-13 Q4 Capital,PO19 1RG
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,WILTSHIRE COUNCIL,2000004391,124561.12,LSTF Grant Payment 2012-13 Q4 Capital,BA14 4DS
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,WINDSOR & MAIDENHEAD,2000004340,22512,LSTF Grant Payment 2012-13 Q4 Capital,SL6 1RF
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,WOKINGHAM DC,2000004341,198200,LSTF Grant Payment 2012-13 Q4 Capital,RG40 1JW
Department for Transport,Department for Transport,29/05/2013,Cap Grt Loc Auth,Local,WORCESTERSHIRE COUNTY COUNCIL,2000004348,316178.94,LSTF Grant Payment 2012-13 Q4 Capital,WR5 2NP
Department for Transport,Department for Transport,29/05/2013,Cap Grt Pri Sec-Cos.,Rail and Road Projects,ABELLIO GREATER ANGLIA LIMITED,2000004398,441651,G. Anglia SSF12-13,CO1 1TG
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,AKCESS CIC,2000004616,14194.15,Akcess CIC,SN4 7DB
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,Derbyshire County Council,2000004621,19840.2,Derbyshire County Council,DE4 3AH
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,DURHAM CC SOCIAL SERVICES,2000004469,7941.87,DURHAM COUNTY COUNCIL SOCIAL SERVICES,DH1 5UE
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,GUILDFORD BC,2000004484,6069.15,GUILDFORD BOROUGH COUNCIL DIAL A RIDE,GU2 4BB
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,LITTLE GREEN BUS,2000004521,729.12,LITTLE GREEN BUS,BB7 1PL
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,WIRRAL COUNCIL,2000004576,7781.57,Wirral Council,CH41 3QL
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,BEDFORD BC,2000004366,221844.47,LSTF Grant Payment 2012-13 Q4 Resource,MK40 1SJ
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,BLACKBURN WITH DARWEN BC,2000004342,109448.97,LSTF Grant Payment 2012-13 Q4 Resource,BB1 7DY
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,BOURNEMOUTH BOROUGH COUNCIL,2000004385,919853.89,LSTF Grant Payment 2012-13 Q4 Resource,BH2 5SL
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,BRACKNELL FOREST BC,2000004367,195527,LSTF Grant Payment 2012-13 Q4 Resource,RG12 1AQ
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,BRIGHTON & HOVE COUNCIL,2000004381,137502.43,LSTF Grant Payment 2012-13 Q4 Resource,BN3 2SR
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,BRISTOL CITY COUNCIL,2000004310,1928118,LSTF Grant Payment 2012-13 Q4 Resource,BS99 7BL
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,CAMBRIDGESHIRE COUNTY COUNCIL,2000004311,314892.3,LSTF Grant Payment 2012-13 Q4 Resource,CB3 0AP
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,CENTRAL BEDFORDSHIRE COUNCIL,2000004392,260333,LSTF Grant Payment 2012-13 Q4 Resource,MK42 9BD
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,CHESHIRE EAST BOROUGH COUNCIL,2000004387,237085.71,LSTF Grant Payment 2012-13 Q4 Resource,CW11 1HZ
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,CHESHIRE WEST &,2000004388,387724,LSTF Grant Payment 2012-13 Q4 Resource,CH1 9PS
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,CITY OF YORK COUNCIL,2000004312,92454.62,LSTF Grant Payment 2012-13 Q4 Resource,Y01 7WH
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,CORNWALL COUNCIL,2000004389,30000,LSTF Grant Payment 2012-13 Q4 Resource,TR1 3AY
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,COVENTRY CITY COUNCIL,2000004368,63869,LSTF Grant Payment 2012-13 Q4 Resource,CV1 2QL
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,CUMBRIA COUNTY COUNCIL,2000004313,275207,LSTF Grant Payment 2012-13 Q4 Resource,CA3 8NA
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,DARLINGTON BC,2000004314,207496.85,LSTF Grant Payment 2012-13 Q4 Resource,TS19 1JA
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,DERBY CITY COUNCIL RESOURCES DEP,2000004386,213268.27,LSTF Grant Payment 2012-13 Q4 Resource,DE1 2YL
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,DEVON COUNTY COUNCIL,2000004384,231577.62,LSTF Grant Payment 2012-13 Q4 Resource,EX2 4QW
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,DORSET COUNTY COUNCIL,2000004315,247750,LSTF Grant Payment 2012-13 Q4 Resource,DT1 1XJ
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,DUDLEY MBC,2000004369,26177.78,LSTF Grant Payment 2012-13 Q4 Resource,DY1 1HF
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,DURHAM COUNTY COUNCIL,2000004316,612888.74,LSTF Grant Payment 2012-13 Q4 Resource,DH1 5UE
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,EAST RIDING OF YORKSHIRE COUNCIL,2000004370,50988,LSTF Grant Payment 2012-13 Q4 Resource,HU17 9BA
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,EAST SUSSEX COUNTY COUNCIL,2000004350,167172.93,LSTF Grant Payment 2012-13 Q4 Resource,BN7 1UE
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,GLOUCESTERSHIRE COUNTY COUNCIL,2000004309,496373.05,LSTF Grant Payment 2012-13 Q4 Resource,GL1 2TJ
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,HAMPSHIRE COUNTY COUNCIL,2000004317,1219035.98,LSTF Grant Payment 2012-13 Q4 Resource,SO23 8UB
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,HEREFORDSHIRE COUNCIL,2000004359,187754.82,LSTF Grant Payment 2012-13 Q4 Resource,HR4 0XH
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,HERTFORDSHIRE CC,2000004318,1363122.91,LSTF Grant Payment 2012-13 Q4 Resource,SG13 8TN
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,ISLE OF WIGHT COUNCIL,2000004319,191980.23,LSTF Grant Payment 2012-13 Q4 Resource,PO30 1UD
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,KENT COUNTY COUNCIL,2000004320,82523,LSTF Grant Payment 2012-13 Q4 Resource,ME14 1XQ
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,KINGSTON UPON HULL CITY COUNCIL,2000004371,9968,LSTF Grant Payment 2012-13 Q4 Resource,HU1 2AB
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,LANCASHIRE COUNTY COUNCIL,2000004382,534902.25,LSTF Grant Payment 2012-13 Q4 Resource,PR1 0LD
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,LEICESTER CITY COUNCIL,2000004321,263377,LSTF Grant Payment 2012-13 Q4 Resource,LE1 6ZG
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,LEICESTERSHIRE COUNTY COUNCIL,2000004343,200636,LSTF Grant Payment 2012-13 Q4 Resource,LE3 8RB
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,LINCOLNSHIRE COUNTY COUNCIL,2000004322,488637.86,LSTF Grant Payment 2012-13 Q4 Resource,LN1 1YT
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,LUTON BOROUGH COUNCIL,2000004323,267184,LSTF Grant Payment 2012-13 Q4 Resource,LU1 2BQ
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,MIDDLESBROUGH BC,2000004308,51463.3,LSTF Grant Payment 2012-13 Q4 Resource,TS1 2QQ
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,NORTH EAST LINCOLNSHIRE COUNCIL,2000004397,223735.9,LSTF Grant Payment 2012-13 Q4 Resource,DN35 8LN
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,NORTH YORKSHIRE CC,2000004372,12124,LSTF Grant Payment 2012-13 Q4 Resource,DL7 8AL
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,NORTHUMBERLAND CC,2000004373,179697,LSTF Grant Payment 2012-13 Q4 Resource,NE61 2EF
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,OXFORDSHIRE CC,2000004324,183789.3,LSTF Grant Payment 2012-13 Q4 Resource,OX1 1TH
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,PETERBOROUGH CITY COUNCIL,2000004325,371194.67,LSTF Grant Payment 2012-13 Q4 Resource,PE1 1FF
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,PLYMOUTH CITY COUNCIL,2000004326,246037,LSTF Grant Payment 2012-13 Q4 Resource,PL1 2AA
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,PORTSMOUTH CITY COUNCIL,2000004344,212162.69,LSTF Grant Payment 2012-13 Q4 Resource,PO1 2BG
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,READING BC,2000004327,2493060,LSTF Grant Payment 2012-13 Q4 Resource,RG1 7TD
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,REDCAR & CLEVELAND BC,2000004345,67576.97,LSTF Grant Payment 2012-13 Q4 Resource,TS6 9AR
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,RUTLAND COUNTY COUNCIL,2000004328,15382,LSTF Grant Payment 2012-13 Q4 Resource,LE15 6HP
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,SEFTON MBC,2000004329,67104,LSTF Grant Payment 2012-13 Q4 Resource,PR8 1DA
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,SHROPSHIRE COUNCIL,2000004390,416308,LSTF Grant Payment 2012-13 Q4 Resource,SY2 6ND
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,SLOUGH BC,2000004330,314342,LSTF Grant Payment 2012-13 Q4 Resource,SL1 3UF
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,SOMERSET COUNTY COUNCIL,2000004331,296286.55,LSTF Grant Payment 2012-13 Q4 Resource,TA1 4DY
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,SOUTHAMPTON CITY COUNCIL,2000004349,345510,LSTF Grant Payment 2012-13 Q4 Resource,SO14 7LF
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,SOUTHEND-ON-SEA BC,2000004375,205729.24,LSTF Grant Payment 2012-13 Q4 Resource,SS2 6AN
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,ST HELENS MBC,2000004332,91465.39,LSTF Grant Payment 2012-13 Q4 Resource,WA10 1UQ
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,STAFFORDSHIRE COUNTY COUNCIL,2000004374,281230,LSTF Grant Payment 2012-13 Q4 Resource,ST16 2NF
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,STOCKTON ON TEES BC,2000004333,316231,LSTF Grant Payment 2012-13 Q4 Resource,TS23 2YS
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,STOKE ON TRENT CITY COUNCIL,2000004376,256073.86,LSTF Grant Payment 2012-13 Q4 Resource,ST4 1RF
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,SUFFOLK COUNTY COUNCIL,2000004351,24243,LSTF Grant Payment 2012-13 Q4 Resource,IP1 2DH
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,SURREY COUNTY COUNCIL,2000004334,794069.93,LSTF Grant Payment 2012-13 Q4 Resource,KT1 2DN
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,SWINDON BC,2000004335,235027.84,LSTF Grant Payment 2012-13 Q4 Resource,SN1 2JH
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,TELFORD & WREKIN DC,2000004346,54630.28,LSTF Grant Payment 2012-13 Q4 Resource,TF3 4LF
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,THURROCK DC,2000004336,260869,LSTF Grant Payment 2012-13 Q4 Resource,RM17 6LT
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,TORBAY BC,2000004337,78893.03,LSTF Grant Payment 2012-13 Q4 Resource,TQ1 3DS
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,W YORKS PTE,2000004377,145199,LSTF Grant Payment 2012-13 Q4 Resource,LS1 2DE
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,WARRINGTON BC,2000004338,551303.88,LSTF Grant Payment 2012-13 Q4 Resource,WA1 1BN
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,WARWICKSHIRE CC,2000004347,303609,LSTF Grant Payment 2012-13 Q4 Resource,CV34 4SX
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,WEST SUSSEX CC,2000004339,61557.45,LSTF Grant Payment 2012-13 Q4 Resource,PO19 1RG
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,WILTSHIRE COUNCIL,2000004391,192285.16,LSTF Grant Payment 2012-13 Q4 Resource,BA14 4DS
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,WINDSOR & MAIDENHEAD,2000004340,131654,LSTF Grant Payment 2012-13 Q4 Resource,SL6 1RF
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,WOKINGHAM DC,2000004341,297315.59,LSTF Grant Payment 2012-13 Q4 Resource,RG40 1JW
Department for Transport,Department for Transport,29/05/2013,CurrGrt Las in AEF/A,Local,WORCESTERSHIRE COUNTY COUNCIL,2000004348,187291.73,LSTF Grant Payment 2012-13 Q4 Resource,WR5 2NP
Department for Transport,Department for Transport,29/05/2013,Electricity,Air Accident Investigation Branch,MINISTRY OF DEFENCE,2000004379,2253.7,MOD - AAIB - ELECTRICITY,L2 3YL
Department for Transport,Department for Transport,29/05/2013,Financial Consultanc,Business Transformation,PRGX UK LIMITED,2000004394,2447.99,#,LU1 3LU
Department for Transport,Department for Transport,29/05/2013,Interpreter,Aviation Security ,FCO SERVICES,2000004399,11880,#,MK19 7BH
Department for Transport,Department for Transport,29/05/2013,IT Ser Running Costs,Transport Direct and Travel information,MENTZ DATENVERARBEITUNG GMBH,100004676,6901.33,#,81675
Department for Transport,Department for Transport,29/05/2013,IT Ser Running Costs,Transport Direct and Travel information,MENTZ DATENVERARBEITUNG GMBH,100004676,-6901.33,#,81675
Department for Transport,Department for Transport,29/05/2013,Machinery Rental,Marine Accident Investigation Branch,CANON (UK) LTD,2000004356,893.2,#,RH2 8BF
