Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount,Text,Postcode
Department for Transport,Driving Standards Agency,40861,Rates,GILLINGHAM MPTC,MEDWAY COUNCIL,DIRECT DEBIT,6215,600509 90502094 MEDWAY COUNCIL 1   10000186115        983350,
Department for Transport,Driving Standards Agency,40848,Rates,Burgess Hill - MPTC,Mid Sussex District Council,DIRECT DEBIT,2121,089025 61059362 MSDC NNDR 68346344 68346344           990845,
Department for Transport,Driving Standards Agency,40877,Rates,Burgess Hill - MPTC,Mid Sussex District Council,DIRECT DEBIT,2121,089025 61059362 MSDC NNDR 68346344 68346344           990845,
Department for Transport,Driving Standards Agency,40868,Rates,Crawley Pease Pottage,Mid Sussex District Council,DIRECT DEBIT,1324,089025 61059362 MSDC NNDR 68277561 68277561           990845,
Department for Transport,Driving Standards Agency,40862,Land & Buildings (excl Dwellings) Capital Cost,Dorchester,MIDDLETON MAINTENANCE,5100009662,2556,,B23 6SJ
Department for Transport,Driving Standards Agency,40863,Property Maintenance,Basingstoke DTC,MIDDLETON MAINTENANCE,5100009735,10258.77,Basingstoke Redecoration Works,B23 6SJ
Department for Transport,Driving Standards Agency,40864,Property Maintenance,Blackburn MPTC,MIDDLETON MAINTENANCE,5100009743,1614.24,Blackburn MPTC - Front Entrance Doors,B23 6SJ
Department for Transport,Driving Standards Agency,40869,Property Maintenance,Bletchley DTC,MIDDLETON MAINTENANCE,5100009853,5105,Bletchley - Boundary Wall Repair,B23 6SJ
Department for Transport,Driving Standards Agency,40856,Property Maintenance,Bredbury LGV,MIDDLETON MAINTENANCE,5100008635,3160.86,,B23 6SJ
Department for Transport,Driving Standards Agency,40862,Property Maintenance,Colwick MPTC,MIDDLETON MAINTENANCE,5100009707,1943.5,Colwick MPTC - Repair Boundary Fencing,B23 6SJ
Department for Transport,Driving Standards Agency,40855,Property Maintenance,Fareham MPTC,MIDDLETON MAINTENANCE,5100009450,2699.1,Fareham MPTC Panel Repairs,B23 6SJ
Department for Transport,Driving Standards Agency,40854,Property Maintenance,Herne Bay MPTC,MIDDLETON MAINTENANCE,5100008992,3685.5,entrance door screens,B23 6SJ
Department for Transport,Driving Standards Agency,40862,Property Maintenance,Herne Bay MPTC,MIDDLETON MAINTENANCE,5100009712,6086.2,Herne Bay MPTC - Repair Water Damage,B23 6SJ
Department for Transport,Driving Standards Agency,40862,Property Maintenance,Hornchurch DTC,MIDDLETON MAINTENANCE,5100009709,1169.6,Hornchurch - Repair Concrete Paving,B23 6SJ
Department for Transport,Driving Standards Agency,40862,Property Maintenance,Hull MPTC,MIDDLETON MAINTENANCE,5100009717,1785.68,Hull MPTC - Entrance Doors,B23 6SJ
Department for Transport,Driving Standards Agency,40862,Property Maintenance,Middlesbrough,MIDDLETON MAINTENANCE,5100009705,2298,Middlesbrough - Line Marking Job 99288,B23 6SJ
Department for Transport,Driving Standards Agency,40864,Property Maintenance,Newbury DTC,MIDDLETON MAINTENANCE,5100009663,14876.4,,B23 6SJ
Department for Transport,Driving Standards Agency,40863,Property Maintenance,North Area Office,MIDDLETON MAINTENANCE,5100009659,569.25,Middletons 6 Monthly PO,B23 6SJ
Department for Transport,Driving Standards Agency,40869,Property Maintenance,North Area Office,MIDDLETON MAINTENANCE,5100009851,1442.73,Final application '11 - North Area,B23 6SJ
Department for Transport,Driving Standards Agency,40862,Property Maintenance,North Area Office,MIDDLETON MAINTENANCE,5100009674,7892.32,Sep-11,B23 6SJ
Department for Transport,Driving Standards Agency,40855,Property Maintenance,Plymouth MPTC,MIDDLETON MAINTENANCE,5100009428,1786.24,,B23 6SJ
Department for Transport,Driving Standards Agency,40862,Property Maintenance,Reading DTC,MIDDLETON MAINTENANCE,5100009710,1068.6,Reading - Repair and replace fencing,B23 6SJ
Department for Transport,Driving Standards Agency,40862,Property Maintenance,South Area Office,MIDDLETON MAINTENANCE,5100009673,4039.24,October (Final) Maintenance,B23 6SJ
Department for Transport,Driving Standards Agency,40862,Property Maintenance,South Area Office,MIDDLETON MAINTENANCE,5100009671,9108.89,Sept 2011 Maintenace,B23 6SJ
Department for Transport,Driving Standards Agency,40855,Property Maintenance,Swindon MPTC,MIDDLETON MAINTENANCE,5100009448,4380,Swindon MPTC - Cleaning of the MMA,B23 6SJ
Department for Transport,Driving Standards Agency,40876,Property Maintenance,Various DTCs,MIDWEST ELECTRICAL COMPANY INFO,5100010121,2956,DSA07109 20 2011 FWT,WV6 0RX
Department for Transport,Driving Standards Agency,40862,Property Maintenance,Various DTCs,MIDWEST ELECTRICAL COMPANY INFO,5100009718,8992,Batch 3 Remedial Works DSA07109,WV6 0RX
Department for Transport,Driving Standards Agency,40862,Property Maintenance,Various DTCs,MIDWEST ELECTRICAL COMPANY INFO,5100009721,9313,Remedial Works,WV6 0RX
Department for Transport,Driving Standards Agency,40848,Property Maintenance,Various DTCs,MIDWEST ELECTRICAL COMPANY INFO,5100009274,12478,Fixed Wire Electrical Test - DSA07109 2011,WV6 0RX
Department for Transport,Driving Standards Agency,40837,Motorcycle Maintenance,Hull MPTC,MILES KINGSPORT LTD      HULL,GPC,1713.08,Work on motorcycle at Miles Kingsport,
Department for Transport,Driving Standards Agency,40877,Motorcycle Maintenance,Dumfries,MOTORRAD CENTRAL EAST,5100010123,600.37,LC55 OPY Pick up &  ignition fault,EH22 1AZ
Department for Transport,Driving Standards Agency,40857,Training,Cardington-Non VocTrng,NATIONAL SCHOOL OF GOVERNMENT,5100009565,1995,ET Appearing before the Select Committee,SL5 0QE
Department for Transport,Driving Standards Agency,40857,Rates,Newport - MPTC,NEWPORT CITY COUNCIL,DIRECT DEBIT,1166,720000 05070406 NCC COLLECTION ACC 1127725X           991395,
Department for Transport,Driving Standards Agency,40872,Property Maintenance,Chorley DTC,NG Bailey Facilities Services Ltd,5100010058,2645.96,4 x hand driers - chorley,LS12 6EH
Department for Transport,Driving Standards Agency,40849,Property Maintenance,Erith MPTC,NG Bailey Facilities Services Ltd,5100009276,1274.85,New burner control unit,LS12 6EH
Department for Transport,Driving Standards Agency,40872,Property Maintenance,Newcastle Area Office,NG Bailey Facilities Services Ltd,5100010030,6019.6,East Gate House - Air Con- chillers,LS12 6EH
Department for Transport,Driving Standards Agency,40848,Property Maintenance,South Area Office,NG Bailey Facilities Services Ltd,5100009247,23810.83,August Certified Application Value,LS12 6EH
Department for Transport,Driving Standards Agency,40862,Rates,Barnstaple,NORTH DEVON COUNCIL,DIRECT DEBIT,686,600203 03953785 NORTH DEVON DISTRI 01      93476104   957113,
Department for Transport,Driving Standards Agency,40848,Rates,Scunthorpe - MPTC,NORTH LINCS COUNCIL,DIRECT DEBIT,1100,544126 35644044 NORTHLINCSCOUNCIL  13990335640        971524,
Department for Transport,Driving Standards Agency,40877,Rates,Scunthorpe - MPTC,NORTH LINCS COUNCIL,DIRECT DEBIT,1100,544126 35644044 NORTHLINCSCOUNCIL  13990335640        971524,
Department for Transport,Driving Standards Agency,40848,Rates,Weston Super Mare DTC,NORTH SOMERSET COUNCIL,DIRECT DEBIT,570,089002 61106011 NORTH SOMERSET COU 0600351266         920123,
Department for Transport,Driving Standards Agency,40877,Rates,Weston Super Mare DTC,NORTH SOMERSET COUNCIL,DIRECT DEBIT,570,089002 61106011 NORTH SOMERSET COU 0600351266         920123,
Department for Transport,Driving Standards Agency,40869,Rates,Axis HQ,NOTTINGHAM CITY COUNCIL,DIRECT DEBIT,8314,089074 61037672 NOTTM CITY COUNC   6604860            850583,
Department for Transport,Driving Standards Agency,40876,Training,Cardington-Non VocTrng,Nottingham Trent University,5100010076,3475,MS's Building Surveying - E Tetley,NG1 4FZ
Department for Transport,Driving Standards Agency,40858,Training,Cardington-Non VocTrng,Nottingham Trent University,5100009593,3800,,NG1 4FZ
Department for Transport,Driving Standards Agency,40862,Rates,Leicester MPTC,OADBY WIGSTON B,DIRECT DEBIT,595,542150 13754432 OADBY  WIGSTON B. 90354649           922775,
Department for Transport,Driving Standards Agency,40862,Rates,Leicester MPTC,OADBY WIGSTON B,DIRECT DEBIT,930,542150 13754432 OADBY  WIGSTON B. 90302334           922775,
Department for Transport,Driving Standards Agency,40861,IT Services  Running Costs,Infras/Contracts,OAKLEY INTEGRATED BUSINESS,5100009589,2172.16,Subscription 329115,SS13 1EU
Department for Transport,Driving Standards Agency,40870,Rent - L&B (non-PFI),Falkirk,OBAN BAY PROPERTIES LTD,5100009813,1200,FALKIRK DTC RENT,PA34 5PF
Department for Transport,Driving Standards Agency,40851,Stationery (Non-stock),HQ Site Costs,OFFICE DEPOT UK LIMITED,1900004951,1425.97,various items,NN4 7BW
Department for Transport,Driving Standards Agency,40853,Stationery (Non-stock),North Area Office,OFFICE DEPOT UK LIMITED,1900005011,3814.79,Newcastle Area Office - A/c DSA 11,NN4 7BW
Department for Transport,Driving Standards Agency,40852,Stationery (Non-stock),South Area Office,OFFICE DEPOT UK LIMITED,1900004990,1876.32,various office items,NN4 7BW
Department for Transport,Driving Standards Agency,40850,Building Service Charges,Hendon DTC,OM PROPERTY MANAGEMENT,1900005282,2427.23,Hendon DTC Service Charge 1/7/11 - 31/12/11,LU2 9EX
Department for Transport,Driving Standards Agency,40870,Furniture & Fittings,Bus Transform Dir,ONLINE ERGONOMICS LIMITED,5100009937,-597.6,credit for inv 52117,NR34 7TD
Department for Transport,Driving Standards Agency,40870,Furniture & Fittings,Bus Transform Dir,ONLINE ERGONOMICS LIMITED,5100009005,1573.6,Chair/FlexDesk630/writing slope/del&inst,NR34 7TD
Department for Transport,Driving Standards Agency,40851,Rent - L&B (non-PFI),Kirkwall (Orkney) LGV,Orkney Auction Mart Ltd,5100009288,500,KIRKWALL MPTC RENT,KW15 1FL
Department for Transport,Driving Standards Agency,40856,Investigation services,Integrity Team,OUTFORCE CORPORATE INVESTIGATIONS L,5100009480,135000,retainer payment - oct 11,CM21 9AE
Department for Transport,Driving Standards Agency,40862,Rates,OXFORD COWLEY DTC,OXFORD CITY COUNCIL,DIRECT DEBIT,823,089038 61173400 OXF CITY CNCL RATE 711129916          971699,
Department for Transport,Driving Standards Agency,40861,Ttest ADI Part 1 Charges,ADI Part 1Theory Tst,PEARSON DRIVING ASSESSMENTS LTD.,5100009626,12307.9,Oct11 ADI Var Costs,M50 3BF
Department for Transport,Driving Standards Agency,40861,Ttest ADI Part 1 Charges,ADI Part 1Theory Tst,PEARSON DRIVING ASSESSMENTS LTD.,5100009636,14456.51,Sept 2011 PDA & ADI variable costs,M50 3BF
Department for Transport,Driving Standards Agency,40861,Ttest Contract Var,Integrity Team,PEARSON DRIVING ASSESSMENTS LTD.,5100009633,5940.38,Oct11 CV102,M50 3BF
Department for Transport,Driving Standards Agency,40861,Ttest Contract Var,Integrity Team,PEARSON DRIVING ASSESSMENTS LTD.,5100009628,5940.38,Sept 2011 CV102,M50 3BF
Department for Transport,Driving Standards Agency,40861,Ttest Fixed & Var Charge,IHTTC,PEARSON DRIVING ASSESSMENTS LTD.,5100009637,29343.06,Sept 2011 - IHTTC Variable learner,M50 3BF
Department for Transport,Driving Standards Agency,40861,Ttest Fixed & Var Charge,IHTTC,PEARSON DRIVING ASSESSMENTS LTD.,5100009635,30251.78,Oct11 IHTTC Var Costs,M50 3BF
Department for Transport,Driving Standards Agency,40861,Ttest Fixed & Var Charge,LGV Register,PEARSON DRIVING ASSESSMENTS LTD.,5100009634,468.97,Sept 2011 - RLGV variable costs,M50 3BF
Department for Transport,Driving Standards Agency,40861,Ttest Fixed & Var Charge,Theory Test,PEARSON DRIVING ASSESSMENTS LTD.,5100009632,475831.13,Oct 2011 Adv chgs & rebates,M50 3BF
Department for Transport,Driving Standards Agency,40861,Ttest Fixed & Var Charge,Theory Test,PEARSON DRIVING ASSESSMENTS LTD.,5100009631,1974364.29,Oct11 Learner Var Costs,M50 3BF
Department for Transport,Driving Standards Agency,40861,Ttest Fixed & Var Charge,Theory Test,PEARSON DRIVING ASSESSMENTS LTD.,5100009638,2111876.08,Sept 2011 learner variable costs,M50 3BF
Department for Transport,Driving Standards Agency,40862,Rates,Peterborough MPTC,PETERBOROUGH C C,DIRECT DEBIT,2440,206737 10572918 PETERBOROUGH C C   102087303          982599,
Department for Transport,Driving Standards Agency,40848,Motorcycle Maintenance,Bathgate,Phoenix Honda Falkirk Ltd,5100009277,417.31,"RV55 WGN Front strut leak, replace pads",FK3 8XJ
Department for Transport,Driving Standards Agency,40854,Motorcycle Maintenance,Worksop,PIDCOCK MOTORCYCLES LIMITED,5100009390,1480.03,Various Repairs,NG10 1LR
Department for Transport,Driving Standards Agency,40848,Rates,Plymouth - MPTC,PLYMOUTH C.C.,DIRECT DEBIT,2440,089021 61003172 PLYMOUTH C.C.      7910254X           958775,
Department for Transport,Driving Standards Agency,40877,Rates,Plymouth - MPTC,PLYMOUTH CITY COUNCIL,DIRECT DEBIT,2440,089021 61003172 PLYMOUTH C.C.      7910254X           958775,
Department for Transport,Driving Standards Agency,40875,Training,Cardington-Non VocTrng,PMMS CONSULTING GROUP LTD,5100010037,1535.75,Driving Theroy Test Contract,RH12 1RD
Department for Transport,Driving Standards Agency,40876,Training,Cardington-Non VocTrng,PMMS CONSULTING GROUP LTD,5100010084,2639.35,14-15 Nov - ET Contract Management 12 Axis Staff,RH12 1RD
Department for Transport,Driving Standards Agency,40851,Room Hire,Nelson,PORTAKABIN  LTD,5100009351,528,Storage Charges for 28.09.11-25.10.2011,YO32 9PT
Department for Transport,Driving Standards Agency,40862,Rates,Portsmouth Fort Southwick,PORTSMOUTH CITY COUNCIL,DIRECT DEBIT,808,089081 61105517 PORTSMOUTH CITY CO 9119705001014      980965,
Department for Transport,Driving Standards Agency,40862,Rent - L&B (non-PFI),Glasgow Shiedhall - MPTC,PREMIER HOUSEWARES,5100009624,16500,GLASGOW MPTC RENT,G14 0QP
Department for Transport,Driving Standards Agency,40848,Rates,Preston DTC,PRESTON CITY COUNCIL,DIRECT DEBIT,920,162833 13162739 PRESTON CC         70219050           913926,
Department for Transport,Driving Standards Agency,40877,Rates,Preston DTC,PRESTON CITY COUNCIL,DIRECT DEBIT,920,162833 13162739 PRESTON CC         70219050           913926,
Department for Transport,Driving Standards Agency,40869,Training,Cardington-Non VocTrng,QA-IQ Ltd,5100009861,832.5,ET Configuring / Managing Share Point,LS12 6BD
Department for Transport,Driving Standards Agency,40849,Motorcycle Fleet Sundries,Burgess Hill MPTC,RADIOCOMS SYSTEMS LIMITED,5100009269,587.5,EMW System 6 Silver Helment,NW10 6QD
Department for Transport,Driving Standards Agency,40863,Motorcycle Fleet Sundries,Cardington/Voc Trng,RADIOCOMS SYSTEMS LIMITED,5100009680,2554.8,Cardington order 13/10/11,NW10 6QD
Department for Transport,Driving Standards Agency,40848,Motorcycle Fleet Sundries,Greenham Common MPTC,RADIOCOMS SYSTEMS LIMITED,5100009272,587.5,Sonic Helmet Extension Lead,NW10 6QD
Department for Transport,Driving Standards Agency,40870,Motorcycle Fleet Sundries,Ops Training Team,RADIOCOMS SYSTEMS LIMITED,5100009917,15111.03,Comms - order 31.10.2011,NW10 6QD
Department for Transport,Driving Standards Agency,40848,Motorcycle Fleet Sundries,Ops Training Team,RADIOCOMS SYSTEMS LIMITED,5100008513,15146.28,coms faults 20.09.2011,NW10 6QD
Department for Transport,Driving Standards Agency,40848,Rates,READING DTC,READING BOROUGH,DIRECT DEBIT,585,089016 61018798 READING BOROUGH    51287919N          990793,
Department for Transport,Driving Standards Agency,40877,Rates,READING DTC,READING BOROUGH,DIRECT DEBIT,585,089016 61018798 READING BOROUGH    51287919N          990793,
Department for Transport,Driving Standards Agency,40854,Estate Management,HQ Site Costs,ROC ASSOCIATES,5100009394,600,Nottingham City Gate Dilapidations,CV35 0JS
Department for Transport,Driving Standards Agency,40864,Estate Management,HQ Site Costs,ROC ASSOCIATES,5100009747,1800,Nottingham CityGate Dilapidations,CV35 0JS
Department for Transport,Driving Standards Agency,40868,Rates,Rochdale DTC,ROCHDALE MBC,DIRECT DEBIT,1145,089052 61053957 ROCHDALE MBC       41138326           957210,
Department for Transport,Driving Standards Agency,40871,Telecom Equipment,Newcastle Area Office,ROCOM  LTD,5100009944,2204.16,,M27 8SB
Department for Transport,Driving Standards Agency,40868,Rates,Rotherham MPTC,ROTHERHAM BOROUGH,DIRECT DEBIT,1147,089087 61180710 ROTHERHAM BOROUGH  7411516            971554,
Department for Transport,Driving Standards Agency,40862,Rates,Tolworth DTC,ROYAL BOROUGH OF KINGSTON UPON THAMES,DIRECT DEBIT,963,606002 44720939 KINGSTON CTAX/NNDR 1255444            624590,
Department for Transport,Driving Standards Agency,40868,Postage,ADI Register,ROYAL MAIL,1900005360,2160,Royal mail 1st+2nd Class 28.02.11-28.10.2011,PE4 5BR
Department for Transport,Driving Standards Agency,40857,Postage,HQ Site Costs,ROYAL MAIL,1900005393,1363.52,Mail charges for account 0299890045 27.10 - 3.11,PE4 5BR
Department for Transport,Driving Standards Agency,40871,Postage,HQ Site Costs,ROYAL MAIL,1900005737,1421.14,Various Postage for nov,PE4 5BR
Department for Transport,Driving Standards Agency,40850,Postage,HQ Site Costs,ROYAL MAIL,1900005201,1608.52,Royal Mail 20.10.2011 -26.10.2011 1st+2nd class,PE4 5BR
Department for Transport,Driving Standards Agency,40863,Postage,HQ Site Costs,ROYAL MAIL,1900005642,1736.54,03 - 09.11.2011 -Axis Building,PE4 5PG
Department for Transport,Driving Standards Agency,40861,Rates,Rugby DTC,RUGBY B C ,DIRECT DEBIT,747,089010 61054383 RUGBY B C          01      1500212714 858893,
Department for Transport,Driving Standards Agency,40877,Rates,Chertsey DTC,RUNNYMEDE.B.C,DIRECT DEBIT,1459,089034 61106163 RUNNYMEDE.B.C      73014474           990865,
Department for Transport,Driving Standards Agency,40848,Rates,Chertsey DTC,RUNNYMEDE.BOROUGH COUNCIL,DIRECT DEBIT,1459,089034 61106163 RUNNYMEDE.B.C      73014474           990865,
Department for Transport,Driving Standards Agency,40848,Rates,Farnborough MPTC,RUSHMOOR B C,DIRECT DEBIT,2211,403545 01276557 RUSHMOOR BC        92030995           941307,
Department for Transport,Driving Standards Agency,40877,Rates,Farnborough MPTC,RUSHMOOR BOROUGH COUNCIL,DIRECT DEBIT,2211,403545 01276557 RUSHMOOR BC        92030995           941307,
Department for Transport,Driving Standards Agency,40823,Motorcycle Maintenance,CBT,S DAVIES MOTORCYCLES     COLCHESTER,GPC,583.51,Motorcycle service & repair,
Department for Transport,Driving Standards Agency,40862,Rates,Wednesbury DTC,SANDWELL MBC NNDR,DIRECT DEBIT,1109,089001 61190069 SANDWELL MBC-NNDR  54262583           971551,
Department for Transport,Driving Standards Agency,40857,Rent - L&B (non-PFI),Galashiels,SCOTTISH BORDERS COUNCIL,5100009409,975,GALASHIELS DTC RENT,TD6 0SA
Department for Transport,Driving Standards Agency,40872,Rent - L&B (non-PFI),Peebles,SCOTTISH BORDERS COUNCIL,5100009807,855,PEEBLES DTC RENT,TD6 0SA
Department for Transport,Driving Standards Agency,40849,Furniture & Fittings,Blyth,Senator International Ltd,5100009294,624.24,,BB5 5YE
Department for Transport,Driving Standards Agency,40855,Furniture & Fittings,Brentwood,Senator International Ltd,5100009370,1246.66,,BB5 5YE
Department for Transport,Driving Standards Agency,40861,Furniture & Fittings,Dumbarton ATS,Senator International Ltd,5100009548,624.24,,BB5 5YE
Department for Transport,Driving Standards Agency,40862,Furniture & Fittings,Eastbourne,Senator International Ltd,5100009598,936.36,,BB5 5YE
Department for Transport,Driving Standards Agency,40854,Furniture & Fittings,Mill Hill,Senator International Ltd,5100009372,1235.3,,BB5 5YE
Department for Transport,Driving Standards Agency,40857,Furniture & Fittings,Newcastle Area Office,Senator International Ltd,5100009349,1616.16,,BB5 5YE
Department for Transport,Driving Standards Agency,40868,Furniture & Fittings,Newcastle Area Office,Senator International Ltd,5100009803,5326.8,Eastgate House Removal,BB5 5YE
Department for Transport,Driving Standards Agency,40857,Office Furniture & Equipment Capital Cost,Newcastle Area Office,Senator International Ltd,5100009349,20504.2,,BB5 5YE
Department for Transport,Driving Standards Agency,40857,Office Furniture & Equipment Capital Cost,Newcastle Area Office,Senator International Ltd,5100009491,27540,CAP 200+ Liberty Chair No Arms,BB5 5YE
Department for Transport,Driving Standards Agency,40868,Removal Costs,Newcastle Area Office,Senator International Ltd,5100009800,9512.5,Eastgate House Removal,BB5 5YE
Department for Transport,Driving Standards Agency,40855,Waste disposal/Refuse,Brentwood,Senator International Ltd,5100009370,60,,BB5 5YE
Department for Transport,Driving Standards Agency,40870,Rates,Sevenoaks DTC,SEVENOAKS D.C. ,DIRECT DEBIT,769,207655 60692026 SEVENOAKS D.C.     030548749          990853,
Department for Transport,Driving Standards Agency,40861,Water,Wolverhampton MPTC,SEVERN TRENT WATER LIMITE,DIRECT DEBIT,2216.38,300003 02575106 SEVERN TRENT WATER 985005032020113131 836619,
Department for Transport,Driving Standards Agency,40848,Rates,Sheffield - Acres Hill,SHEFFIELD CC,DIRECT DEBIT,1055,089075 61110340 SHEFFIELD CC       1719188            973014,
Department for Transport,Driving Standards Agency,40877,Rates,Sheffield - Acres Hill,SHEFFIELD CC,DIRECT DEBIT,1055,089075 61110340 SHEFFIELD CC       1719188            973014,
Department for Transport,Driving Standards Agency,40870,Estate Management,Sheffield Acres Hill DTC,SHEFFIELD CITY COUNCIL,1900005738,6000,Late payment of Sheffield Parkway DTC Planning fee,S1 2SH
Department for Transport,Driving Standards Agency,40869,Legal Costs,HR Corporate Expenditure,SHEPHERD & WEDDERBURN LLP,5100009857,2209.42,Professional work,EH3 8UL
Department for Transport,Driving Standards Agency,40869,Legal Costs,HR Corporate Expenditure,SHEPHERD & WEDDERBURN LLP,5100009858,13539.8,Professional work,EH3 8UL
Department for Transport,Driving Standards Agency,40848,Rates,Shrewsbury MPTC,SHROPSHIRE COUNCIL,DIRECT DEBIT,5578,555005 55652409 SHROPSHIRE COUNCIL 2300118280009      694051,
Department for Transport,Driving Standards Agency,40877,Rates,Shrewsbury MPTC,SHROPSHIRE COUNCIL,DIRECT DEBIT,5578,555005 55652409 SHROPSHIRE COUNCIL 2300118280009      694051,
Department for Transport,Driving Standards Agency,40871,Electricity,Sutton In Ashfield,SLEEKMADE PROPERTY CO LTD,1900005702,2142.42,Sutton in Ashfield electric to 13.09.2011,NG1 2LB
Department for Transport,Driving Standards Agency,40870,Room Hire,Ayrshire ATS,SOUTH AYRSHIRE COUNCIL,5100009915,720,Girvan Room Hire 13/07/11 - 19/10/11,KA7 2PL
Department for Transport,Driving Standards Agency,40855,Rates,Bristol MPTC,South Gloucestershire Council,DIRECT DEBIT,2728,556138 80105629 SGC                66930563           995741,
Department for Transport,Driving Standards Agency,40848,Rates,Southampton Maybush DTC,SOUTHAMPTON CC,DIRECT DEBIT,853,089026 61561067 SOUTHAMPTON C.C    000521655496       762639,
Department for Transport,Driving Standards Agency,40877,Rates,Southampton Maybush DTC,SOUTHAMPTON CC,DIRECT DEBIT,853,089026 61561067 SOUTHAMPTON C.C    000521655496       762639,
Department for Transport,Driving Standards Agency,40861,Electricity,High Wycombe,SOUTHERN ELECTRIC,1900005607,552.31,Prior to Direct Debit Set-up,RG21 5SL
Department for Transport,Driving Standards Agency,40857,Training,Cardington-Non VocTrng,SR SUPPLY CHAIN CONSULTANTS LTD,5100009531,897,ET Denis Abdic Supply Chain Management,BB6 8AG
Department for Transport,Driving Standards Agency,40857,Rent - L&B (non-PFI),Bury St Edmunds,ST EDMUNDSBURY BOROUGH COUNCIL,1900005430,655.2,Rent of 7 parking bays - Aug to Oct - Tot. 78 Days,IP33 3YS
Department for Transport,Driving Standards Agency,40854,Rates,St Helens mptc,ST. HELENS MBC,DIRECT DEBIT,1392,607008 94231397 ST.HELENS M.B.C.   302200760          990784,
Department for Transport,Driving Standards Agency,40850,Rates,Stafford DTC,STAFFORD BOROUGH COUNCIL,DIRECT DEBIT,519,208100 10841706 STAFFORDBOROUGHCOU 01      30106346   430107,
Department for Transport,Driving Standards Agency,40856,Printing,Driver Training Registration,STERLING,5100009031,950,Print Pass Plus Certificate,NN15 6XU
Department for Transport,Driving Standards Agency,40862,Rates,Cambridge MPTC,STH CAMBS COUNCIL,DIRECT DEBIT,1419,401657 61180002 STH CAMBS COUNCIL  01      3030112864 982922,
Department for Transport,Driving Standards Agency,40835,Motorcycle Maintenance,CBT,STHPORT SUPERBIKES       SOUTHPORT,GPC,656.86,Service & Replacement tyres for motorcycle,
Department for Transport,Driving Standards Agency,40848,Rates,Bredbury MPTC,STOCKPORT METROPOLITAN BOROUGH,DIRECT DEBIT,1688,089024 61110751 STOCKPORT METROPOL 01      9300179780 990783,
Department for Transport,Driving Standards Agency,40877,Rates,Bredbury MPTC,STOCKPORT METROPOLITAN BOROUGH,DIRECT DEBIT,3464,089024 61110751 STOCKPORT METROPOL 01      9300179780 990783,
Department for Transport,Driving Standards Agency,40848,Rates,Newcastle under Lyme DTC,STOKE-ON-TRENT CITY,DIRECT DEBIT,552,089009 61519077 STOKE-ON-TRENT CIT 52601641           250353,
Department for Transport,Driving Standards Agency,40877,Rates,Newcastle under Lyme DTC,STOKE-ON-TRENT CITY,DIRECT DEBIT,552,089009 61519077 STOKE-ON-TRENT CIT 52601641           250353,
Department for Transport,Driving Standards Agency,40870,Rates,SUNDERLAND (RIVERBANK),SUNDERLAND NNDR,DIRECT DEBIT,682,556111 46623590 SUNDERLAND NNDR    052562             654060,
Department for Transport,Driving Standards Agency,40848,Rates,Swindon MPTC,SWINDON BC CENTRAL,DIRECT DEBIT,2252,089012 61242014 SWINDON BC CENTRAL           30364370 971614,
Department for Transport,Driving Standards Agency,40877,Rates,Swindon MPTC,SWINDON BC CENTRAL,DIRECT DEBIT,2252,089012 61242014 SWINDON BC CENTRAL           30364370 971614,
Department for Transport,Driving Standards Agency,40868,Rates,TAUNTON MPTC,TAUNTON DEANE BOROUGH COUNCIL,DIRECT DEBIT,4898,608006 70853673 TDBC   GENERAL ACC 01      8000226363 951127,
Department for Transport,Driving Standards Agency,40857,Other Professional Fees,Procurement,TEAM (ENERGY AUDITING AGENCY LTD.),5100009522,2232,Oct-11,MK14 6LY
Department for Transport,Driving Standards Agency,40872,Motorcycle Maintenance,Lowestoft,THAMES VALLEY POLICE,5100009911,882.06,"RE05OAP-60,000 MILE SERVICE",OX5 2YS
Department for Transport,Driving Standards Agency,40865,Rent - L&B (non-PFI),Wick MPTC,THE HIGHLAND COUNCIL,5100009622,4500,Wick MPTC rent,IV3 5NX
Department for Transport,Driving Standards Agency,40857,Rates,Tilbury,THURROCK COUNCIL,DIRECT DEBIT,963,089036 61159961 THURROCK COUNCIL   1404040192         724288,
Department for Transport,Driving Standards Agency,40856,CRB Checks,ADI Register,TMG.tv Ltd,5100009513,-418.61,Part credit against 00242643,NG11 7EP
Department for Transport,Driving Standards Agency,40856,CRB Checks,ADI Register,TMG.tv Ltd,5100009487,58112.08,ADI CRB & ADMIN CHARGES OCTOBER 2011,NG11 7EP
Department for Transport,Driving Standards Agency,40857,CRB Checks,HR - Resourcing Team,TMG.tv Ltd,5100009527,734.5,Criminal record checks 26.09.11-31.10.11,NG11 7EP
Department for Transport,Driving Standards Agency,40877,Rates,Sale DTC,TRAFFORD MBC,DIRECT DEBIT,1440,089000 61097890 TRAFFORD MBC       01      274252     973693,
Department for Transport,Driving Standards Agency,40848,Rates,Sale DTC,TRAFFORD METROPOLITAN BOROUGH COUNCIL,DIRECT DEBIT,1440,089000 61097890 TRAFFORD MBC       01      274252     973693,
Department for Transport,Driving Standards Agency,40850,Legal Costs,HR Corporate Expenditure,TREASURY SOLICITOR,5100009339,-1000,Credit for 107172,WC2B 4TS
