Department Family,Entity,Date,Expense Type,Expense Area Rev,Supplier,Transaction Number,Amount,Description,Supplier Postcode
Department for Transport,Department for Transport,21/10/2014,Support Services,General Counsel's Office,Irwin Mitchell,2000014806,126084.5,Industrial Injury Claim ,S3 8DT
Department for Transport,Department for Transport,21/10/2014,Training,Project Sponsorship ,MEANWHILE GARDENS COMMUNITY ASSOC,2000014840,570,#,W10 5BN
Department for Transport,Department for Transport,21/10/2014,Treasury Solicitors,"Policy, Legislation and Funding",TREASURY SOLICITOR,2000014807,3607.32,#,WC2B 4TS
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Group Human Resource,NETWORKERS INTERNATIONAL (UK) PLC,2000014922,810.82,#,BR1 1HP
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Local,BROOK STREET (UK) LIMITED,2000014899,976.08,#,AL1 4JB
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000014884,4036.38,#,BN11 2BW
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Group Finance,Badenoch & Clark c/o Lauren Rogers,2000014886,3347.7,#,B37 7YE
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000014916,3240,#,SL1 3SA
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000015035,4312.8,#,SL1 3SA
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000014922,6782.52,#,BR1 1HP
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Motoring Services,BROOK STREET (UK) LIMITED,2000014899,720,#,AL1 4JB
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Major Projects & Growth,Badenoch & Clark c/o Lauren Rogers,2000015015,766.78,#,B37 7YE
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Major Projects & Growth,Experis Ltd,2000014891,4793.46,#,EC2M 2RB
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Major Projects & Growth,Experis Ltd,2000014891,-4793.46,#,EC2M 2RB
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Major Projects & Growth,Experis Ltd,2000014891,4793.46,#,EC2M 2RB
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Rail Commercial & Programme Office,BROOK STREET (UK) LIMITED,2000014899,519.74,#,AL1 4JB
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Rail Commercial & Programme Office,NETWORKERS INTERNATIONAL (UK) PLC,2000014922,4126.26,#,BR1 1HP
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA BUSINESS SERVICES LTD,2000014883,2615.16,#,DL1 9HN
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Rail Strategy & Funding,NETWORKERS INTERNATIONAL (UK) PLC,2000014922,2176.26,#,BR1 1HP
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Rail Strategy & Funding,CAPITA RESOURCING LTD,2000014917,4026,#,DL1 9HN
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Rail Franchising,CAPITA RESOURCING LTD,2000014917,30912,#,DL1 9HN
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Group Finance,Experis Ltd,2000014891,3465.29,#,EC2M 2RB
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Group Finance,Experis Ltd,2000014891,-3465.29,#,EC2M 2RB
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Group Finance,Experis Ltd,2000014891,3465.29,#,EC2M 2RB
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Rail Commercial & Programme Office,MICHAEL PAGE INTERNATIONAL,2000014916,723.9,#,SL1 3SA
Department for Transport,Department for Transport,22/10/2014,Agency Staff Costs,Rail Strategy & Funding,NETWORKERS INTERNATIONAL (UK) PLC,2000014922,959.46,#,BR1 1HP
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,BATH & NE SOMERSET DC,2000014945,858750,Highway Maintenance Block - 2014/15 Quarter 3,BA1 5AW
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,BEDFORD BC,2000015019,674500,Highway Maintenance Block - 2014/15 Quarter 3,MK40 1SJ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,BLACKBURN WITH DARWEN BC,2000014997,415750,Highway Maintenance Block - 2014/15 Quarter 3,BB1 7DY
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,BLACKPOOL COUNCIL,2000015044,343750,Highway Maintenance Block - 2014/15 Quarter 3,FY3 7HW
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,BOURNEMOUTH BC,2000014946,335500,Highway Maintenance Block - 2014/15 Quarter 3,BH2 6DY
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,BRACKNELL FOREST BC,2000015016,347500,Highway Maintenance Block - 2014/15 Quarter 3,RG12 1AQ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,BRIGHTON & HOVE COUNCIL,2000014947,790750,Highway Maintenance Block - 2014/15 Quarter 3,BN3 2SR
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,BRISTOL CITY COUNCIL,2000014948,744500,Highway Maintenance Block - 2014/15 Quarter 3,BS99 7BL
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,BUCKINGHAMSHIRE CC (REVENUE),2000014949,1825250,Highway Maintenance Block - 2014/15 Quarter 3,HP20 1UD
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,CAMBRIDGESHIRE COUNTY COUNCIL,2000014950,2536000,Highway Maintenance Block - 2014/15 Quarter 3,CB3 0AP
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,CENTRAL BEDFORDSHIRE COUNCIL,2000015041,892750,Highway Maintenance Block - 2014/15 Quarter 3,MK42 9BD
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,CENTRO,2000015038,3562750,Highway Maintenance Block - 2014/15 Quarter 3,B19 3SD
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,CHESHIRE EAST BOROUGH COUNCIL,2000015039,1937000,Highway Maintenance Block - 2014/15 Quarter 3,CW11 1HZ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,Cheshire West & Chester Council,2000015040,1452250,Highway Maintenance Block - 2014/15 Quarter 3,CH1 1SE
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,CITY OF YORK COUNCIL,2000014951,421000,Highway Maintenance Block - 2014/15 Quarter 3,Y01 7WH
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,CORNWALL COUNTY COUNCIL,2000015007,4106500,Highway Maintenance Block - 2014/15 Quarter 3,TR1 38D
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,CUMBRIA COUNTY COUNCIL,2000014952,5076000,Highway Maintenance Block - 2014/15 Quarter 3,CA3 8NA
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,DARLINGTON BC,2000014953,351000,Highway Maintenance Block - 2014/15 Quarter 3,TS19 1JA
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,Derby City Council,2000014954,422250,Highway Maintenance Block - 2014/15 Quarter 3,DE1 2FS
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,DERBYSHIRE COUNTY COUNCIL,2000014955,3425000,Highway Maintenance Block - 2014/15 Quarter 3,DE4 3AH
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,DEVON COUNTY COUNCIL,2000014956,7866750,Highway Maintenance Block - 2014/15 Quarter 3,EX2 4QJ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,DORSET COUNTY COUNCIL,2000014957,2570500,Highway Maintenance Block - 2014/15 Quarter 3,DT1 1XJ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,DURHAM COUNTY COUNCIL,2000014958,2445000,Highway Maintenance Block - 2014/15 Quarter 3,DH1 5UE
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,EAST RIDING OF YORKSHIRE COUNCIL,2000015020,2244500,Highway Maintenance Block - 2014/15 Quarter 3,HU17 9BA
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,EAST SUSSEX COUNTY COUNCIL,2000015010,1976250,Highway Maintenance Block - 2014/15 Quarter 3,BN7 1UE
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,ESSEX COUNTY COUNCIL,2000014959,4504750,Highway Maintenance Block - 2014/15 Quarter 3,CM1 1LX
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,GATESHEAD MBC,2000014998,527000,Highway Maintenance Block - 2014/15 Quarter 3,NE8 1HH
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,GLOUCESTERSHIRE COUNTY COUNCIL,2000014944,3488000,Highway Maintenance Block - 2014/15 Quarter 3,GL1 2TJ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,GREATER MANCHESTER,2000015042,5885500,Highway Maintenance Block - 2014/15 Quarter 3,M60 2JR
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,HALTON BC,2000014960,454000,Highway Maintenance Block - 2014/15 Quarter 3,WA8 6NB
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,HAMPSHIRE COUNTY COUNCIL,2000014961,5192500,Highway Maintenance Block - 2014/15 Quarter 3,SO23 8UB
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,HARTLEPOOL BOROUGH COUNCIL,2000014962,191500,Highway Maintenance Block - 2014/15 Quarter 3,TS24 7BT
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,HEREFORDSHIRE COUNCIL,2000015021,2090750,Highway Maintenance Block - 2014/15 Quarter 3,HR4 0XH
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,Hertfordshire County Council,2000014963,4169500,Highway Maintenance Block - 2014/15 Quarter 3,SG13 8DN
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,KENT COUNTY COUNCIL,2000014964,5332000,Highway Maintenance Block - 2014/15 Quarter 3,ME14 1XQ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,KINGSTON UPON HULL CITY COUNCIL,2000015022,435250,Highway Maintenance Block - 2014/15 Quarter 3,HU1 2AB
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,KNOWSLEY MBC,2000014965,380750,Highway Maintenance Block - 2014/15 Quarter 3,L32 1TX
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,LANCASHIRE COUNTY COUNCIL,2000014966,4635000,Highway Maintenance Block - 2014/15 Quarter 3,PR1 0LD
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,Leicester City Council,2000014967,484000,Highway Maintenance Block - 2014/15 Quarter 3,LE1 6ZG
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,LEICESTERSHIRE COUNTY COUNCIL,2000014999,2576250,Highway Maintenance Block - 2014/15 Quarter 3,LE3 8RB
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,Lincolnshire County Council,2000015047,5482250,Highway Maintenance Block - 2014/15 Quarter 3,LN1 1DN
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,LIVERPOOL CITY COUNCIL,2000015023,770750,Highway Maintenance Block - 2014/15 Quarter 3,L2 2DH
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,LUTON BOROUGH COUNCIL,2000014968,257000,Highway Maintenance Block - 2014/15 Quarter 3,LU1 2BQ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,MEDWAY COUNCIL,2000015008,530500,Highway Maintenance Block - 2014/15 Quarter 3,ME4 4TR
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,MIDDLESBROUGH BC,2000014943,389500,Highway Maintenance Block - 2014/15 Quarter 3,TS1 2QQ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,MILTON KEYNES BC,2000014969,1193750,Highway Maintenance Block - 2014/15 Quarter 3,MK9 3EE
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,NEWCASTLE CITY COUNCIL,2000015024,532000,Highway Maintenance Block - 2014/15 Quarter 3,NE99 1RD
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,NORFOLK COUNTY COUNCIL,2000014978,4824000,Highway Maintenance Block - 2014/15 Quarter 3,NR1 2UG
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,North East Lincolnshire Council,2000015025,399500,Highway Maintenance Block - 2014/15 Quarter 3,DN35 8LN
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,North Lincolnshire Council,2000015000,813500,Highway Maintenance Block - 2014/15 Quarter 3,DN16 1AB
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,North Somerset Council,2000014970,800000,Highway Maintenance Block - 2014/15 Quarter 3,BS23 1UJ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,NORTH TYNESIDE COUNCIL,2000014971,428500,Highway Maintenance Block - 2014/15 Quarter 3,NE27 0BY
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,NORTH YORKSHIRE CC,2000015026,5142750,Highway Maintenance Block - 2014/15 Quarter 3,DL7 8AL
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,NORTHAMPTONSHIRE CC,2000014972,3202500,Highway Maintenance Block - 2014/15 Quarter 3,NN4 7DB
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,NORTHUMBERLAND CC,2000015027,3444000,Highway Maintenance Block - 2014/15 Quarter 3,NE61 2EF
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,NOTTINGHAM CITY COUNCIL,2000015037,434000,Highway Maintenance Block - 2014/15 Quarter 3,NG1 5NT
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,NOTTINGHAMSHIRE CC,2000015028,2634250,Highway Maintenance Block - 2014/15 Quarter 3,NG2 7LA
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,OXFORDSHIRE CC,2000014973,3023500,Highway Maintenance Block - 2014/15 Quarter 3,OX1 1TH
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,PETERBOROUGH CITY COUNCIL,2000014974,737500,Highway Maintenance Block - 2014/15 Quarter 3,PE1 1FF
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,PLYMOUTH CITY COUNCIL,2000014975,490250,Highway Maintenance Block - 2014/15 Quarter 3,PL1 2AA
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,POOLE BC,2000014976,350000,Highway Maintenance Block - 2014/15 Quarter 3,BH15 2RZ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,PORTSMOUTH CITY COUNCIL,2000015001,238750,Highway Maintenance Block - 2014/15 Quarter 3,PO1 2BG
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,READING BC,2000014977,577000,Highway Maintenance Block - 2014/15 Quarter 3,RG1 7TD
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,REDCAR & CLEVELAND BC,2000015002,368500,Highway Maintenance Block - 2014/15 Quarter 3,TS6 9AR
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,RUTLAND COUNTY COUNCIL,2000014979,339500,Highway Maintenance Block - 2014/15 Quarter 3,LE15 6HP
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,SEFTON MBC,2000014980,532500,Highway Maintenance Block - 2014/15 Quarter 3,PR8 1DA
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,Sheffield City Region,2000015031,2285000,Highway Maintenance Block - 2014/15 Quarter 3,S1 4PL
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,SHROPSHIRE COUNTY COUNCIL,2000015030,2993250,Highway Maintenance Block - 2014/15 Quarter 3,SY2 6ND
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,SLOUGH BC,2000014981,192250,Highway Maintenance Block - 2014/15 Quarter 3,SL1 3UF
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,SOMERSET COUNTY COUNCIL,2000014982,5868000,Highway Maintenance Block - 2014/15 Quarter 3,TA1 4DY
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,SOUTH GLOUCESTERSHIRE COUNCIL,2000014983,1031250,Highway Maintenance Block - 2014/15 Quarter 3,BS15 9DW
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,SOUTH TYNESIDE MBC,2000015003,317500,Highway Maintenance Block - 2014/15 Quarter 3,NE33 4JP
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,Southampton City Council,2000015009,408000,Highway Maintenance Block - 2014/15 Quarter 3,SO14 7LY
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,SOUTHEND-ON-SEA BC,2000015032,379500,Highway Maintenance Block - 2014/15 Quarter 3,SS2 6AN
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,ST HELENS MBC,2000014984,405250,Highway Maintenance Block - 2014/15 Quarter 3,WA10 1UQ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,STAFFORDSHIRE COUNTY COUNCIL,2000015029,3833500,Highway Maintenance Block - 2014/15 Quarter 3,ST16 2NF
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,STOCKTON ON TEES BC,2000014985,477250,Highway Maintenance Block - 2014/15 Quarter 3,TS23 2YS
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,Stoke-On-Trent City Council,2000015033,464750,Highway Maintenance Block - 2014/15 Quarter 3,ST4 4TS
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,SUFFOLK COUNTY COUNCIL (GRANTS),2000015011,4018500,Highway Maintenance Block - 2014/15 Quarter 3,IP1 2DH
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,SUNDERLAND CITY COUNCIL,2000014986,692000,Highway Maintenance Block - 2014/15 Quarter 3,SR2 7DN
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,SURREY COUNTY COUNCIL,2000014987,3816500,Highway Maintenance Block - 2014/15 Quarter 3,KT1 2DN
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,SWINDON BC,2000014988,600000,Highway Maintenance Block - 2014/15 Quarter 3,SN1 2JH
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,TELFORD & WREKIN DC,2000015004,626500,Highway Maintenance Block - 2014/15 Quarter 3,TF3 4LF
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,THURROCK DC,2000014989,403000,Highway Maintenance Block - 2014/15 Quarter 3,RM17 6LT
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,TORBAY BC,2000014990,273500,Highway Maintenance Block - 2014/15 Quarter 3,TQ1 3DS
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,W YORKS PTA,2000015034,5941500,Highway Maintenance Block - 2014/15 Quarter 3,LS1 1QS
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,WARRINGTON BC,2000014991,735000,Highway Maintenance Block - 2014/15 Quarter 3,WA1 1BN
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,Warwickshire County Council,2000015005,2378750,Highway Maintenance Block - 2014/15 Quarter 3,CV34 4RH
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,WEST BERKSHIRE DC,2000014992,781500,Highway Maintenance Block - 2014/15 Quarter 3,RG14 2AF
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,West Sussex County Council,2000014993,2510750,Highway Maintenance Block - 2014/15 Quarter 3,PO19 1RG
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,WILTSHIRE COUNTY COUNCIL,2000014994,3065500,Highway Maintenance Block - 2014/15 Quarter 3,BA14 8JJ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,WINDSOR & MAIDENHEAD,2000014995,449250,Highway Maintenance Block - 2014/15 Quarter 3,SL6 1RF
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,Wirral Council,2000015043,674750,Highway Maintenance Block - 2014/15 Quarter 3,CH41 6BU
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,WOKINGHAM DC,2000014996,625750,Highway Maintenance Block - 2014/15 Quarter 3,RG40 1JW
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,WORCESTERSHIRE COUNTY COUNCIL,2000015006,2729250,Highway Maintenance Block - 2014/15 Quarter 3,WR5 2NP
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,BATH & NE SOMERSET DC,2000014945,430750,IT Block - third quarterly payment - 2014/15,BA1 5AW
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,BEDFORD BC,2000014900,353750,IT Block - third quarterly payment - 2014/15,MK40 1SJ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,BLACKBURN WITH DARWEN BC,2000014997,345250,IT Block - third quarterly payment - 2014/15,BB1 7DY
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,BLACKPOOL COUNCIL,2000014932,482000,IT Block - third quarterly payment - 2014/15,FY3 7HW
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,BOURNEMOUTH BC,2000014946,539750,IT Block - third quarterly payment - 2014/15,BH2 6DY
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,BRACKNELL FOREST BC,2000014887,197250,IT Block - third quarterly payment - 2014/15,RG12 1AQ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,BRIGHTON & HOVE COUNCIL,2000014947,1079000,IT Block - third quarterly payment - 2014/15,BN3 2SR
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,BRISTOL CITY COUNCIL,2000014948,1240000,IT Block - third quarterly payment - 2014/15,BS99 7BL
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,BUCKINGHAMSHIRE CC (REVENUE),2000014949,1006250,IT Block - third quarterly payment - 2014/15,HP20 1UD
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,CAMBRIDGESHIRE COUNTY COUNCIL,2000014950,1426750,IT Block - third quarterly payment - 2014/15,CB3 0AP
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,CENTRAL BEDFORDSHIRE COUNCIL,2000014926,470500,IT Block - third quarterly payment - 2014/15,MK42 9BD
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,CENTRO,2000014923,9348750,IT Block - third quarterly payment - 2014/15,B19 3SD
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,CHESHIRE EAST BOROUGH COUNCIL,2000014924,802000,IT Block - third quarterly payment - 2014/15,CW11 1HZ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,Cheshire West & Chester Council,2000014925,813500,IT Block - third quarterly payment - 2014/15,CH1 1SE
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,CITY OF YORK COUNCIL,2000014951,580750,IT Block - third quarterly payment - 2014/15,Y01 7WH
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,CORNWALL COUNTY COUNCIL,2000015007,1774000,IT Block - third quarterly payment - 2014/15,TR1 38D
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,CUMBRIA COUNTY COUNCIL,2000014952,1069250,IT Block - third quarterly payment - 2014/15,CA3 8NA
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,DARLINGTON BC,2000014953,256250,IT Block - third quarterly payment - 2014/15,TS19 1JA
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,Derby City Council,2000014954,715000,IT Block - third quarterly payment - 2014/15,DE1 2FS
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,DERBYSHIRE COUNTY COUNCIL,2000014955,1696000,IT Block - third quarterly payment - 2014/15,DE4 3AH
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,DEVON COUNTY COUNCIL,2000014956,1539750,IT Block - third quarterly payment - 2014/15,EX2 4QJ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,DORSET COUNTY COUNCIL,2000014957,847750,IT Block - third quarterly payment - 2014/15,DT1 1XJ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,DURHAM COUNTY COUNCIL,2000014958,1118750,IT Block - third quarterly payment - 2014/15,DH1 5UE
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,EAST RIDING OF YORKSHIRE COUNCIL,2000014901,673000,IT Block - third quarterly payment - 2014/15,HU17 9BA
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,EAST SUSSEX COUNTY COUNCIL,2000015010,1217750,IT Block - third quarterly payment - 2014/15,BN7 1UE
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,ESSEX COUNTY COUNCIL,2000014959,2941000,IT Block - third quarterly payment - 2014/15,CM1 1LX
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,GLOUCESTERSHIRE COUNTY COUNCIL,2000014944,1280250,IT Block - third quarterly payment - 2014/15,GL1 2TJ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,GREATER MANCHESTER,2000014927,6354500,IT Block - third quarterly payment - 2014/15,M60 2JR
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,HALTON BC,2000014960,255000,IT Block - third quarterly payment - 2014/15,WA8 6NB
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,HAMPSHIRE COUNTY COUNCIL,2000014961,2455250,IT Block - third quarterly payment - 2014/15,SO23 8UB
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,HARTLEPOOL BOROUGH COUNCIL,2000014962,197500,IT Block - third quarterly payment - 2014/15,TS24 7BT
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,HEREFORDSHIRE COUNCIL,2000014903,356250,IT Block - third quarterly payment - 2014/15,HR4 0XH
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,Hertfordshire County Council,2000014963,2187000,IT Block - third quarterly payment - 2014/15,SG13 8DN
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,KENT COUNTY COUNCIL,2000014964,3074750,IT Block - third quarterly payment - 2014/15,ME14 1XQ
Department for Transport,Department for Transport,22/10/2014,Cap Grt Loc Auth,Local,KINGSTON UPON HULL CITY COUNCIL,2000014904,854000,IT Block - third quarterly payment - 2014/15,HU1 2AB
