Department Family,Entity,Date,Expense Type,Expense Area ,Supplier,Transaction No,Sum of Amount,Item Text,Postal Code
Department For Transport,Highways Agency,08/04/2013,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,MILTON KEYNES COUNCIL,600378,1729.88,Accident Data for 2012:,MK9 3EJ
Department For Transport,Highways Agency,08/04/2013,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,PEEKMOUCHEL,600370,1548.81,"Invoice 90125293, Nov 12, NDD, LG, 08/04/13",AL2 2DQ
Department For Transport,Highways Agency,08/04/2013,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,PEEKMOUCHEL,600371,1853.44,"Invoice 90125290, Nov 12, NDD, LG, 08/04/13",AL2 2DQ
Department For Transport,Highways Agency,08/04/2013,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,PEEKMOUCHEL,600372,8554.82,"Invoice 90125282, Nov 12, NDD, LG, 08/04/13",AL2 2DQ
Department For Transport,Highways Agency,08/04/2013,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,PEEKMOUCHEL,600373,1593.36,"Invoice 90125185, Nov 12, NDD, LG, 08/04/13",AL2 2DQ
Department For Transport,Highways Agency,08/04/2013,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,PEEKMOUCHEL,600375,740.64,"Invoice 90125176, Nov 12, NDD, LG, 08/04/13",AL2 2DQ
Department For Transport,Highways Agency,08/04/2013,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,PEEKMOUCHEL,600376,3354.54,"Invoice 90125018, Nov 12, NDD, LG, 08/04/13",AL2 2DQ
Department For Transport,Highways Agency,08/04/2013,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,PEEKMOUCHEL,600377,1094.83,"Invoice 90118486, Jul 12, NDD, LG, 08/04/13",AL2 2DQ
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,MAJOR PROJECTS,PARSONS BRINCKERHOFF LIMITED,600296,10466.65,Reference Roads to 1 March 2013 PO 1161 Sub Package 2A,NE4 7YQ
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,MAJOR PROJECTS,PARSONS BRINCKERHOFF LIMITED,600297,24938.63,Reference Roads to 1 March 2013 PO 1161 Sub Package 1,NE4 7YQ
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,600336,758.1,Apps and Certs Receipt - APC43275,BS32 4SR
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,600340,64316.69,Apps and Certs Receipt - APC43272,BS32 4SR
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,600344,3700.11,Apps and Certs Receipt - APC43229,BS32 4SR
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,600348,2853.23,Apps and Certs Receipt - APC43226,BS32 4SR
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,600349,23118.07,Apps and Certs Receipt - APC43224,BS32 4SR
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,600351,646.63,Apps and Certs Receipt - APC43223,BS32 4SR
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,600355,1207.14,Apps and Certs Receipt - APC43216,BS32 4SR
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,600356,5282.73,Apps and Certs Receipt - APC43220,BS32 4SR
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,600363,41441.24,Apps and Certs Receipt - APC43215,BS32 4SR
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GLOUCESTER HARBOUR TRUSTEES,600338,10243.66,Apps and Certs Receipt - APC42932,GL13 9UD
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GLOUCESTER HARBOUR TRUSTEES,600339,5328.04,Apps and Certs Receipt - APC42932,GL13 9UD
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,543058,-7286.71,Work completed in March 2013,NE11 0RU
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,600322,34909.91,SP Framework to 28 Feb 2013 - Spatial Planning,NE11 0RU
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,524452,-21016.88,Atkins Technical specifications management  April 12 costs,KT18 5BW
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,524491,-1838.08,"Tandem T207241 WP75, 76 & 77, 2012 April (WL)",KT18 5BW
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,526701,-3610.14,Work completed in June 2012,KT18 5BW
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,527944,-2163.56,Tech Specs Invoice June 2012,KT18 5BW
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,528934,-1435.72,Atkins Technical Specifications Works July 2012 - added to receipt for future invoices,KT18 5BW
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,530517,-563.83,,KT18 5BW
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,530586,-555.05,Work completed in August 2012,KT18 5BW
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,530678,-1708.17,Aug-12,KT18 5BW
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,533779,-7180.2,,KT18 5BW
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,600341,35904.15,Apps and Certs Receipt - APC43266,BS32 4SR
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BRITISH TELECOM PLC (NON CIS) CHARGES,600304,2570.29,,DH98 1BT
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,535757,-49664.78,,GU14 7BF
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,541381,-5000,,GU14 7BF
Department For Transport,Highways Agency,08/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,PEEKMOUCHEL,600368,1005.98,"Invoice 90127852, Jan 13, NDD, LG, 08/04/13",AL2 2DQ
Department For Transport,Highways Agency,08/04/2013,Non Civil Servant HA Staff,FINANCE & BUSINESS SERVICES,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED,600328,2304,"XXXXXX, w/e 7/4/13, 4 days worked @ #480 per day",SL1 1DB
Department For Transport,Highways Agency,08/04/2013,Non Civil Servant HA Staff,MAJOR PROJECTS,E C HARRIS LLP,600307,53376.2,ECH Draft Invoice 19 Jan - 15 Feb 2013,M60 3NT
Department For Transport,Highways Agency,08/04/2013,Non Civil Servant HA Staff,MAJOR PROJECTS,E C HARRIS LLP,600309,8129.08,ECH Draft Invoice 19 Jan - 15 Feb 2013,M60 3NT
Department For Transport,Highways Agency,08/04/2013,Non Civil Servant HA Staff,MAJOR PROJECTS,E C HARRIS LLP,600310,13132.08,ECH Draft Invoice 19 Jan - 15 Feb 2013,M60 3NT
Department For Transport,Highways Agency,08/04/2013,Non Civil Servant HA Staff,MAJOR PROJECTS,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,600300,12982.03,XXXXXX 03/03/13 - 17/03/13 Invoice LA227070,ST1 5UB
Department For Transport,Highways Agency,08/04/2013,Non Civil Servant HA Staff,NETWORK DELIVERY & DEVELOPMENT,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED,600364,546.58,Invoice 5443661 - XXXXXX w/e 7/4/13,SL1 1DB
Department For Transport,Highways Agency,08/04/2013,Non Civil Servant HA Staff,NETWORK SERVICES DIRECTORATE,METHODS CONSULTING LTD,544083,3567.7,March,WC2H 8AD
Department For Transport,Highways Agency,08/04/2013,Non Civil Servant HA Staff,NETWORK SERVICES DIRECTORATE,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED,600298,1566,"XXXXXX, w/e 24/03/13, 4.5 days worked @ #290 per day.",SL1 1DB
Department For Transport,Highways Agency,08/04/2013,Non Civil Servant HA Staff,NETWORK SERVICES DIRECTORATE,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED,600301,1044,"XXXXXX, w/e 31/3/13, 3 days worked @ #290 per day.",SL1 1DB
Department For Transport,Highways Agency,08/04/2013,Non Civil Servant HA Staff,NETWORK SERVICES DIRECTORATE,SPRING TECHNOLOGY STAFFING SERVICES LTD,600360,895.08,Temporary worker - XXXXXX - w/3 10/3/13 = 5 days = #745.90,B37 7YE
Department For Transport,Highways Agency,08/04/2013,Non Civil Servant HA Staff,NETWORK SERVICES DIRECTORATE,SPRING TECHNOLOGY STAFFING SERVICES LTD,600361,895.08,Temporary worker - XXXXXX - w/e 17/3/13 = 5 days @ #745.90,B37 7YE
Department For Transport,Highways Agency,08/04/2013,Non Civil Servant HA Staff,NETWORK SERVICES DIRECTORATE,SPRING TECHNOLOGY STAFFING SERVICES LTD,600374,716.06,Temporary worker - XXXXXX - w/e 31/3/2013 = 4 days @596.72,B37 7YE
Department For Transport,Highways Agency,08/04/2013,Non Civil Servant HA Staff,NETWORK SERVICES DIRECTORATE,SPRING TECHNOLOGY STAFFING SERVICES LTD,600383,716.06,Temporary worker - XXXXXX - w/e 7/4/13 - 4 days @ #596.72,B37 7YE
Department For Transport,Highways Agency,08/04/2013,Non Civil Servant HA Staff,TRAFFIC MANAGEMENT DIRECTORATE,BROOK STREET (UK)  LTD,600292,515.53,XXXXXX -w/c 30/03/13-37 hours @ 10.69=395.53 3hours @ 11.36=34.08 total=429.61 INCORRECT AMOUNT JB HAD TO ADD TO RECEIPT #2.68,AL1 4ZX
Department For Transport,Highways Agency,08/04/2013,Non Civil Servant HA Staff,TRAFFIC MANAGEMENT DIRECTORATE,BROOK STREET (UK)  LTD,600295,570.62,XXXXXX w/c 30/03/13-28.75hours @ 16.54=475.52,AL1 4ZX
Department For Transport,Highways Agency,08/04/2013,Non Civil Servant HA Staff,TRAFFIC MANAGEMENT DIRECTORATE,BROOK STREET (UK)  LTD,600303,550.08,XXXXXX-w/c 30/03/13- 30hours @ 15.28=458.40,AL1 4ZX
Department For Transport,Highways Agency,08/04/2013,Other external training costs,FINANCE & BUSINESS SERVICES,TURNER & TOWNSEND,543765,-28411.16,125107,LS18 4GH
Department For Transport,Highways Agency,08/04/2013,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,CONNECT A30/A35 LTD,600379,36965.74,"Invoice No. 30-35.0895, dated 1 April 2013",NW1 3AX
Department For Transport,Highways Agency,08/04/2013,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,ROADLINK (A69) LTD,600382,5222.3,INVOICE RL1281 DATED 8 APRIL 2013,NE43 7TN
Department For Transport,Highways Agency,08/04/2013,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,SHEPPEY ROUTE LTD,600384,959839.61,,ME10 2PG
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,600305,10186.76,A1 Dishforth - Leeming (southern section) invoice No 12062763  16/02/2013 to 29/03/2013,KT18 5BW
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN SERCO JOINT VENTURE,600315,515.4,Delivery HUB National MP Tranche 1 Contract & Commercial Function - Period Ending January 2013,SL6 4UB
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN SERCO JOINT VENTURE,600316,895.8,Delivery HUB National MP Tranche 1 Operation & Maintenance Function - Period Ending January 2013,SL6 4UB
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN SERCO JOINT VENTURE,600317,1588.22,Delivery HUB National MP Tranche 1 Efficiency Management Function - Period Ending January 2013,SL6 4UB
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN SERCO JOINT VENTURE,600320,562.2,Delivery HUB National MP Tranche 1 Knowledge Management Function - Period Ending January 2013,SL6 4UB
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN SERCO JOINT VENTURE,600321,1419.93,Delivery HUB National MP Tranche 1 Lean Function - Period Ending January 2013,SL6 4UB
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN SERCO JOINT VENTURE,600325,1485.6,Delivery HUB National MP Tranche 1 |Health & Safety Function - Period Ending January 2013,SL6 4UB
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN SERCO JOINT VENTURE,600326,3188.08,Delivery HUB National MP Tranche 1 Procurement Function - Period Ending January 2013,SL6 4UB
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN SERCO JOINT VENTURE,600335,638.16,Delivery HUB National MP Tranche 1 HUB Planning - Period Ending March 2013,SL6 4UB
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN SERCO JOINT VENTURE,600342,4370.41,Delivery HUB National MP Tranche 1 HUB Operation & Maintenance Function - Period Ending March 2013,SL6 4UB
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN SERCO JOINT VENTURE,600345,1804.2,Delivery HUB National MP Tranche 1 HUB Efficiency Management Function - Period Ending March 2013,SL6 4UB
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN SERCO JOINT VENTURE,600347,2966.82,Delivery HUB National MP Tranche 1 HUB Lean Function - Period Ending March 2013,SL6 4UB
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN SERCO JOINT VENTURE,600350,5297.28,Delivery HUB National MP Tranche 1 HUB Health & Safety Function - Period Ending March 2013,SL6 4UB
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN SERCO JOINT VENTURE,600352,3860.3,Delivery HUB National MP Tranche 1 HUB Procurement Function - Period Ending March 2013,SL6 4UB
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD242014,3487,,CF10 5BT
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD242032,4547.2,,CF10 5BT
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,FAITHFUL & GOULD,600311,13498.78,PSF2 A1 Dishforth - Barton (Southern Section)  invoice No 12026259  02/03/2013 - 29/03/2013,WR5 1TX
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,MOUCHEL LIMITED,600329,27299.96,M4 J3-12 Mouchel Invoice: 5000005627,OL1 9LH
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,MOUCHEL LIMITED,600330,32856.26,M4 J3-12 Mouchel Invoice: 5000006151,OL1 9LH
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,URS INFRASTRUCTURE AND ENVIRONMENT UK LTD,600331,140787.41,M4 J3-12 URS Invoice: 5431680,RG21 7PP
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,URS INFRASTRUCTURE AND ENVIRONMENT UK LTD,600333,193068.68,M4 J3-12 URS Invoice: 5452817,RG21 7PP
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD242015,3320,HAL66666645//25000211852012,SW19 4DT
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD242020,1636,HAL00010155/GXXXXXX25000207442012,SW19 4DT
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD242033,2411,HAL66666642//25000214942012,SW19 4DT
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD242034,5014,HAL66666642//25000214822012,SW19 4DT
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD242035,2568,HAL66666642//25000214932012,SW19 4DT
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD242036,9560,HAL66666642//25000217522012,SW19 4DT
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,530418,-710.23,Tandem WP775 Aug 2012 #10342.00,KT18 5BW
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,532060,-890.14,Tandem WP 775 SC11 Sept 2012 Invoice #11510.00,KT18 5BW
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,533735,-795.27,SC11 WP775 Monthly Charge Oct 12 #9407.00,KT18 5BW
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,525757,-6394.59,,GU14 7BF
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,600299,362489.74,,GU14 7BF
Department For Transport,Highways Agency,08/04/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,PEEKMOUCHEL,600365,14220.36,"Invoice 90118757, Aug 12, NDD, LG, 08/04/13",AL2 2DQ
Department For Transport,Highways Agency,08/04/2013,TOS operational Vehicle fuel,TRAFFIC MANAGEMENT DIRECTORATE,ALLSTAR BUSINESS SOLUTIONS,P2000586508,38575.41,EAST - MARCH 2013,SN5 6PS
Department For Transport,Highways Agency,08/04/2013,TOS operational Vehicle fuel,TRAFFIC MANAGEMENT DIRECTORATE,ALLSTAR BUSINESS SOLUTIONS,P2000586513,29294.83,WEST MIDS MAR 2013,SN5 6PS
Department For Transport,Highways Agency,09/04/2013,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,COMPUTACENTER (UK) LTD,600440,56547,Installation of Airwave Radio Kit into Area 9 WM Vehicles.,AL10 9TW
Department For Transport,Highways Agency,09/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,IPL INFORMATION PROCESSING LTD,542753,-667.38,Milestone I1:  Operational Service -  March 2013,BA1 5LR
Department For Transport,Highways Agency,09/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,IPL INFORMATION PROCESSING LTD,600450,8362.61,HAWCS Change Requests: 31 & 34,BA1 5LR
Department For Transport,Highways Agency,09/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,MOUCHEL LIMITED,600425,13993,"ASC Secondments, charge to end March 2013:",OL1 9LH
Department For Transport,Highways Agency,09/04/2013,Contractor Costs,NETWORK SERVICES DIRECTORATE,CONSTRUCTION INDUSTRY RESEARCH & INFORMATION ASSOCIATION (CIRIA),600430,42270,Subscription for 1/4/13 to 31/3/14,EC1V 9BP
Department For Transport,Highways Agency,09/04/2013,Contractor Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,543643,-15860.33,2013 March Invoice,NE11 0RU
Department For Transport,Highways Agency,09/04/2013,Contractor Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,600442,15807,,NE11 0RU
Department For Transport,Highways Agency,09/04/2013,Contractor Costs,NETWORK SERVICES DIRECTORATE,UNIVERSITY OF LEEDS,600444,22481,Work done March 2013 - receipted on behalf of XXXXXX,LS2 9JT
Department For Transport,Highways Agency,09/04/2013,Contractor Costs,TRAFFIC MANAGEMENT DIRECTORATE,ATKINS LTD,600428,54780,Receipting for April 2013,KT18 5BW
Department For Transport,Highways Agency,09/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HULL CITY COUNCIL,600441,174021.37,,HU1 2AB
Department For Transport,Highways Agency,09/04/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,NETWORK RAIL,600445,4518.3,,SN1 1GW
Department For Transport,Highways Agency,09/04/2013,ICT Software Maintenance,FINANCE & BUSINESS SERVICES,BUILDING SOFTWARE LTD,600385,3250,development of bespoke code for HA. Users to edit tenders etc,EX16 7EJ
Department For Transport,Highways Agency,09/04/2013,Lands Costs,MAJOR PROJECTS,FILE CENTRE DOCUMENT AND DATA STORAGE LIMITED,LOMD242040,5728.75,HAL55555552//5008180,BS4 5QW
Department For Transport,Highways Agency,09/04/2013,Lands Costs,MAJOR PROJECTS,SMITHS GORE,LOMD242039,8115.17,HAL55555553//18073484,PE1 1QF
Department For Transport,Highways Agency,09/04/2013,Non Civil Servant HA Staff,MAJOR PROJECTS,BADENOCH & CLARK,600449,550.8,,W1T 5AE
Department For Transport,Highways Agency,09/04/2013,Non Civil Servant HA Staff,NETWORK DELIVERY & DEVELOPMENT,EXPERIS LIMITED,600434,950.82,XXXXXX w/e 7/4/13,EC1R 3DR
Department For Transport,Highways Agency,09/04/2013,Non Civil Servant HA Staff,NETWORK DELIVERY & DEVELOPMENT,EXPERIS LIMITED,600435,938.82,XXXXXX w/e 7/4/13,EC1R 3DR
Department For Transport,Highways Agency,09/04/2013,Non Civil Servant HA Staff,NETWORK DELIVERY & DEVELOPMENT,EXPERIS LIMITED,600438,957.84,XXXXXX w/e 7/4/13,EC1R 3DR
Department For Transport,Highways Agency,09/04/2013,Non Civil Servant HA Staff,NETWORK DELIVERY & DEVELOPMENT,EXPERIS LIMITED,600439,857.1,XXXXXX w/e 7/4/13,EC1R 3DR
Department For Transport,Highways Agency,09/04/2013,Non Civil Servant HA Staff,NETWORK DELIVERY & DEVELOPMENT,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,600447,1365.53,XXXXXX W/E 31/03/2013,ST1 5UB
Department For Transport,Highways Agency,09/04/2013,Non Civil Servant HA Staff,NETWORK DELIVERY & DEVELOPMENT,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED,600436,505.08,XXXXXX w/e 7/4/13 30 hrs = #420.90,SL1 1DB
Department For Transport,Highways Agency,09/04/2013,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,NETWORK RAIL,600431,4415,Annual Maintenance and Renewal Charge for Bridge RED2/9A and VTB2/93B,SN1 1GW
Department For Transport,Highways Agency,09/04/2013,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,SOUTH OXFORDSHIRE DISTRICT COUNCIL,600433,37915.5,Payment of Rates 01 April 2013 - 31 March 2014- South Ox. DC -,DA8 9DS
Department For Transport,Highways Agency,09/04/2013,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,600388,3905.36,#,RH10 1TX
Department For Transport,Highways Agency,09/04/2013,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,600390,1248.72,#,RH10 1TX
Department For Transport,Highways Agency,09/04/2013,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,600391,806.1,#,RH10 1TX
Department For Transport,Highways Agency,09/04/2013,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,600395,644,#,RH10 1TX
Department For Transport,Highways Agency,09/04/2013,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,600397,947.44,#,RH10 1TX
Department For Transport,Highways Agency,09/04/2013,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,600398,4137.59,#,RH10 1TX
Department For Transport,Highways Agency,09/04/2013,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,600400,16869.88,#,RH10 1TX
Department For Transport,Highways Agency,09/04/2013,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,600401,15322.73,#,RH10 1TX
Department For Transport,Highways Agency,09/04/2013,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,600402,750.18,#,RH10 1TX
Department For Transport,Highways Agency,09/04/2013,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,600403,3145.54,#,RH10 1TX
Department For Transport,Highways Agency,09/04/2013,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,600404,1575.34,#,RH10 1TX
Department For Transport,Highways Agency,09/04/2013,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,600405,2216.74,#,RH10 1TX
Department For Transport,Highways Agency,09/04/2013,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,600406,1575.13,#,RH10 1TX
Department For Transport,Highways Agency,09/04/2013,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,600407,7431.84,#,RH10 1TX
Department For Transport,Highways Agency,09/04/2013,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,600408,790.46,#,RH10 1TX
Department For Transport,Highways Agency,09/04/2013,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,600409,6243.92,#,RH10 1TX
Department For Transport,Highways Agency,09/04/2013,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,600411,10844.18,#,RH10 1TX
Department For Transport,Highways Agency,09/04/2013,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,600412,8092.79,#,RH10 1TX
