Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,
Department for Transport,Department for Transport,24/12/2014,Agency Staff Costs,Rail Strategy & Funding,Badenoch & Clark c/o Lauren Rogers,2000019780,4231.02,#,B37 7YE,
Department for Transport,Department for Transport,24/12/2014,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000019802,1925.7,#,BR1 1HP,
Department for Transport,Department for Transport,24/12/2014,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000019802,861,#,BR1 1HP,
Department for Transport,Department for Transport,24/12/2014,Agency Staff Costs,Group Finance,CAPITA BUSINESS SERVICES LTD,2000019779,1608.08,#,DL1 9HN,
Department for Transport,Department for Transport,24/12/2014,Agency Staff Costs,"Policy, Legislation and Funding",Badenoch & Clark c/o Lauren Rogers,2000019780,3660,#,B37 7YE,
Department for Transport,Department for Transport,24/12/2014,Agency Staff Costs,"Policy, Legislation and Funding",Badenoch & Clark c/o Lauren Rogers,2000019780,3660,#,B37 7YE,
Department for Transport,Department for Transport,24/12/2014,Agency Staff Costs,"Policy, Legislation and Funding",Badenoch & Clark c/o Lauren Rogers,2000019780,3660,#,B37 7YE,
Department for Transport,Department for Transport,24/12/2014,Agency Staff Costs,"Policy, Legislation and Funding",Badenoch & Clark c/o Lauren Rogers,2000019780,3660,#,B37 7YE,
Department for Transport,Department for Transport,24/12/2014,Agency Staff Costs,Network Rail Sponsorship,CAPITA BUSINESS SERVICES LTD,2000019779,1468.26,#,DL1 9HN,
Department for Transport,Department for Transport,24/12/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA BUSINESS SERVICES LTD,2000019779,2887.92,#,DL1 9HN,
Department for Transport,Department for Transport,24/12/2014,Agency Staff Costs,Rail Franchising,Capita Resourcing Limited,2000019796,17331.6,#,EC4A 1EN,
Department for Transport,Department for Transport,24/12/2014,Agency Staff Costs,Rail Franchising,Experis Ltd,2000019785,3560.83,#,EC2M 2RB,
Department for Transport,Department for Transport,24/12/2014,Agency Staff Costs,Rail Commercial & Programme Office,MICHAEL PAGE INTERNATIONAL,2000019795,723.9,#,SL1 3SA,
Department for Transport,Department for Transport,24/12/2014,Agency Staff Costs,Rail Franchising,NETWORKERS INTERNATIONAL (UK) PLC,2000019802,1183.92,#,BR1 1HP,
Department for Transport,Department for Transport,24/12/2014,Agency Staff Costs,Rail Franchising,NETWORKERS INTERNATIONAL (UK) PLC,2000019802,1183.92,#,BR1 1HP,
Department for Transport,Department for Transport,24/12/2014,Agents Fees,Group Communication,GROUPM UK LIMITED,2000019808,113.95,#,WC1X 8RX,
Department for Transport,Department for Transport,24/12/2014,Cap Grt Pri Sec-Cos.,"Policy, Legislation and Funding",Eversheds LLP,2000019813,3840,#,CF10 5BT,
Department for Transport,Department for Transport,24/12/2014,Cap Grt Pri Sec-Cos.,Major Projects & Growth,NETWORK RAIL INFRASTRUCTURE LTD,2000019805,414060.44,WP3&5-App#9,M60 7WY,
Department for Transport,Department for Transport,24/12/2014,Cap Grt Pri Sec-Cos.,"Policy, Legislation and Funding",Eversheds LLP,2000019813,399613,#,CF10 5BT,
Department for Transport,Department for Transport,24/12/2014,Computer equipment,Air Accident Investigation Branch,DELL CORPORATION LTD,2000019783,1763.64,#,RG12 1LF,
Department for Transport,Department for Transport,24/12/2014,Computer equipment,Motoring Services,E-Cycle Limited,2000019812,1903.8,#,CF39 9BW,
Department for Transport,Department for Transport,24/12/2014,Contract Cleaning,Air Accident Investigation Branch,Interserve,2000019806,2328.63,#,B70 1DA,
Department for Transport,Department for Transport,24/12/2014,Curr Grt Other CG Bo,Major Projects & Growth,TECHNOLOGY STRATEGY BOARD,2000019804,2677547,Q2 Co-Funding for TSC Fund,SN2 1JF,
Department for Transport,Department for Transport,24/12/2014,CurrGrt Las in AEF/A,Major Projects & Growth,NEXUS,2000019794,2048456,NEXUSResource-Nov14,NE1 4AX,
Department for Transport,Department for Transport,24/12/2014,CurrGrtPriSec-P&NPIS,"Energy, Technology and International",ENERGY SAVING TRUST,2000019793,8000,Oct EV Readiness #8k,SW1H 9BP,
Department for Transport,Department for Transport,24/12/2014,Further Educ Cost,Group Finance,Kaplan Financial,2000019786,155.9,#,NE1 3PA,
Department for Transport,Department for Transport,24/12/2014,Grant Payments,Rail Commercial & Programme Office,GREATER MANCHESTER PTA,2000019800,3556514.8,1510 Wk3 Northern IFA - Franchise Payment Incl Ind,M1 3BG,
Department for Transport,Department for Transport,24/12/2014,Grant Payments,Rail Commercial & Programme Office,MERSEYTRAVEL,2000019797,705097.23,1510 Wk3 Northern IFA - Franchise Payment 14-15 -,L3 2AN,
Department for Transport,Department for Transport,24/12/2014,Grant Payments,Rail Commercial & Programme Office,NEXUS (TYNE & WEAR),2000019798,210237.33,1510 Wk3 Northern IFA - Franchise Payments 14-15 -,NE1 4AX,
Department for Transport,Department for Transport,24/12/2014,Grant Payments,Rail Commercial & Programme Office,SOUTH YORKSHIRE PTE,2000019799,1349022.86,1510 Wk3 Northern IFA - Franchise Payment Incl Ind,S2 5YT,
Department for Transport,Department for Transport,24/12/2014,Grant Payments,Rail Commercial & Programme Office,WEST YORKSHIRE PTA,2000019801,3241158.81,1510 Wk3 Northern IFA - Franchise Payment Incl Ind,LS1 2DE,
Department for Transport,Department for Transport,24/12/2014,Legal Consultancy,"Policy, Legislation and Funding",xxxxxx,2000019810,9120,#,xxxxxx,
Department for Transport,Department for Transport,24/12/2014,Legal Consultancy,Rail Franchising,NORTON ROSE LLP,2000019803,38797.56,#,SE1 2AQ,
Department for Transport,Department for Transport,24/12/2014,Legal Consultancy,"Policy, Legislation and Funding",xxxxxx,2000019809,9120,#,xxxxxx,
Department for Transport,Department for Transport,24/12/2014,Legal Consultancy,"Policy, Legislation and Funding",WINCKWORTH SHERWOOD,2000019790,283453.8,#,SE1 9BB,
Department for Transport,Department for Transport,24/12/2014,Mobile Phone charges,Centrally held prog-NATs,VODAFONE LTD,2000019792,34811.31,Vodafone 432 Mobiles,RG14 5FF,
Department for Transport,Department for Transport,24/12/2014,Occup Health Scheme,Group Human Resource,HEALTH MANAGEMENT LTD,2000019788,1140,#,BN8 5NN,
Department for Transport,Department for Transport,24/12/2014,Property Maintenance,Air Accident Investigation Branch,Interserve,2000019806,10594.56,#,B70 1DA,
Department for Transport,Department for Transport,24/12/2014,Pte Cost Of Servs Ch,Rail Commercial & Programme Office,GREATER MANCHESTER PTA,2000019800,115531.71,1510 Wk3 Admin Grant 14-15 - Transport for Greater,M1 3BG,
Department for Transport,Department for Transport,24/12/2014,Pte Cost Of Servs Ch,Rail Commercial & Programme Office,NEXUS (TYNE & WEAR),2000019798,19702.28,1510 Wk3 Admin Grant 14-15 - Nexus,NE1 4AX,
Department for Transport,Department for Transport,24/12/2014,Pte Cost Of Servs Ch,Rail Commercial & Programme Office,SOUTH YORKSHIRE PTE,2000019799,95004.21,1510 Wk3 Admin Grant 14-15 - South Yorkshire PTE,S2 5YT,
Department for Transport,Department for Transport,24/12/2014,Pte Cost Of Servs Ch,Rail Commercial & Programme Office,WEST YORKSHIRE PTA,2000019801,69215.87,1510 Wk3 Admin Grant 14-15 - West Yorkshire PTE,LS1 2DE,
Department for Transport,Department for Transport,24/12/2014,Publicity,Group Communication,GROUPM UK LIMITED,2000019808,137890.48,#,WC1X 8RX,
Department for Transport,Department for Transport,24/12/2014,Research,Strategic Roads & Smart Ticketing,OFFICE OF RAIL REGULATION,2000019776,63109.33,#,WC2B 4AN,
Department for Transport,Department for Transport,24/12/2014,Security,General Counsel's Office,FCO SERVICES,2000019774,4632,#,MK19 7BH,
Department for Transport,Department for Transport,24/12/2014,Storage & Distributi,Group Communication,WILLIAMS LEA LIMITED,2000019807,10082.68,#,NR3 1PD,
Department for Transport,Department for Transport,24/12/2014,Support Services,Aviation,Civil Aviation Authority,2000019782,381358,#,RH6 0YR,
Department for Transport,Department for Transport,24/12/2014,Support Services,Aviation,Civil Aviation Authority,2000019782,24599.5,#,RH6 0YR,
Department for Transport,Department for Transport,24/12/2014,Support Services,General Counsel's Office,CABINET OFFICE,2000019773,103305,#,CF14 3UW,
Department for Transport,Department for Transport,24/12/2014,Support Services,Aviation,Civil Aviation Authority,2000019782,56000,#,RH6 0YR,
Department for Transport,Department for Transport,24/12/2014,Support Services,Aviation,FCO FOREIGN & COMMONWEALTH OFFICE,2000019777,30521.02,#,MK10 1PX,
Department for Transport,Department for Transport,24/12/2014,Support Services,Aviation,OECD,2000019789,52200,#,SG6 1HN,
Department for Transport,Department for Transport,24/12/2014,Training,Group Finance,Kaplan Financial,2000019786,1845.18,#,NE1 3PA,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Local,BROOK STREET (UK) LIMITED,2000020032,642.02,#,AL1 4JB,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000020033,7704,#,SL1 3SA,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000020033,1284,#,SL1 3SA,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Major Projects & Growth,Badenoch & Clark c/o Lauren Rogers,2000020023,2978.16,#,B37 7YE,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Local,CAPITA BUSINESS SERVICES LTD,2000020020,3017.64,#,DL1 9HN,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000020032,867.72,#,AL1 4JB,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000020032,867.72,#,AL1 4JB,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000020032,867.72,#,AL1 4JB,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000020032,873.91,#,AL1 4JB,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000020032,880.12,#,AL1 4JB,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000020032,867.72,#,AL1 4JB,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Rail Franchising,BROOK STREET (UK) LIMITED,2000020032,823.2,#,AL1 4JB,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000020032,840,#,AL1 4JB,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Rail Franchising,BROOK STREET (UK) LIMITED,2000020032,823.2,#,AL1 4JB,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Rail Franchising,CAPITA BUSINESS SERVICES LTD,2000020020,4450.14,#,DL1 9HN,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Rail Franchising,CAPITA BUSINESS SERVICES LTD,2000020020,3655.15,#,DL1 9HN,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA BUSINESS SERVICES LTD,2000020020,2452.8,#,DL1 9HN,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA BUSINESS SERVICES LTD,2000020020,2890.14,#,DL1 9HN,
Department for Transport,Department for Transport,29/12/2014,Agency Staff Costs,Rail Franchising,Capita Resourcing Limited,2000020035,17982,#,EC4A 1EN,
Department for Transport,Department for Transport,29/12/2014,Cars Maintenance,Motoring Services,Inchcape Retail Ltd,2000020043,473.64,#,NG8 9LN,
Department for Transport,Department for Transport,29/12/2014,Computer equipment,Motoring Services,Probrand Ltd,2000020021,1054.8,#,B1 3BP,
Department for Transport,Department for Transport,29/12/2014,CurrGrt Las in AEF/A,Local,BRAINTREE COMMUNITY TRANSPORT,2000019875,1995.4,BRAINTREE COMMUNITY TRANSPORT,CM7 9HB,
Department for Transport,Department for Transport,29/12/2014,CurrGrt Las in AEF/A,Local,BRENTWOOD COMMUNITY TRANSPORT,2000019990,3129.64,BRENTWOOD COMMUNITY TRANSPORT,CM14 4AJ,
Department for Transport,Department for Transport,29/12/2014,CurrGrt Las in AEF/A,Local,Little Green Bus,2000019937,851.52,LITTLE GREEN BUS,BB7 1PL,
Department for Transport,Department for Transport,29/12/2014,CurrGrt Las in AEF/A,Local,NORSE TRANSPORT,2000019928,67129.78,Norse Transport,NR6 6EQ,
Department for Transport,Department for Transport,29/12/2014,CurrGrt Las in AEF/A,Local,Sawbridgeworth Town Council,2000020004,650.38,Sawbridgeworth Town Council,CM21 9AN,
Department for Transport,Department for Transport,29/12/2014,CurrGrt Las in AEF/A,Local,SCA SUPPORT SERVICES LTD,2000019943,4493.89,SCA COMMUNITY SUPPORT SERVICES LTD,SO14 0ST,
Department for Transport,Department for Transport,29/12/2014,CurrGrt Las in AEF/A,Local,VOLUNTARY TRANSPORT FOR,2000019972,504.75,VOLUNTARY TRANSPORT FOR THE DISABLED,WS13 6BY,
Department for Transport,Department for Transport,29/12/2014,CurrGrt Las in AEF/A,Rail Strategy & Funding,MERSEY TRAVEL,2000020036,6616146.02,Marsey Travel grant P10  payment,L3   2AN,
Department for Transport,Department for Transport,29/12/2014,Data Supply - TD,Transport Direct&Travel,LANDMARK INFORMATION GROUP LTD,2000020025,15050.6,#,EX2 7HY,
Department for Transport,Department for Transport,29/12/2014,Data Supply - TD,Transport Direct&Travel,LANDMARK INFORMATION GROUP LTD,2000020025,8629.5,#,EX2 7HY,
Department for Transport,Department for Transport,29/12/2014,IT Ser Running Costs,"Motoring, Freight & London",TRAFFICMASTER PLC,2000020029,53487,#,MK43 0TR,
Department for Transport,Department for Transport,29/12/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000020028,6800,#,BS24 9BP,
Department for Transport,Department for Transport,29/12/2014,Marketing,Analysis & Strategy,OVE ARUP & PARTNERS,2000020026,277089.36,#,NE1 3PL,
Department for Transport,Department for Transport,29/12/2014,Other Advertising,Local,PENNA COMMUNICATIONS,2000020039,8238.85,#,EC4M 7RD,
Department for Transport,Department for Transport,29/12/2014,Publications for Res,Group Communication,CREATIVE CHOICE CIC,2000020041,840,#,SW1H 0DJ,
Department for Transport,Department for Transport,29/12/2014,RentOthNonPFIOpLease,Rail Strategy & Funding,Sterling Energy LLC,2000020049,2231557.85,#,#,
Department for Transport,Department for Transport,29/12/2014,Research,"Energy, Technology and International",LOUGHBOROUGH UNIVERSITY,100024470,159790.3,#,LE11 3TU,
Department for Transport,Department for Transport,29/12/2014,Research,"Energy, Technology and International",LOUGHBOROUGH UNIVERSITY,100024470,-159790.3,#,LE11 3TU,
Department for Transport,Department for Transport,29/12/2014,Research,Analysis & Strategy,xxxxxx,2000020050,1400,#,xxxxxx,
Department for Transport,Department for Transport,29/12/2014,Services prov by OGD,"Motoring, Freight & London",VEHICLE & OPERATOR SERVICES AGENCY,2000020018,4381100,#,SA1 8AN,
Department for Transport,Department for Transport,29/12/2014,Small Software,Marine Accident Investigation Branch,Regs4ships Limited,2000020051,1476,#,SO18 1AD,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,AXE VALLEY MINI TRAVEL,2000019863,5981.62,AXE VALLEY MINI TRAVEL,EX12 2NA,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,BRENTWOOD COMMUNITY TRANSPORT,2000019990,2412.29,BRENTWOOD COMMUNITY TRANSPORT,CM14 4AJ,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,BUGLERS COACHES LTD,2000019877,5885.79,Buglers,BS4 4NF,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,CROSSVILLE MOTOR SERVICES LIMITED,2000020008,2072.19,Crosville Motor Services Ltd,BS24 9AD,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,EMSWORTH & DISTRICT MOTOR SERVICES,2000019892,26373.68,EMSWORTH & DISTRICT MOTOR SERVICES LTD,PO10 8PE,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,FARGO COACHES,2000019896,2259.93,FARGO COACHES,RG12 2NB,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,GO-COACHHIRE LTD,2000019982,23508.72,GO-COACH HIRE LIMITED,TN14 5EL,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,xxxxxx,2000020046,738.13,xxxxxx,xxxxxx,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,MULLEYS MOTORWAYS LTD,2000019976,45540.14,Mulleys Motorways Ltd,IP31 2JB,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,NIPPY BUS LTD,2000019927,27501.94,NIPPY BUS LTD,TA12 6HB,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,PEOPLESBUS LTD,2000019989,44666.14,Peoplesbus,L30 6UQ,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,PONTEFRACT MOTORWAYS,2000019950,1939.9,STRINGERS PONTEFRACT MOTORWAYS,WF8 1PN,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,R & B TRAVEL,2000019983,1743.88,R & B TRAVEL,SY8 3NL,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,RED KITE COMMERCIAL SERVICES,2000019936,4395.53,RED KITE COMMERICAL SERVICES,LU7 9PU,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,STAGECOACH IN THE FENS,2000019879,65737.39,Stagecoach in the Fens,CB4 0DN,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,STEPHENSONS COACHES LTD,2000019948,53451.07,Stephensons Coaches,SS4 1BS,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,SWANBROOK TRANSPORT LTD,2000019951,13499.34,Swanbrook Transport Ltd,GL51 0TE,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,TELLINGS GOLDEN MILLER COACHES,2000020037,46731.23,Tellings Golden Miller Coaches,TW6 2DW,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,THAMESDOWN TRANSPORT LTD,2000019955,159795.78,THAMESDOWN TRANSPORT LTD,SN2 2DJ,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,THE GREEN BUS COMPANY LIMITED,2000019987,13392.79,THE GREEN BUS COMPANY LTD,B18 5ST,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,THE GREEN TRANSPORT COMPANY LIMITED,2000019902,21157.24,THE GREEN TRANSPORT COMPANY LTD,B18 5ST,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,THE SPRINGFIELD BUS & COACH  CO LTD,2000019970,10112.59,Springfield Bus & Coach Co Ltd,WA7 4UD,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,WHIPPET COACHES LTD,2000019964,39645.94,Whippet Coaches Ltd,CB24 4UG,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,ACCESSIBLE PASSENGER TRANSPORT SERV,2000019847,26986.37,Accessible Passenger Transport Servicesd Ltd,M12 4XZ,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,AGE CONCERN ASHFORD,2000020009,721.02,Eldercare Day Centre - Age UK,TN23 5RJ,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,AGE CONCERN RUNNYMEDE,2000019857,786.95,AGE UK RUNNYMEDE AND SPELTHORNE,KT16 8PS,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,AGE CONCERN STOURBRIDGE,2000019861,877.87,AGE CONCERN STOURBRIDGE,DY8 1EJ,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,AGE UK SEVENOAKS & TONBRIDGE,2000019859,1467.22,AGE UK SEVENOAKS & TONBRIDGE,TN13 3UB,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,Age UK Sheppey,2000019860,760.11,Age UK Sheppey,ME12 2PF,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,AYLESBURY VALE DIAL-A-RIDE LTD,2000019864,2342.21,AYLESBURY VALE DIAL A RIDE,HP19 8TE,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,BACK & 4TH TRANSPORT,2000019865,3896.78,BACK & FORTH TRANSPORT,CV8 2LY,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,BANK HOUSE DAY CENTRE,2000019866,798.2,BANK HOUSE DAY CENTRE,ST13 5DS,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,BEACON CENTRE FOR THE BLIND,2000019869,1739.08,BEACON CENTRE FOR THE BLIND,WV4 6AZ,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,BEXLEY ACCESSIBLE TRANSPORT SCHEME,2000019871,8527.14,BEXLEY ACCESSIBLE TRANSPORT SCHEME,DA1 5QJ,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,CASTLE DONNINGTON VOLUNTEER CENTRE,2000019878,1497.42,CASTLE DONINGTON VOLUNTEER CENTRE,DE74 2LA,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,CHELMSFORD COMMUNITY TRANSPORT,2000019880,1993.01,CHELMSFORD COMMUNITY TRANSPORT LTD,CM2 7SY,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,CLOWNE & DISTRICT COMM TRANSPORT,2000019882,7085.82,CLOWNE AND DISTRICT COMMUNITY TRANSPORT,S43 4PU,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,Community Transport Calderdale,2000020015,1089.98,Community Transport Calderdale,HX2 6EQ,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,COMMUNITY TRANSPORT SOUTH WILTSHIRE,2000019884,1930.37,Community Transport South Wiltshire,SP2 7NP,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,COMPASS COMMUNITY TRANSPORT,2000019885,10477.41,COMPASS COMMUNITY TRANSPORT,SR2 9TP,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,COTSWOLD COUNCIL,2000019980,2271.39,Cotswold Council for Voluntary Service,GL7 6PY,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,CT Macclesfield Borough,2000019883,822.6,MACCLESFIELD COMMUNITY TRANSPORT,SK11 6DG,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,DENGIE PROJECT TRUST,2000019887,738.25,THE DENGIE PROJECT TRUST,CM0 7BD,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,DISABLEMENT ASSOC BARKING/DAGENHAM,2000019888,5080.69,DISABLEMENT ASSOCIATION OF BARKING AND DAGENHAM,RM8 3AJ,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,DONCASTER COMMUNITY TRANSPORT,2000019996,18597.51,Doncaster Community Transport,DN1 2SW,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,EAST TEIGNBRIDGE COM TRANSPORT,2000019889,2112.64,EAST TEIGNBRIDGE COMMUNITY TRANSPORT,EX7 9QH,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,EASY-GO CT,2000019890,5346.82,EASY GO CT,SK7 5DA,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,EREWASH COMMUNITY TRANSPORT,2000019893,10653.1,EREWASH COMMUNITY TRANSPORT LTD,DE7 4AZ,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,ESSEX BOYS & GIRLS CLUBS,2000019894,958.47,ESSEX BOYS & GIRLS CLUBS,CM1 1RQ,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,EXMOUTH & DISTRICT COMMUNITY,2000019895,1116.69,Exmouth District Community Transport Group,EX8 4RS,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,FRIENDS OF PHAB (LEEDS),2000019898,678.7,Prince Philip Centre PHAB Club Leeds,LS8 1QY,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,FROGMORE DAY CARE CENTRE,2000019899,655.71,FROGMORE DAY CARE CENTRE,GU46 6AG,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,GUILD CARE,2000019905,1619.66,GUILD CARE,BN11 1DU,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,HADLEIGH COMMUNITY TRANSPORT,2000019906,683.18,HADLEIGH COMMUNITY TRANSPORT GROUP LTD,IP7 6RH,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,HALSTEAD DAY CENTRE,2000019907,560.21,HALSTEAD DAY CENTRE,CO9 1HT,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,HAVERING COMMUNITY TRANSPORT LTD,2000019908,1877.29,HAVERING COMMUNITY TRANSPORT LTD,RM1 1JH,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,Hawksworth Older People Support,2000019909,540.59,HAWKSWORTH OLDER PEOPLE SUPPORT,LS5 3PT,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,HERTFORDSHIRE ACTION ON DISABILITY,2000020034,5919.49,HERTFORDSHIRE ACTION ON DISABILITY,AL7 4DD,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,HINCKLEY & BOSWORTH,2000019912,906.63,HINCHLEY & BOSWORTH COMMUNITY TRANSPORT,LE10 1DS,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,ILKLEY & DISTRICT GOOD NEIGHBOURS,2000019914,835.74,ILKLEY & DISTRICT GOOD NEIGHBOURS CT,LS29 9LU,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,JOHN'S CLUB ISLE OF WIGHT,2000020006,614.2,John's Club Isle of Wight,PO37 6JJ,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,KNOTTY ASH COMMUNITY TRANSPORT,2000020007,15448.81,Knotty Ash Community Transport,L36 6AP,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,LACE HOUSING ASSOCIATION,2000019999,8749.55,Lace Housing Association,LN2 4UZ,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,Learning Disability Exp (LDX),2000019959,940.64,LEARNING DISABILITY EXPERIENCE (LDX),E10 6BN,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,LICHFIELD DC,2000019918,543.19,LICHFIELD DISTRICT COMMUNITY TRANSPORT SCHEME,WS13 6YY,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,LINCOLN AREA DIAL-A-RIDE,2000019919,2526.42,LINCOLN AREA DIAL A RIDE LTD,LN5 7HW,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,LIVABILITY - NASH COLLEGE,2000020002,1298.14,Livability - Nash College,BR2 7AG,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,LUNE VALLEY TRANSPORT ENTERPRISE,2000019920,3350.27,LUNE VALLEY TRANSPORT ENTERPRISE LTD,LA3 3EN,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,MANCHESTER COMMUNITY TRANSPORT LTD,2000019921,17396.61,MANCHESTER COMMUNITY TRANSPORT LTD,M23 0BX,
Department for Transport,Department for Transport,29/12/2014,Subsidies Private Se,Local,Melksham Council of,2000019923,1534.84,MELKSHAM COUNCIL OF COMMUNITY SERVICE,SN12 6ES,
