Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code
Department for Transport,Department for Transport,12/03/2014,Agency Staff Costs,Rail Franchising,CAPITA RESOURCING LTD,2000026512,18240,#,DL1 9HN
Department for Transport,Department for Transport,12/03/2014,Agency Staff Costs,Rail Franchising,MICHAEL PAGE INTERNATIONAL,2000026511,666.6,#,SL1 3SA
Department for Transport,Department for Transport,12/03/2014,Audit Fees (cash),Portfolio Office,PRICEWATERHOUSECOOPERS LLP,2000026496,18000,#,E14 9SQ
Department for Transport,Department for Transport,12/03/2014,Books,General Counsel's Office,WILDY AND SONS LTD,2000026518,813,#,WC2A 2JD
Department for Transport,Department for Transport,12/03/2014,Books,General Counsel's Office,WILDY AND SONS LTD,2000026518,813,#,WC2A 2JD
Department for Transport,Department for Transport,12/03/2014,Building Service Cha,Group Procurement & Estate,Amey Community Ltd,2000026538,27449.12,#,OX4 4DQ
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,BLACKPOOL COUNCIL,2000026526,392000,2013/14 Local Pinch Point Fund Payment,FY3 7HW
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,BRACKNELL FOREST BC,2000026485,1000000,2013/14 Local Pinch Point Fund Payment,RG12 1AQ
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,CORNWALL COUNTY COUNCIL,2000026478,81000,2013/14 Local Pinch Point Fund Payment,TR1 38D
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,COVENTRY CITY COUNCIL,2000026505,407000,2013/14 Local Pinch Point Fund Payment,CV1 2QL
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,CUMBRIA COUNTY COUNCIL,2000026466,70000,2013/14 Local Pinch Point Fund Payment,CA3 8NA
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,DARLINGTON BC,2000026467,251000,2013/14 Local Pinch Point Fund Payment,TS19 1JA
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,EAST RIDING OF YORKSHIRE COUNCIL,2000026506,49000,2013/14 Local Pinch Point Fund Payment,HU17 9BA
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,ESSEX COUNTY COUNCIL,2000026468,260000,2013/14 Local Pinch Point Fund Payment,CM1 1LX
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,HAMPSHIRE COUNTY COUNCIL,2000026469,258000,2013/14 Local Pinch Point Fund Payment,SO23 8UB
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,LEICESTER CITY COUNCIL,2000026470,2400000,2013/14 Local Pinch Point Fund Payment,LE1 6ZG
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,NEWCASTLE CITY COUNCIL,2000026507,150000,2013/14 Local Pinch Point Fund Payment,NE99 1RD
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,NORTH EAST LINCOLN DC,2000026508,1071000,2013/14 Local Pinch Point Fund Payment,DN35 8LN
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,NORTH SOMERSET COUNCIL,2000026471,101000,2013/14 Local Pinch Point Fund Payment,BS23 1UJ
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,OLDHAM MBC,2000026472,1231000,2013/14 Local Pinch Point Fund Payment,OL1 1QJ
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,OXFORDSHIRE CC,2000026473,342000,2013/14 Local Pinch Point Fund Payment,OX1 1TH
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,READING BC,2000026474,601000,2013/14 Local Pinch Point Fund Payment,RG1 7TD
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,SALFORD CITY COUNCIL,2000026475,490000,2013/14 Local Pinch Point Fund Payment,M27 5AW
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,SOUTHEND-ON-SEA BC,2000026509,320000,2013/14 Local Pinch Point Fund Payment,SS2 6AN
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,Stockport MBC,2000026476,122000,2013/14 Local Pinch Point Fund Payment,SK1 3XE
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,Warwickshire County Council,2000026477,46000,2013/14 Local Pinch Point Fund Payment,CV34 4RH
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,Local,WOLVERHAMPTON CITY COUNCIL,2000026510,145000,2013/14 Local Pinch Point Fund Payment,WRV 1RL
Department for Transport,Department for Transport,12/03/2014,Cap Grt Loc Auth,"Motoring, Freight & London",Parliamentary Advisory Council for,2000026539,1200,4017545 Parliamentary Advisory Council for,SW1P 3A
Department for Transport,Department for Transport,12/03/2014,Cap Grt Pri Sec-Cos.,"Policy, Legislation and Funding",Eversheds LLP,2000026536,415000,5MountEdge/Pearson,CF10 5BT
Department for Transport,Department for Transport,12/03/2014,Cap Grt Pri Sec-Cos.,"Policy, Legislation and Funding",Eversheds LLP,2000026536,115000,Oldstable/PEARCEN,CF10 5BT
Department for Transport,Department for Transport,12/03/2014,Cap Grt Pri Sec-Cos.,"Policy, Legislation and Funding",Eversheds LLP,2000026536,451846,303Crom/Pearcen,CF10 5BT
Department for Transport,Department for Transport,12/03/2014,Cars Fuel,Air Accident Investigation Branch,ALLSTAR BUSINESS SOLUTIONS LIMITED,2000026482,736.01,#,SN5 6PS
Department for Transport,Department for Transport,12/03/2014,Computer equipment,Air Accident Investigation Branch,INSIGHT DIRECT (UK) LTD,2000026479,1008.92,INSIGHT BLANKET CART SPEND TO 31/1/12,UB8 1PH
Department for Transport,Department for Transport,12/03/2014,CurrGrt Las in AEF/A,Local,COMMUNITIES AND LOCAL GOVERNMENT,2000026463,73487547,Transfer of PFI grant for payment to LAs,HP2 4XN
Department for Transport,Department for Transport,12/03/2014,Estate Management,Group Procurement & Estate,Amey Community Ltd,2000026538,92590.98,#,OX4 4DQ
Department for Transport,Department for Transport,12/03/2014,Financial Consultanc,Group Human Resource,QUINTIGE CONSULTING GROUP,2000026528,10558.4,#,GU23 7EF
Department for Transport,Department for Transport,12/03/2014,Further Educ Cost,Local,DERBYSHIRE MIND,2000026525,2000,#,DE24 8UP
Department for Transport,Department for Transport,12/03/2014,Insurance,Group Human Resource,MARSH LTD,2000026492,567.1,#,SG6 3TT
Department for Transport,Department for Transport,12/03/2014,IT Equip Cap Cost,Motoring Services,KELWAY LTD,2000026522,1512,Toshiba Dynadock Port Replicators,SA1 8PL
Department for Transport,Department for Transport,12/03/2014,IT Equip Cap Cost,Motoring Services,MISCO,2000026493,5030.69,#,NN8 6GS
Department for Transport,Department for Transport,12/03/2014,Legal Consultancy,General Counsel's Office,xxxxxx,1500000031,-6665.99,#,xxxxxx
Department for Transport,Department for Transport,12/03/2014,Legal Consultancy,Aviation,Dentons UKMEA LLP,2000026520,2583.72,#,EC4M 7WS
Department for Transport,Department for Transport,12/03/2014,Media & Press,Group Communication,"GORKANA GROUP LTD (""GCL"")",2000026524,4396.14,#,EC1Y 8QE
Department for Transport,Department for Transport,12/03/2014,Medical Advisory Ser,Group Human Resource,HEALTH MANAGEMENT LTD,2000026488,3192.6,#,BN8 5NN
Department for Transport,Department for Transport,12/03/2014,Occup Health Scheme,Group Human Resource,HEALTH MANAGEMENT LTD,2000026488,873,#,BN8 5NN
Department for Transport,Department for Transport,12/03/2014,Prog&ProjMgmt Consul,"Policy, Legislation and Funding",PARSONS BRINCKERHOFF LTD,2000026495,23667.94,#,NE4 7YQ
Department for Transport,Department for Transport,12/03/2014,Prog&ProjMgmt Consul,"Policy, Legislation and Funding",PARSONS BRINCKERHOFF LTD,2000026495,117938.89,#,NE4 7YQ
Department for Transport,Department for Transport,12/03/2014,Publicity,Group Communication,ABBOTT MEAD VICKERS BBDO LTD,2000026480,5435.19,#,NW1 5QE
Department for Transport,Department for Transport,12/03/2014,Publicity,Strategic Roads & Smart Ticketing,ABBOTT MEAD VICKERS BBDO LTD,2000026480,29663,#,NW1 5QE
Department for Transport,Department for Transport,12/03/2014,Removal Costs,Motoring Services,David Plumb & Co Ltd,2000026537,4680,David Plum & Co. Ltd t/a DP Fuel Tank S,RH1 2HZ
Department for Transport,Department for Transport,12/03/2014,Research,Transport Security Strategy,DEFENCE SCIENCE & TECHNOLOGY,2000026487,130482,#,PO14 9HL
Department for Transport,Department for Transport,12/03/2014,Research,Transport Security Strategy,DEFENCE SCIENCE & TECHNOLOGY,2000026487,371571,#,PO14 9HL
Department for Transport,Department for Transport,12/03/2014,Research,Transport Security Strategy,HOME OFFICE SHARED SERVICE CENTRE,2000026464,12500,#,NP20 9BB
Department for Transport,Department for Transport,12/03/2014,Research,Local,ATKINS LTD (TRANSPORT PLANNING),2000026483,17291.83,#,WR5 1TX
Department for Transport,Department for Transport,12/03/2014,Research,Major Projects & Growth,OVE ARUP & PARTNERS,2000026494,19384.97,#,NE1 3PL
Department for Transport,Department for Transport,12/03/2014,Small Software,Group Communication,THE PRESS ASSOCIATION LTD,2000026517,875.56,#,SW1V 1A
Department for Transport,Department for Transport,12/03/2014,Small Software,Transport Direct&Travel,TRAPEZE GROUP (UK) LTD,2000026501,17293.2,#,BA14 6PH
Department for Transport,Department for Transport,12/03/2014,Subscriptions to Pro,Strategic Roads & Smart Ticketing,ITS UNITED KINGDOM,2000026489,3240,#,E1W 1AW
Department for Transport,Department for Transport,12/03/2014,Subsidies CG & Loc A,"Motoring, Freight & London",NORTHAMPTONSHIRE POLICE AUTHORITY,1500000030,-667,#,CW7 9FW
Department for Transport,Department for Transport,12/03/2014,Support Services,Group Finance,DD ACCRAILWAY PENS TRUSTEE,2000026513,2983.3,#,DL3 6XR
Department for Transport,Department for Transport,12/03/2014,Support Services,Group Finance,DD ACCRAILWAY PENS TRUSTEE,2000026513,633.33,#,DL3 6XR
Department for Transport,Department for Transport,12/03/2014,Support Services,Aviation,MINISTRY OF DEFENCE,2000026514,1056000,#,L2 3YL
Department for Transport,Department for Transport,12/03/2014,Support Services,Group Finance,RAILWAYS PENSION MANAGEMENT LT,2000026515,900000,#,DL3 6EH
Department for Transport,Department for Transport,12/03/2014,Training,Group Communication,BESPOKE SPEECHWRITING SERVICES LTD,2000026521,1800,#,W10 4RB
Department for Transport,Department for Transport,12/03/2014,Training,Local,Thresholds,2000026499,1500,#,BS5 9AY
Department for Transport,Department for Transport,12/03/2014,Transport  Consult,Group Communication,Nexus Communications Group Ltd,2000026535,4800,#,SW7 5BE
Department for Transport,Department for Transport,12/03/2014,Transport  Consult,Transport Security Strategy,QinetiQ Processing Centre,2000026497,30720,#,GU14 0LX
Department for Transport,Department for Transport,12/03/2014,Transport  Consult,Rail Franchising,PARSONS BRINCKERHOFF LTD,2000026495,157909.39,#,NE4 7YQ
Department for Transport,Department for Transport,13/03/2014,Agency Staff Costs,Local,BROOK STREET BUREAU,2000026753,555.89,#,AL1 4JB
Department for Transport,Department for Transport,13/03/2014,Agency Staff Costs,Group Communication,CAPITA RESOURCING LTD,2000026758,2160,#,DL1 9HN
Department for Transport,Department for Transport,13/03/2014,Agency Staff Costs,Group Communication,NETWORKERS INTERNATIONAL (UK) PLC,2000026761,1013.52,#,BR1 1HP
Department for Transport,Department for Transport,13/03/2014,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000026761,3393.6,#,BR1 1HP
Department for Transport,Department for Transport,13/03/2014,Agency Staff Costs,Rail Commercial & Programme Office,NETWORKERS INTERNATIONAL (UK) PLC,2000026761,4182.54,#,BR1 1HP
Department for Transport,Department for Transport,13/03/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA RESOURCING LTD,2000026758,3349.13,#,DL1 9HN
Department for Transport,Department for Transport,13/03/2014,Agency Staff Costs,Rail Strategy & Funding,CAPITA RESOURCING LTD,2000026758,4026,#,DL1 9HN
Department for Transport,Department for Transport,13/03/2014,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000026761,1722,#,BR1 1HP
Department for Transport,Department for Transport,13/03/2014,Agency Staff Costs,Rail Franchising,CAPITA RESOURCING LTD,2000026758,22848,#,DL1 9HN
Department for Transport,Department for Transport,13/03/2014,Agency Staff Costs,Rail Franchising,CAPITA RESOURCING LTD,2000026758,34728.31,#,DL1 9HN
Department for Transport,Department for Transport,13/03/2014,Agency Staff Costs,"Policy, Legislation and Funding",CAPITA RESOURCING LTD,2000026758,26040,#,DL1 9HN
Department for Transport,Department for Transport,13/03/2014,Agency Staff Costs,Rail Franchising,CAPITA RESOURCING LTD,2000026758,8479.15,#,DL1 9HN
Department for Transport,Department for Transport,13/03/2014,Agency Staff Costs,Rail Commercial & Programme Office,MICHAEL PAGE INTERNATIONAL,2000026757,1887,#,SL1 3SA
Department for Transport,Department for Transport,13/03/2014,Agency Staff Costs,Rail Commercial & Programme Office,MICHAEL PAGE INTERNATIONAL,2000026757,2664,#,SL1 3SA
Department for Transport,Department for Transport,13/03/2014,Cap Grt Loc Auth,Local,MANCHESTER CITY COUNCIL,2000026770,1120960,Green Bus Fund Local Authority payment,M1 3BG
Department for Transport,Department for Transport,13/03/2014,Cap Grt Loc Auth,Local,Cornwall Council,2000026766,130620.18,Isles of Scilly Link,TR1 3AY
Department for Transport,Department for Transport,13/03/2014,Cars Fuel,Motoring Services,ALLSTAR BUSINESS SOLUTIONS LIMITED,2000026740,14880.12,#,SN5 6PS
Department for Transport,Department for Transport,13/03/2014,Cars Maintenance,Motoring Services,ATS Euromaster Ltd,2000026738,4321.91,#,EN11 1HH
Department for Transport,Department for Transport,13/03/2014,CurrGrtPriSec-P&NPIS,Major Projects & Growth,NETWORK RAIL INFRASTRUCTURE LTD,2000026763,1627712,Thameslink Protocol Agreement,M60 7WY
Department for Transport,Department for Transport,13/03/2014,Electricity,Group Procurement & Estate,GVA GRIMLEY,2000026745,3809.78,Electric @ 249 WGS Invoice6821-426625,B1 2JB
Department for Transport,Department for Transport,13/03/2014,Financial Consultanc,Rail Franchising,PRICEWATERHOUSECOOPERS LLP,2000026749,5136,#,E14 9SQ
Department for Transport,Department for Transport,13/03/2014,Investigation Servic,Motoring Services,xxxxxx,2000026769,12549.84,#,xxxxxx
Department for Transport,Department for Transport,13/03/2014,IT Ser Running Costs,Air Accident Investigation Branch,EPIC PERFORMANCE IMPROVEMENT LTD,2000026744,386.1,#,BN1 1NH
Department for Transport,Department for Transport,13/03/2014,IT Ser Running Costs,General Counsel's Office,Actica Consulting Limited,2000026765,40927.5,#,GU1 4AF
Department for Transport,Department for Transport,13/03/2014,IT Ser Running Costs,Motoring Services,SOFTWARE BOX LTD,2000026750,1046535.6,#,YO61 1ET
Department for Transport,Department for Transport,13/03/2014,IT Ser Running Costs,Marine Accident Investigation Branch,EPIC PERFORMANCE IMPROVEMENT LTD,2000026744,386.1,#,BN1 1NH
Department for Transport,Department for Transport,13/03/2014,IT Ser Running Costs,Rail Accident Investigation Branch,EPIC PERFORMANCE IMPROVEMENT LTD,2000026744,397.8,#,BN1 1NH
Department for Transport,Department for Transport,13/03/2014,Legal Consultancy,Group Procurement & Estate,DFT ONE TIME VENDOR,2000026781,9000,"Pre-Abolition cost, Prof Fees Chesterfield",SW1P 4DR
Department for Transport,Department for Transport,13/03/2014,Legal Consultancy,Major Projects & Growth,C M S CAMERON MCKENNA,2000026742,1656.67,#,EC1A 4DD
Department for Transport,Department for Transport,13/03/2014,Legal Consultancy,Group Procurement & Estate,BLAKE LAPTHORN,2000026764,82681.5,#,SO53 3LG
Department for Transport,Department for Transport,13/03/2014,Legal Consultancy,"Policy, Legislation and Funding",xxxxxx,2000026776,648,#,xxxxxx
Department for Transport,Department for Transport,13/03/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000026751,1725,#,BS24 9BP
Department for Transport,Department for Transport,13/03/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000026751,2420,#,BS24 9BP
Department for Transport,Department for Transport,13/03/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000026751,1815,#,BS24 9BP
Department for Transport,Department for Transport,13/03/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000026751,3113.76,#,BS24 9BP
Department for Transport,Department for Transport,13/03/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000026751,1000,#,BS24 9BP
Department for Transport,Department for Transport,13/03/2014,Maintenance Other,Motoring Services,ARVAL PHH,2000026739,975.9,#,SN5 6PE
Department for Transport,Department for Transport,13/03/2014,Other Advertising,Local,PENNA COMMUNICATIONS,2000026767,5117.06,#,EC4M 7RD
Department for Transport,Department for Transport,13/03/2014,Other Advertising,Local,PENNA COMMUNICATIONS,2000026767,4478.84,#,EC4M 7RD
Department for Transport,Department for Transport,13/03/2014,Other Advertising,Local,PENNA COMMUNICATIONS,2000026767,4541.49,#,EC4M 7RD
Department for Transport,Department for Transport,13/03/2014,Rent - L&B (non-PFI),Group Procurement & Estate,BLAKE LAPTHORN,2000026764,184635.62,#,SO53 3LG
Department for Transport,Department for Transport,13/03/2014,Research,"Energy, Technology and International",OVE ARUP & PARTNERS,2000026748,24797.53,#,NE1 3PL
Department for Transport,Department for Transport,13/03/2014,Research,Strategic Roads & Smart Ticketing,ATKINS LTD (TRANSPORT PLANNING),2000026741,47710.44,#,WR5 1TX
Department for Transport,Department for Transport,13/03/2014,Small Software,Motoring Services,SOFTWARE BOX LTD,2000026737,14984.46,#,YO61 1ET
Department for Transport,Department for Transport,13/03/2014,Storage & Distributi,Group Communication,WILLIAMS LEA LIMITED,2000026774,5711.86,#,NR3 1PD
Department for Transport,Department for Transport,13/03/2014,Subsidies CG & Loc A,"Motoring, Freight & London",Police & Crime Commisssioner for,2000026755,5000,Second Grant Payment to Gloucester PCC,GL2 2AN
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,ABUS LTD,2000026606,19649.2,ABUS Ltd,BS4 3NL
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,ALINE COACHES,2000026607,1076.92,A LINE COACHES,NE10 0UW
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,APPLEGATES SUPREME COACHES,2000026608,1065.31,Applegates Supreme Coaches,GL13 9PL
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,ARRIVA DERBY LTD,2000026609,168619.03,ARRIVA DERBY LTD,LE4 8ZN
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,ARRIVA NORTHUMBRIA LTD,2000026610,433668.7,Arriva Northumbria Ltd,SR3 3XP
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,ARROW PASSENGER &,2000026726,2153.32,Arrow Passenger & Freight Services,CM9 4LQ
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,ASTONS COACHES LIMITED,2000026612,4622.51,ASTONS COACHES LIMITED,WR5 3HR
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,AVON COACHES,2000026613,68524.89,Avon Coaches,CH43 3DT
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,BATH BUS COMPANY LTD,2000026616,15214.38,BATH BUS COMPANY LTD,BA1 1LF
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,BEACON GARAGE,2000026618,1647.26,HOLSWORTHY LTD,EX19 8PS
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,BEAVER BUS,2000026619,5955.58,BEAVER BUS LTD,LE18 4UQ
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,BERRYS COACHES (TAUNTON) LTD,2000026620,10037.8,Berry's Coaches (Taunton) Ltd,TA1 5NA
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,BRIJAN TOURS LTD,2000026621,9181.48,BRIJAN TOURS LTD,SO30 2DY
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,BRYLAINE TRAVEL,2000026622,52247.85,BRYLAINE TRAVEL LTD,PE21 7DD
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,C BANNISTER & SON,2000026623,7215.38,C Bannister & Son (t/a Isle Coaches),DN9 1RL
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,Centrebus Holdings Ltd,2000026718,38042,Centrebus Holdings Ltd,WF1 5JX
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,CENTREBUS LTD,2000026627,49712.95,Centrebus Ltd,LE4 9HU
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,CHAPEL END COACHES,2000026628,797.07,CHAPEL END COACHES,CV11 6JX
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,CHESTER'S COACHES LTD,2000026629,9643.98,CHESTER'S COACHES LTD,M28 5LX
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,CITY OF CHICHESTER COACHES LTD,2000026730,39752.5,City of Chichester Coaches Ltd,RH12 4TB
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,CLARIBEL COACHES LTD,2000026630,23828.57,CLARIBEL COACHES LTD,B33 0JT
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,COMMUNITY TRANSPORT SOUTH WILTSHIRE,2000026631,618.82,Community Transport South Wiltshire,SP2 7NP
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,CUMBRIA COACHES LTD,2000026633,1083.35,CUMBRIA COACHES LTD,CA1 3NQ
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,D W Coaches,2000026734,2982.68,D.W Coaches,S45 9JT
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,DELAINE BUSES LTD,2000026635,37069.79,DELAINE BUSES LIMITED,PE10 9LE
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,DIAL-A-BUS,2000026636,13378.18,DIAL-A-BUS,TQ4 7BL
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,DRM (BROMYARD) LTD,2000026639,16172.67,DRM (BROMYARD) LTD,HR7 4NT
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,ENSIGN BUS COMPANY LTD,2000026640,79679.46,Ensign Bus Co Ltd,RM15 4YF
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,Eurotaxis Ltd,2000026642,2538.94,EUROTAXIS LTD,BS37 5NH
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,EVERGREEN COACHES,2000026724,42024.84,Evergreen Coaches,B66 2RL
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,F HUNT (COACH HIRE) LTD,2000026643,2240.62,F Hunt Coach Hire Ltd,LN13 9JB
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,FAIRBROTHERS LTD,2000026644,3972.86,FAIRBROTHERS LTD,WA2 9UY
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,FIRST BADGERLINE,2000026646,510376.44,First Bristol Buses Ltd t/a Badgerline,BS24 9AY
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,FIRST BADGERLINE,2000026646,529776.98,FIRST BRISTOL BUSES LTD T/A CITY LINE,BS24 9AY
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,FIRST COACHES,2000026649,34280.71,First Coaches,LE4 0DA
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,FIRST COACHES,2000026725,11767.65,First Coaches (Luton Service),LE4 0DA
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,FIRST LEICESTER BUSES LTD,2000026647,235550.15,First Leicester,LE4 0DA
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,FIRST SOMERSET & AVON LTD,2000026648,111726.47,FIRST SOMERSET & AVON,BS5 0DZ
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,FORD COACHES,2000026651,2017.97,Fords Coaches Ltd,CM3 6BZ
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,FREEDOM TRAVEL NORTH LTD,2000026723,2464.88,Smiths of Marple,SK23 0PJ
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,FROME MINIBUSES LTD,2000026652,513.35,FROME MINIBUSES LTD,BA11 4RP
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,GELDARDS COACHES LTD,2000026653,14528.5,GELDARDS COACHES LTD,LS12 5JB
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,Green Triangle Buses Ltd,2000026656,54280.65,GREEN TRIANGLE BUSES LTD,ST14 7JD
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,H HULLEY & SONS LTD,2000026657,5964.44,H HULLEY & SONS LTD T/A HULLEYS OF BASLOW,DE45 1RP
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,HATCH GREEN COACHES,2000026719,786.71,HATCH GREEN COACHES,TA3 6TN
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,HOLLAND COACHES,2000026658,1100.42,HOLLANDS COACHES,DY11 7RA
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,HUNTER BROTHERS (TANTOBIE) LTD,2000026659,2012.97,Hunter Bros (Tantobie) Ltd,DH9 9TG
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,Hunter Coaches Ltd,2000026735,4039.57,Hunters Coaches Ltd,LS17 5ED
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,HUTCHINSONS,2000026660,1054.1,Hutchinsons,YO61 3EF
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,HUYTON TRAVEL LTD,2000026661,7285,Huyton Travel Ltd,L36 6AN
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,J.W Lodge & Sons Ltd,2000026732,605.57,J.W  Lodge & Son's Ltd T/A Lodge Coaches,CM1 4QR
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,JIM STONES COACHES,2000026662,14478.32,Jim Stones Coaches,WA3 5LH
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,JOHN RIGBY TRAVEL & TRANSPORT,2000026663,595.06,JOHN RIGBY TRAVEL,WF17 6JL
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,JOHNSONS HENLEY,2000026664,22522.79,Johnsons Coach & Bus Travel,B95 5QS
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,JUDDS TRAVEL LTD,2000026665,3081.04,JUDDS TRAVEL LTD,PE13 4ED
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,KB COACHES,2000026666,2932.42,K B Coaches,GL10 3AJ
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,KONECTBUS LTD,2000026668,86029.79,KONECTBUS LTD,NR19 1SY
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,LEVEN VALLEY COACHES,2000026669,10030.3,Leven Valley Coaches,TS9 6PD
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,LITTLE TRANSPORT LTD,2000026670,526.13,LITTLES TRANSPORT LTD,DE7 4AZ
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,M K METRO LTD,2000026611,1038667.41,Arriva The Shires,LU4 8DS
Department for Transport,Department for Transport,13/03/2014,Subsidies Private Se,Local,MACPHERSON COACHES LTD,2000026671,964.9,MACPHERSON COACHES LTD,DE12 7PL
