Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,
Department For Transport,Highways Agency,03/04/2014,Hire car rental,MAJOR PROJECTS,ENTERPRISE RENT-A-CAR UK LTD,732566,1713.21,CAR HIRE JAN 2014,TW20 8RX,
Department For Transport,Highways Agency,03/04/2014,Hire car rental,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISE RENT-A-CAR UK LTD,732566,3845.95,CAR HIRE JAN 2014,TW20 8RX,
Department For Transport,Highways Agency,03/04/2014,Hire car rental,FINANCE & BUSINESS SERVICES,ENTERPRISE RENT-A-CAR UK LTD,732566,4185.05,CAR HIRE JAN 2014,TW20 8RX,
Department For Transport,Highways Agency,03/04/2014,Hire car rental,TRAFFIC MANAGEMENT DIRECTORATE,ENTERPRISE RENT-A-CAR UK LTD,732566,6990.9,CAR HIRE JAN 2014,TW20 8RX,
Department For Transport,Highways Agency,03/04/2014,Lands Costs,NETWORK DELIVERY & DEVELOPMENT,EVERSHEDS LLP,LOMD246538,1176,HAL00004683/XXXX1267927,CF10 5BT,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD246606,16796.75,HAL00010899//25000167602013,SW19 4DT,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD246607,14679.3,HAL0001089XXXX/25000167622013,SW19 4DT,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD246605,11537.27,HAL00010902//25000167612013,SW19 4DT,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD246604,4174.54,HAL00010903XXXX25000167552013,SW19 4DT,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD246603,2107.59,HAL00010904/XXXX/25000167542013,SW19 4DT,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD246602,7911.67,HAL00010908/XXXX/25000167532013,SW19 4DT,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD246482,1347,HAL00011727/XXXX25000188522013,SW19 4DT,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD246618,2597,HAL00011743/TRUSTEES /25000161802013,SW19 4DT,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD246481,1347,HAL00011782/XXXX/25000188532013,SW19 4DT,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD246180,921.67,HAL00011852/XXXX/25000185552013,SW19 4DT,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD246609,701.91,HAL00012357/XXXX25000185562013,SW19 4DT,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD239935,991,HAL00012649//25000188672013,SW19 4DT,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,VALUATION OFFICE AGENCY,LOMD243905,828,HAL00012883XXXX/25000185782013,SW19 4DT,
Department For Transport,Highways Agency,03/04/2014,Lands Costs,MAJOR PROJECTS,SMITHS GORE,LOMD246591,2134.4,HAL55555542//28018930,PE1 1QF,
Department For Transport,Highways Agency,03/04/2014,Lands Costs,MAJOR PROJECTS,SMITHS GORE,LOMD246592,2087.6,HAL55555542//28018931,PE1 1QF,
Department For Transport,Highways Agency,03/04/2014,Lands Costs,MAJOR PROJECTS,SMITHS GORE,LOMD246594,5512.25,HAL55555542//45000074,PE1 1QF,
Department For Transport,Highways Agency,03/04/2014,Lands Costs,MAJOR PROJECTS,SMITHS GORE,LOMD246600,809.94,HAL55555542//45000075,PE1 1QF,
Department For Transport,Highways Agency,03/04/2014,Lands Costs,MAJOR PROJECTS,SMITHS GORE,LOMD246597,6660,HAL55555542//45000076,PE1 1QF,
Department For Transport,Highways Agency,03/04/2014,Lands Costs,MAJOR PROJECTS,SMITHS GORE,LOMD246601,8696.25,HAL55555542//45000079,PE1 1QF,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD246614,2164,HAL66666640//25000015122013,SW19 4DT,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,LAMBERT SMITH HAMPTON,LOMD246306,600,HAL99999179/XXXX00172635,CM2 0ND,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD246617,2198.96,HAL99999217//25000039032013,SW19 4DT,
Department For Transport,Highways Agency,03/04/2014,Travel - Rail - First,MAJOR PROJECTS,REDFERN TRAVEL LTD,76039,24.89,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,UK subsistence,NETWORK DELIVERY & DEVELOPMENT,REDFERN TRAVEL LTD,76039,75.57,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,Travel - Rail - First,NETWORK DELIVERY & DEVELOPMENT,REDFERN TRAVEL LTD,76039,145.96,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,Travel - Air Domestic,NETWORK DELIVERY & DEVELOPMENT,REDFERN TRAVEL LTD,76039,145.99,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,UK subsistence,NETWORK SERVICES DIRECTORATE,REDFERN TRAVEL LTD,76039,232.92,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,Travel - Rail - Standard,NETWORK DELIVERY & DEVELOPMENT,REDFERN TRAVEL LTD,76039,253.86,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,UK subsistence,STRATEGY & PLANNING DIR,REDFERN TRAVEL LTD,76039,297.81,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,Travel - Rail - Standard,FINANCE & BUSINESS SERVICES,REDFERN TRAVEL LTD,76039,302.14,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,UK subsistence,NETWORK DELIVERY & DEVELOPMENT,REDFERN TRAVEL LTD,76039,322.72,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,Travel - Rail - First,FINANCE & BUSINESS SERVICES,REDFERN TRAVEL LTD,76039,397.6,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,Travel - Rail - Standard,MAJOR PROJECTS,REDFERN TRAVEL LTD,76039,577.11,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,Travel - Air Domestic,NETWORK DELIVERY & DEVELOPMENT,REDFERN TRAVEL LTD,76039,583.14,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,Travel - Air Domestic,NETWORK SERVICES DIRECTORATE,REDFERN TRAVEL LTD,76039,719.41,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,Travel - Rail - Standard,NETWORK DELIVERY & DEVELOPMENT,REDFERN TRAVEL LTD,76039,773.67,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,UK subsistence,COMMERCIAL & PROCUREMENT,REDFERN TRAVEL LTD,76039,774.21,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,Travel - Rail - Standard,NETWORK SERVICES DIRECTORATE,REDFERN TRAVEL LTD,76039,911.43,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,Travel - Rail - Standard,TRAFFIC MANAGEMENT DIRECTORATE,REDFERN TRAVEL LTD,76039,1257.92,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,UK subsistence,TRAFFIC MANAGEMENT DIRECTORATE,REDFERN TRAVEL LTD,76039,1686.35,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,UK subsistence,MAJOR PROJECTS,REDFERN TRAVEL LTD,76039,1782.24,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,Travel - Rail - Standard,TRAFFIC MANAGEMENT DIRECTORATE,REDFERN TRAVEL LTD,76039,1821.87,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,Travel - Rail - Standard,STRATEGY & PLANNING DIR,REDFERN TRAVEL LTD,76039,2356.32,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,UK subsistence,NETWORK SERVICES DIRECTORATE,REDFERN TRAVEL LTD,76039,3311.94,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,Travel - Rail - Standard,COMMERCIAL & PROCUREMENT,REDFERN TRAVEL LTD,76039,3695.47,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,UK subsistence,FINANCE & BUSINESS SERVICES,REDFERN TRAVEL LTD,76039,4072.57,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,UK subsistence,NETWORK DELIVERY & DEVELOPMENT,REDFERN TRAVEL LTD,76039,5271.85,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,Travel - Rail - Standard,NETWORK SERVICES DIRECTORATE,REDFERN TRAVEL LTD,76039,6355.1,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,Travel - Rail - Standard,FINANCE & BUSINESS SERVICES,REDFERN TRAVEL LTD,76039,7681.32,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,Travel - Rail - Standard,NETWORK DELIVERY & DEVELOPMENT,REDFERN TRAVEL LTD,76039,8308.19,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,UK subsistence,TRAFFIC MANAGEMENT DIRECTORATE,REDFERN TRAVEL LTD,76039,11469.54,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,Travel - Rail - Standard,MAJOR PROJECTS,REDFERN TRAVEL LTD,76039,16899.3,"RAIL, HOTEL AND AIR TRAVEL MAR 2014",BD1 3AZ,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,FINANCE & BUSINESS SERVICES,AMEY COMMUNITY LIMITED,90355406,-4739.73,SE SCCOMMODATION SEP-NOV 2013,OX4 4DQ,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,623686,-414216.83,Apps and Certs Receipt - APC64849,M2 5JB,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,623686,-58592.68,Apps and Certs Receipt - APC64849,M2 5JB,
Department For Transport,Highways Agency,03/04/2014,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,607851,-46856.61,Apps and Certs Receipt - APC50563,M2 5JB,
Department For Transport,Highways Agency,03/04/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,623673,-31148.81,Apps and Certs Receipt - APC64534,M2 5JB,
Department For Transport,Highways Agency,03/04/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),620917,-30220.67,Apps and Certs Receipt - APC62587,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,616806,-23364.71,Apps and Certs Receipt - APC59038,M2 5JB,
Department For Transport,Highways Agency,03/04/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,621473,-16459.44,Apps and Certs Receipt - APC62959,M2 5JB,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),616960,-13084.17,Apps and Certs Receipt - APC58925,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,623679,-12985.77,Apps and Certs Receipt - APC64540,M2 5JB,
Department For Transport,Highways Agency,03/04/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),618771,-11946.94,Apps and Certs Receipt - APC60652,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),618770,-10007.44,Apps and Certs Receipt - APC60668,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),616960,-6868.4,Apps and Certs Receipt - APC58925,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,614595,-4120.35,Apps and Certs Receipt - APC56336,M2 5JB,
Department For Transport,Highways Agency,03/04/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),623752,-3975.62,Apps and Certs Receipt - APC64665,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),616958,-3900.83,Apps and Certs Receipt - APC58956,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),620919,-3384.16,Apps and Certs Receipt - APC62568,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),623752,-3177.52,Apps and Certs Receipt - APC64665,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,623676,-2923.12,Apps and Certs Receipt - APC64540,M2 5JB,
Department For Transport,Highways Agency,03/04/2014,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),623752,-2602.31,Apps and Certs Receipt - APC64665,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,Non Civil Servant HA Staff,FINANCE & BUSINESS SERVICES,REED SPECIALIST RECRUITMENT LIMITED,623488,-2400,Invoice 0226332538 Document 438495,SW20 0BA,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),623752,-2209.09,Apps and Certs Receipt - APC64665,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,Non Civil Servant HA Staff,FINANCE & BUSINESS SERVICES,REED SPECIALIST RECRUITMENT LIMITED,625535,-2160,Invoice 0226344972 Document 439376,SW20 0BA,
Department For Transport,Highways Agency,03/04/2014,ICT Consultancy Costs,FINANCE & BUSINESS SERVICES,EXPERIS LIMITED,616773,-2063.4,DB - 5 days - W/E 8/12/13 - #1719.50,EC1R 3DR,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),618771,-1936.47,Apps and Certs Receipt - APC60652,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),620917,-1289.73,Apps and Certs Receipt - APC62587,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BT OPENREACH (CIS) DIVERT/CONNECT,609283,-1133.38,Diversionary Works at Site 2 A40 Huntley Bends,S1 1BA,
Department For Transport,Highways Agency,03/04/2014,Non Civil Servant HA Staff,FINANCE & BUSINESS SERVICES,NETWORKERS INTERNATIONAL PLC,618595,-1113.85,XXXXX - w/e 20/12 - 5 Days @ #308.57 pd + #2.50 expenses,BR1 1HP,
Department For Transport,Highways Agency,03/04/2014,Non Civil Servant HA Staff,FINANCE & BUSINESS SERVICES,NETWORKERS INTERNATIONAL PLC,624819,-740.57,XXXXX w/e 14/03/14 5 days @ 308.57,BR1 1HP,
Department For Transport,Highways Agency,03/04/2014,Electricity,FINANCE & BUSINESS SERVICES,EDF ENERGY (NON CIS) CHARGES,625105,-720.95,The Cube electric 10 floor march 14,RH10 1TX,
Department For Transport,Highways Agency,03/04/2014,Electricity,FINANCE & BUSINESS SERVICES,EDF ENERGY (NON CIS) CHARGES,625104,-644.4,The Cube electric 9th floor march 14,RH10 1TX,
Department For Transport,Highways Agency,03/04/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,616806,-615.83,Apps and Certs Receipt - APC59038,M2 5JB,
Department For Transport,Highways Agency,03/04/2014,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),620919,-586.75,Apps and Certs Receipt - APC62568,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,Contractors Costs,COMMERCIAL & PROCUREMENT,BOND DICKINSON LLP,625612,-545.11,est march 14,BS1 6DZ,
Department For Transport,Highways Agency,03/04/2014,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,621473,-268.53,Apps and Certs Receipt - APC62959,M2 5JB,
Department For Transport,Highways Agency,03/04/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),620919,-251.65,Apps and Certs Receipt - APC62568,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),626244,19.78,Apps and Certs Receipt - APC66685,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,626257,33.45,Apps and Certs Receipt - APC66705,M2 5JB,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),626244,87.64,Apps and Certs Receipt - APC66685,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),626243,245.17,Apps and Certs Receipt - APC66686,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,Non Civil Servant HA Staff,TRAFFIC MANAGEMENT DIRECTORATE,REED SPECIALIST RECRUITMENT LIMITED,626286,523.36,XXXXX w/c 14/03/14 37.5hrs @ #11.63 = #436.13 0226439589,SW20 0BA,
Department For Transport,Highways Agency,03/04/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,COMPUTACENTER (UK) LTD,624828,535.92,ccn 304 skribe local reset for remote reset,AL10 9TW,
Department For Transport,Highways Agency,03/04/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,626281,549.19,Invoice 1007 - M4 Olympic Family Lane Error Correction,GU2 7AR,
Department For Transport,Highways Agency,03/04/2014,Non Civil Servant HA Staff,FINANCE & BUSINESS SERVICES,KELLY SERVICES UK LTD,626231,558.95,XXXXX W/e 23/3/14 34.5 hours worked at #13.50 p/h,KT1 1RR,
Department For Transport,Highways Agency,03/04/2014,Contractors Costs,TRAFFIC MANAGEMENT DIRECTORATE,CONNECT PLUS (M25) LTD,626225,897.75,Dartford Control Room Capability Project Inv. no. M25/1479 Dated 12/03/2014,EN6 3NP,
Department For Transport,Highways Agency,03/04/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,SOUTH WEST WATER (CIS) DIVERT/CONNECT,626284,966.69,Invoice M0324987 dated 27/3/2014,BN11 9NT,
Department For Transport,Highways Agency,03/04/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,626272,988.32,Invoice 884 - M4 Olympic Family Lane Error Correction,GU2 7AR,
Department For Transport,Highways Agency,03/04/2014,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,626259,1162.29,Apps and Certs Receipt - APC66705,M2 5JB,
Department For Transport,Highways Agency,03/04/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,626280,1246.09,Invoice 980 - M4 Family Olympic Lane,GU2 7AR,
Department For Transport,Highways Agency,03/04/2014,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,AECOM,626228,1358.32,Invoice No 28187090 February invoice & January adjustments.,AL1 9WQ,
Department For Transport,Highways Agency,03/04/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,626250,1434.49,Apps and Certs Receipt - APC66704,M2 5JB,
Department For Transport,Highways Agency,03/04/2014,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,AECOM,626223,2094.43,Invoice No 28187143. February Invoice & January adjustments.,AL1 9WQ,
Department For Transport,Highways Agency,03/04/2014,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,626261,2105.45,Apps and Certs Receipt - APC66705,M2 5JB,
Department For Transport,Highways Agency,03/04/2014,Other external training costs,FINANCE & BUSINESS SERVICES,OPP LTD,626248,2264,Inv0489349,OX2 8EP,
Department For Transport,Highways Agency,03/04/2014,Non Civil Servant HA Staff,NETWORK DELIVERY & DEVELOPMENT,SPRING TECHNOLOGY STAFFING SERVICES LTD,626247,2451.6,Inv Number R36222/00 dated 02/04/14 - fees w/e 28-03-14,B37 7YE,
Department For Transport,Highways Agency,03/04/2014,Non Civil Servant HA Staff,NETWORK DELIVERY & DEVELOPMENT,SPRING TECHNOLOGY STAFFING SERVICES LTD,626233,2503.62,#,B37 7YE,
Department For Transport,Highways Agency,03/04/2014,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,626257,2655.77,Apps and Certs Receipt - APC66705,M2 5JB,
Department For Transport,Highways Agency,03/04/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,MOUCHEL LIMITED,626263,2790.48,Mouchel CDMC Deep Drainage Invoice: 5000029247 Date: 27.03.14,OL1 9LH,
Department For Transport,Highways Agency,03/04/2014,Other external training costs,FINANCE & BUSINESS SERVICES,LONDON METROPOLITAN UNIVERSITY,626277,3099,Study Support - XXXXX,N7 8DB,
Department For Transport,Highways Agency,03/04/2014,Other external training costs,FINANCE & BUSINESS SERVICES,LONDON METROPOLITAN UNIVERSITY,626285,3099,Study Support - XXXXX,N7 8DB,
Department For Transport,Highways Agency,03/04/2014,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),626244,3218.51,Apps and Certs Receipt - APC66685,DL1 1TJ,
Department For Transport,Highways Agency,03/04/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,626258,3406.91,Apps and Certs Receipt - APC66705,M2 5JB,
Department For Transport,Highways Agency,03/04/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,626270,3686.56,Invoice 794 - M4 Olympic Family Lane Error Correction,GU2 7AR,
Department For Transport,Highways Agency,03/04/2014,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,AECOM,626222,3987.68,Invoice No 28187109 February invoice & January adjustments.,AL1 9WQ,
Department For Transport,Highways Agency,03/04/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,626252,4079.97,Apps and Certs Receipt - APC66704,M2 5JB,
Department For Transport,Highways Agency,03/04/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,626278,4126.44,Invoice 935 - M4 Olympic Family Lane Error Correction,GU2 7AR,
Department For Transport,Highways Agency,03/04/2014,TA Cost AUC - Programme,MAJOR PROJECTS,HYDER HALCROW M25 JOINT VENTURE,626235,4163.17,HA Doc 440790 Inv No 1518 Inv Date 27/3/14 A1 Lobley Hill,GU2 7AR,
Department For Transport,Highways Agency,03/04/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,626271,4588.28,Invoice 811 - M4 Olympic Family Lane Error Correction,GU2 7AR,
Department For Transport,Highways Agency,03/04/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,626279,4702.27,Invoice 963 - M4 Family Olympic Lane Error Correction,GU2 7AR,
Department For Transport,Highways Agency,03/04/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,626273,4958.42,Invoice 912 - M4 Olympic Family Lane Error Correction,GU2 7AR,
Department For Transport,Highways Agency,03/04/2014,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,TREASURY SOLICITOR,626227,5097.3,Professional Works - NGS salt storage,WC2B 4TS,
