Dept Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number ,Amount
CLG,FSC,06/05/2010,Sundry low value purchase,Nursery,Barclays HMG Procurement Card,PPI004615,300.4
CLG,FSC,06/05/2010,Sundry low value purchase,Directors,Barclays HMG Procurement Card,PPI004615,516.93
CLG,FSC,06/05/2010,Sundry low value purchase,Risk & Governance,Barclays HMG Procurement Card,PPI004615,16353.44
CLG,FSC,06/05/2010,Consultancy,Course Curr&Dev Cont,Boost Marketing Ltd,PIN079583,1500
CLG,FSC,06/05/2010,Seconded Salary,Default Cost Centre,Dorset Fire Authority,PIN079615,23652.55
CLG,FSC,06/05/2010,Agency Costs (Admin),CSSC - FRS FS Trng,Hays Sales & Marketing,PIN079671,1450
CLG,FSC,06/05/2010,"VL,AT,RP Fees",Cent. For Leadership,John Potter Global Consulting,PIN079704,1200
CLG,FSC,06/05/2010,Fix/Fitt - Purchases,Facilities Costs,Kalamazoo Security Print Ltd,PIN079573,-0.35
CLG,FSC,06/05/2010,Fix/Fitt - Purchases,Facilities Costs,Kalamazoo Security Print Ltd,PIN079573,9.95
CLG,FSC,06/05/2010,Fix/Fitt - Purchases,Facilities Costs,Kalamazoo Security Print Ltd,PIN079573,222.6
CLG,FSC,06/05/2010,Fix/Fitt - Purchases,Facilities Costs,Kalamazoo Security Print Ltd,PIN079573,535.8
CLG,FSC,06/05/2010,Agency Costs (Admin),Business Planning,Michael Page International,PIN079632,1200
CLG,FSC,06/05/2010,Agency Costs (Admin),Business Planning,Michael Page International,PIN079633,1200
CLG,FSC,06/05/2010,Agency Costs (Admin),Business Planning,Michael Page International,PIN079634,1600
CLG,FSC,06/05/2010,Occupational health,Course Curr&Dev Cont,Posturite (UK) LTD,PIN079574,17.5
CLG,FSC,06/05/2010,Occupational health,Course Curr&Dev Cont,Posturite (UK) LTD,PIN079574,612.5
CLG,FSC,07/05/2010,Reactive Maintenance,Prop & Maint Costs,Edmundsons Electrical Ltd,PIN079841,14.5
CLG,FSC,07/05/2010,Reactive Maintenance,Prop & Maint Costs,Edmundsons Electrical Ltd,PIN079841,15
CLG,FSC,07/05/2010,Reactive Maintenance,Prop & Maint Costs,Edmundsons Electrical Ltd,PIN079841,21.63
CLG,FSC,07/05/2010,Reactive Maintenance,Prop & Maint Costs,Edmundsons Electrical Ltd,PIN079841,38.8
CLG,FSC,07/05/2010,Reactive Maintenance,Prop & Maint Costs,Edmundsons Electrical Ltd,PIN079841,177.6
CLG,FSC,07/05/2010,Reactive Maintenance,Prop & Maint Costs,Edmundsons Electrical Ltd,PIN079841,248.8
CLG,FSC,07/05/2010,"VL,AT,RP Fees",Incident Management,HZL Ltd.,PIN079651,900
CLG,FSC,07/05/2010,"VL,AT,RP Fees",UK Private Sector,UKOPA,PIN079618,5400
CLG,FSC,10/05/2010,Reactive Maintenance,Prop & Maint Costs,Gaffey Technical Services Ltd,PIN079817,6.15
CLG,FSC,10/05/2010,Reactive Maintenance,Prop & Maint Costs,Gaffey Technical Services Ltd,PIN079817,6.6
CLG,FSC,10/05/2010,Reactive Maintenance,Prop & Maint Costs,Gaffey Technical Services Ltd,PIN079817,6.65
CLG,FSC,10/05/2010,Reactive Maintenance,Prop & Maint Costs,Gaffey Technical Services Ltd,PIN079817,8.75
CLG,FSC,10/05/2010,Reactive Maintenance,Prop & Maint Costs,Gaffey Technical Services Ltd,PIN079817,10.5
CLG,FSC,10/05/2010,Reactive Maintenance,Prop & Maint Costs,Gaffey Technical Services Ltd,PIN079817,12.7
CLG,FSC,10/05/2010,Reactive Maintenance,Prop & Maint Costs,Gaffey Technical Services Ltd,PIN079817,23.7
CLG,FSC,10/05/2010,Reactive Maintenance,Prop & Maint Costs,Gaffey Technical Services Ltd,PIN079817,24.4
CLG,FSC,10/05/2010,Reactive Maintenance,Prop & Maint Costs,Gaffey Technical Services Ltd,PIN079817,98.15
CLG,FSC,10/05/2010,Reactive Maintenance,Prop & Maint Costs,Gaffey Technical Services Ltd,PIN079817,166
CLG,FSC,10/05/2010,Reactive Maintenance,Prop & Maint Costs,Gaffey Technical Services Ltd,PIN079817,275
CLG,FSC,10/05/2010,IT Hardware - Maintenance,IT Section,Logicalis UK Limited,PIN079625,564.29
CLG,FSC,10/05/2010,Promotional events and activities,Marketing,Magic Touch Promotions Ltd,PIN080399,1359
CLG,FSC,10/05/2010,Promotional events and activities,Incident Management,Magic Touch Promotions Ltd,PIN079829,2036
CLG,FSC,11/05/2010,Natural Gas,Facilities Costs,Corona Energy,PCR003892,-13071.95
CLG,FSC,11/05/2010,Natural Gas,Facilities Costs,Corona Energy,PIN079756,13071.95
CLG,FSC,11/05/2010,Natural Gas,Facilities Costs,Corona Energy,PIN079860,13071.95
CLG,FSC,11/05/2010,Consultancy,Incident Management,Hanover Associates (UK) Ltd,PIN079628,675
CLG,FSC,11/05/2010,"VL,AT,RP Fees",Incident Management,SHD Consulting Ltd.,PIN079650,2080
CLG,FSC,11/05/2010,Water Charges,Facilities Costs,Thames Water,PIN079703,9342.61
CLG,FSC,12/05/2010,"VL,AT,RP Fees",Hazmats,Avon Fire & Rescue Service,PIN079733,1058.82
CLG,FSC,12/05/2010,Consultancy,CSSC - FRS FS Trng,QA Associates Ltd,PIN079616,1442.4
CLG,FSC,12/05/2010,"Fgnd Eqpt, etc - Purchases",USAR,Red Box International Ltd.,PIN079658,25
CLG,FSC,12/05/2010,"Fgnd Eqpt, etc - Purchases",USAR,Red Box International Ltd.,PIN079658,522
CLG,FSC,13/05/2010,Scrap Vehicles,Ops-Fireground,Common Road Dismantlers,PIN079663,2537.5
CLG,FSC,13/05/2010,"Fgnd Eqpt, etc - Maintenance",Ops-Fireground,Fire Hosetech,PIN079684,7490.9
CLG,FSC,13/05/2010,"VL,AT,RP Fees",CSSC - FRS FS Trng,Forensic Science Service,PIN079749,161.3
CLG,FSC,13/05/2010,"VL,AT,RP Fees",CSSC - FRS FS Trng,Forensic Science Service,PIN079749,1294.5
CLG,FSC,13/05/2010,Agency Costs (Admin),CSSC - FRS FS Trng,Hays Sales & Marketing,PIN079674,1160
CLG,FSC,13/05/2010,Consultancy,CSSC - FRS FS Trng,QA Associates Ltd,PIN079653,2701.4
CLG,FSC,14/05/2010,"VL,AT,RP Fees",Cent. For Leadership,Centre of Applied Positive,PIN079957,750
CLG,FSC,14/05/2010,Seconded Salary,Default Cost Centre,Devon Fire Authority,PIN080330,11906.55
CLG,FSC,14/05/2010,Agency Costs (Admin),IT Section,Hays Information Technology,PIN079669,900
CLG,FSC,14/05/2010,Agency Costs (Admin),IT Section,Hays Information Technology,PIN079670,900
CLG,FSC,14/05/2010,Payroll Fees,Human Resources,Home Office Pay & Pension Service,PIN079690,1069.25
CLG,FSC,14/05/2010,Reactive Maintenance,Prop & Maint Costs,Mansell Construction Services Ltd,PIN079689,13761.89
CLG,FSC,15/05/2010,"VL,AT,RP Fees",Special Ops,Casualties Union,PIN079755,616
CLG,FSC,17/05/2010,Agency Costs (Admin),Chief Info. Officer,Computer People,PIN079791,4045.5
CLG,FSC,17/05/2010,"Student - Travel, etc",Transport,ETC Private Hire & Chauffeur Services,PIN079782,170
CLG,FSC,17/05/2010,"Student - Travel, etc",Transport,ETC Private Hire & Chauffeur Services,PIN079782,870
CLG,FSC,17/05/2010,"VL,AT,RP Fees",Incident Management,Fisher Scoggins LLP,PIN079734,840.3
CLG,FSC,17/05/2010,"Fgnd Eqpt, etc - Purchases",Ops-Fireground,Holmatro UK Ltd.,PIN079954,113.9
CLG,FSC,17/05/2010,"Fgnd Eqpt, etc - Purchases",Ops-Fireground,Holmatro UK Ltd.,PIN079954,8000
CLG,FSC,17/05/2010,Audit Fees,Risk & Governance,Price Waterhouse Coopers LLP,PIN079765,1036.68
CLG,FSC,17/05/2010,"VL,AT,RP Fees",Incident Management,Principea Consulting Ltd,PIN079960,800
CLG,FSC,17/05/2010,Prepayments,IT Section,Softbrands,PIN079693,1168.02
CLG,FSC,18/05/2010,"VL,AT,RP Fees",USAR,Norfolk County Council,PIN079816,120
CLG,FSC,18/05/2010,"VL,AT,RP Fees",USAR,Norfolk County Council,PIN079816,3600
CLG,FSC,18/05/2010,"Petrol, Oil, Tyres",Ops-Fireground,Pace Fuelcare Ltd,PIN079770,7971.14
CLG,FSC,18/05/2010,Admin - Stationery,IT Section,Seton Ltd,PIN079772,13.95
CLG,FSC,18/05/2010,Admin - Stationery,IT Section,Seton Ltd,PIN079772,576.3
CLG,FSC,19/05/2010,USAR consumables,USAR,Building and Plumbing Supplies Ltd.,PIN079735,614.9
CLG,FSC,19/05/2010,USAR consumables,USAR,Building and Plumbing Supplies Ltd.,PIN079735,626.01
CLG,FSC,19/05/2010,USAR consumables,USAR,Building and Plumbing Supplies Ltd.,PIN079735,1209
CLG,FSC,19/05/2010,Reactive Maintenance,Capital Costs,Smith's (Gloucester) Limited,PIN080050,177.74
CLG,FSC,19/05/2010,Reactive Maintenance,Capital Costs,Smith's (Gloucester) Limited,PIN080050,9288.26
CLG,FSC,20/05/2010,Electrical Testing,Prop & Maint Costs,Buzz Electrical Ltd,PIN080093,1668.97
CLG,FSC,20/05/2010,Travel - Course Delivery,Incident Management,Expotel Hotel Reservations Ltd,PIN079759,749.76
CLG,FSC,20/05/2010,Agency Costs (Admin),CSSC - FRS FS Trng,Hays Sales & Marketing,PIN079750,1450
CLG,FSC,20/05/2010,Fire Alarms,Prop & Maint Costs,Johnson Controls Fire & Security,PIN079892,2273.91
CLG,FSC,20/05/2010,L&B - WIP,Default Cost Centre,Peter Evans Partnership,PIN079836,827.65
CLG,FSC,20/05/2010,L&B - WIP,Default Cost Centre,Peter Evans Partnership,PIN079836,984.9
CLG,FSC,20/05/2010,Agency Costs (Admin),Library,Sue Hill Recruitment & Services Ltd,PIN079784,518.1
CLG,FSC,20/05/2010,Legal Fees,Information Services,Veale Wasbrough Vizards,PIN079929,2000
CLG,FSC,21/05/2010,Fire Alarms,Prop & Maint Costs,Johnson Controls Fire & Security,PIN079891,4200
CLG,FSC,21/05/2010,Legal Fees,Finance Department,Veale Wasbrough Vizards,PIN079986,2007
CLG,FSC,23/05/2010,Uniform/Prot Clthg - Direct (NT),Ops-Fireground,MSA (Britain) Limited,PIN079850,975
CLG,FSC,24/05/2010,Non-Fgnd Training - Eqpt Purchases,Estate Support,Leisure Lakes c2w,PIN079852,1999.88
CLG,FSC,24/05/2010,"VL,AT,RP Fees",Hazmats,Warwickshire Fire & Rescue Service,PIN079987,5200
CLG,FSC,25/05/2010,Barclaycard - Travel & Subs,UKFRS RMT,Company Barclaycard Business,PPI004631,30.76
CLG,FSC,25/05/2010,Barclaycard - Travel & Subs,Director of Finance,Company Barclaycard Business,PPI004631,37.3
CLG,FSC,25/05/2010,Barclaycard - Travel & Subs,Information Services,Company Barclaycard Business,PPI004631,104.3
CLG,FSC,25/05/2010,Barclaycard - Travel & Subs,Qualifications Man.,Company Barclaycard Business,PPI004631,115.2
CLG,FSC,25/05/2010,Barclaycard - Travel & Subs,Directors,Company Barclaycard Business,PPI004631,467.9
CLG,FSC,25/05/2010,Barclaycard - Travel & Subs,USAR,Company Barclaycard Business,PPI004631,792.52
CLG,FSC,25/05/2010,Barclaycard - Travel & Subs,Internat'al Business,Company Barclaycard Business,PPI004631,2905.78
CLG,FSC,25/05/2010,Consultancy,Facilities Costs,Four Communciations,PIN079834,850
CLG,FSC,25/05/2010,Prepayments,IT Section,Gladstone Health & Leisure,PIN079889,-0.12
CLG,FSC,25/05/2010,Prepayments,IT Section,Gladstone Health & Leisure,PIN079889,2367.08
CLG,FSC,25/05/2010,"VL,AT,RP Fees",Hazmats,Quicksilver UK Limited,PIN079882,43.48
CLG,FSC,25/05/2010,"VL,AT,RP Fees",Hazmats,Quicksilver UK Limited,PIN079882,2000.43
CLG,FSC,25/05/2010,Legal Fees,Facilities Costs,Veale Wasbrough Vizards,PIN080004,524
CLG,FSC,25/05/2010,Mobile phone charges,Resourcing,Vodafone Corporate Ltd,PIN079798,11.35
CLG,FSC,25/05/2010,Mobile phone charges,Nursery,Vodafone Corporate Ltd,PIN079798,13.53
CLG,FSC,25/05/2010,Mobile phone charges,OGA,Vodafone Corporate Ltd,PIN079798,14.22
CLG,FSC,25/05/2010,Mobile phone charges,Events & Infra. Sale,Vodafone Corporate Ltd,PIN079798,23
CLG,FSC,25/05/2010,Mobile phone charges,Director of  Estates,Vodafone Corporate Ltd,PIN079798,32.04
CLG,FSC,25/05/2010,Mobile phone charges,National Resilience,Vodafone Corporate Ltd,PIN079798,33.75
CLG,FSC,25/05/2010,Mobile phone charges,Firefighter Training,Vodafone Corporate Ltd,PIN079798,35.12
CLG,FSC,25/05/2010,Mobile phone charges,CSSC - FRS FS Trng,Vodafone Corporate Ltd,PIN079798,35.69
CLG,FSC,25/05/2010,Mobile phone charges,Estate Support,Vodafone Corporate Ltd,PIN079798,42.1
CLG,FSC,25/05/2010,Mobile phone charges,Ops-Workshops,Vodafone Corporate Ltd,PIN079798,61.82
CLG,FSC,25/05/2010,Mobile phone charges,Director of Finance,Vodafone Corporate Ltd,PIN079798,65.89
CLG,FSC,25/05/2010,Mobile phone charges,Business Management,Vodafone Corporate Ltd,PIN079798,67.84
CLG,FSC,25/05/2010,Mobile phone charges,Fire Gateway,Vodafone Corporate Ltd,PIN079798,69.24
CLG,FSC,25/05/2010,Mobile phone charges,Head Policy & Media,Vodafone Corporate Ltd,PIN079798,70.06
CLG,FSC,25/05/2010,Mobile phone charges,Qualifications Man.,Vodafone Corporate Ltd,PIN079798,71.89
CLG,FSC,25/05/2010,Mobile phone charges,Higher Education,Vodafone Corporate Ltd,PIN079798,74.79
CLG,FSC,25/05/2010,Mobile phone charges,Marketing,Vodafone Corporate Ltd,PIN079798,76.48
CLG,FSC,25/05/2010,Mobile phone charges,Delivery Management,Vodafone Corporate Ltd,PIN079798,76.58
CLG,FSC,25/05/2010,Mobile phone charges,Curriculum Design Ma,Vodafone Corporate Ltd,PIN079798,88.09
CLG,FSC,25/05/2010,Mobile phone charges,Director of HR,Vodafone Corporate Ltd,PIN079798,95.55
CLG,FSC,25/05/2010,Mobile phone charges,Dir. of Serv. Deliv.,Vodafone Corporate Ltd,PIN079798,104.51
CLG,FSC,25/05/2010,Mobile phone charges,Dir of Sales&Mrkting,Vodafone Corporate Ltd,PIN079798,117.77
CLG,FSC,25/05/2010,Mobile phone charges,UK Private Sector,Vodafone Corporate Ltd,PIN079798,121.8
CLG,FSC,25/05/2010,Mobile phone charges,Chief Info. Officer,Vodafone Corporate Ltd,PIN079798,146.06
CLG,FSC,25/05/2010,Mobile phone charges,Hazmats,Vodafone Corporate Ltd,PIN079798,151.29
CLG,FSC,25/05/2010,Mobile phone charges,Prop & Maint Costs,Vodafone Corporate Ltd,PIN079798,189.16
CLG,FSC,25/05/2010,Mobile phone charges,Facilities Costs,Vodafone Corporate Ltd,PIN079798,214.03
CLG,FSC,25/05/2010,Mobile phone charges,Directors,Vodafone Corporate Ltd,PIN079798,290.72
CLG,FSC,25/05/2010,Mobile phone charges,USAR,Vodafone Corporate Ltd,PIN079798,303.27
CLG,FSC,25/05/2010,Mobile phone charges,Cent. For Leadership,Vodafone Corporate Ltd,PIN079798,309.32
CLG,FSC,25/05/2010,Mobile phone charges,IT Section,Vodafone Corporate Ltd,PIN079798,339.98
CLG,FSC,25/05/2010,Mobile phone charges,UKFRS RMT,Vodafone Corporate Ltd,PIN079798,385.07
CLG,FSC,25/05/2010,Mobile phone charges,Ops-Fireground,Vodafone Corporate Ltd,PIN079798,394.87
CLG,FSC,25/05/2010,Mobile phone charges,Special Ops,Vodafone Corporate Ltd,PIN079798,641.18
CLG,FSC,25/05/2010,Mobile phone charges,Incident Management,Vodafone Corporate Ltd,PIN079798,781.76
CLG,FSC,25/05/2010,Mobile phone charges,Internat'al Business,Vodafone Corporate Ltd,PIN079798,1759.09
CLG,FSC,26/05/2010,Staff Development - Skill Specific,Directors,CMPS (National School of Government),PIN079942,10
CLG,FSC,26/05/2010,Staff Development - Skill Specific,Directors,CMPS (National School of Government),PIN079942,665
CLG,FSC,26/05/2010,"VL,AT,RP Fees",Incident Management,CodexR Ltd,PIN079814,9901.6
CLG,FSC,26/05/2010,"VL,AT,RP Fees",Incident Management,Consultancy Services Ltd.,PIN079920,1323
CLG,FSC,26/05/2010,Agency Costs (Admin),IT Section,Hays Information Technology,PIN079838,900
CLG,FSC,26/05/2010,Agency Costs (Admin),IT Section,Hays Information Technology,PIN079839,900
CLG,FSC,27/05/2010,Non-Training Eqpt - Purchases,Ops-Workshops,Cromwell Tools (Basingstoke),PIN079996,1367.87
CLG,FSC,27/05/2010,Catering - Other,Int Facilities Mgmt,Europa Facilities Management Ltd,PIN079989,4935.26
CLG,FSC,27/05/2010,Core Variable Costs,Int Facilities Mgmt,Europa Facilities Management Ltd,PIN079879,17093.35
CLG,FSC,27/05/2010,Catering - Hospitality,Int Facilities Mgmt,Europa Facilities Management Ltd,PIN079989,41578.32
CLG,FSC,27/05/2010,Core Fixed Costs,Int Facilities Mgmt,Europa Facilities Management Ltd,PIN079878,69216.51
CLG,FSC,27/05/2010,Catering - Meals,Int Facilities Mgmt,Europa Facilities Management Ltd,PIN079989,79387.61
CLG,FSC,27/05/2010,Agency Costs (Admin),Marketing,Hays Sales & Marketing,PIN079840,1305
CLG,FSC,27/05/2010,Agency Costs (Admin),Business Planning,Michael Page International,PIN079902,1200
CLG,FSC,27/05/2010,Agency Costs (Admin),Business Planning,Michael Page International,PIN079903,1200
CLG,FSC,27/05/2010,Agency Costs (Admin),Business Planning,Michael Page International,PIN079904,1800
CLG,FSC,27/05/2010,"VL,AT,RP Fees",Special Ops,N P Lacey,PIN081074,80
CLG,FSC,27/05/2010,"VL,AT,RP Fees",Special Ops,N P Lacey,PIN081074,280
CLG,FSC,27/05/2010,"VL,AT,RP Fees",Special Ops,N P Lacey,PIN081074,540
CLG,FSC,27/05/2010,Agency Costs (Admin),Library,Sue Hill Recruitment & Services Ltd,PIN079980,146.13
CLG,FSC,27/05/2010,Agency Costs (Admin),Library,Sue Hill Recruitment & Services Ltd,PIN079980,402.19
CLG,FSC,27/05/2010,Water Charges,Facilities Costs,Thames Water,PIN079934,7876.69
CLG,FSC,27/05/2010,"Fgnd Eqpt, etc - Rental",OGA,The Outreach Organisation Ltd.,PIN080054,760
CLG,FSC,27/05/2010,"Fgnd Eqpt, etc - Rental",OGA,The Outreach Organisation Ltd.,PIN080055,760
CLG,FSC,27/05/2010,"Fgnd Eqpt, etc - Rental",USAR,The Outreach Organisation Ltd.,PIN080056,760
CLG,FSC,27/05/2010,"Fgnd Eqpt, etc - Rental",USAR,The Outreach Organisation Ltd.,PIN080057,760
CLG,FSC,27/05/2010,"Fgnd Eqpt, etc - Rental",USAR,The Outreach Organisation Ltd.,PIN080058,760
CLG,FSC,27/05/2010,Fees - Non Payrol AT,USAR,The Outreach Organisation Ltd.,PIN080056,1260
CLG,FSC,27/05/2010,Fees - Non Payrol AT,OGA,The Outreach Organisation Ltd.,PIN080055,3600
CLG,FSC,27/05/2010,Fees - Non Payrol AT,OGA,The Outreach Organisation Ltd.,PIN080054,3780
CLG,FSC,27/05/2010,Fees - Non Payrol AT,USAR,The Outreach Organisation Ltd.,PIN080057,5040
CLG,FSC,27/05/2010,Fees - Non Payrol AT,USAR,The Outreach Organisation Ltd.,PIN080058,6300
CLG,FSC,28/05/2010,"VL,AT,RP Fees",CSSC - FRS FS Trng,E.G. Training & Consultancy,PIN079976,89.3
CLG,FSC,28/05/2010,"VL,AT,RP Fees",CSSC - FRS FS Trng,E.G. Training & Consultancy,PIN079975,91.2
CLG,FSC,28/05/2010,"VL,AT,RP Fees",CSSC - FRS FS Trng,E.G. Training & Consultancy,PIN079976,91.2
CLG,FSC,28/05/2010,"VL,AT,RP Fees",CSSC - FRS FS Trng,E.G. Training & Consultancy,PIN079975,850
CLG,FSC,28/05/2010,"VL,AT,RP Fees",CSSC - FRS FS Trng,E.G. Training & Consultancy,PIN079976,1450
CLG,FSC,28/05/2010,External Course/Seminar Delivery,USAR,Mines Rescue Services Ltd,PIN079936,750
CLG,FSC,28/05/2010,Heating & Hot Water,Prop & Maint Costs,QTS Associates Ltd,PIN079944,2143.74
CLG,FSC,28/05/2010,Heating & Hot Water,Prop & Maint Costs,QTS Associates Ltd,PIN079944,2143.74
CLG,FSC,29/05/2010,Agency Costs (Admin),Business Planning,Michael Page International,PIN080365,800
CLG,FSC,31/05/2010,L&B - WIP,Default Cost Centre,BRD Environmental Ltd,PIN079897,1205.58
CLG,FSC,31/05/2010,IT Consultancies,Directors,Dbi Consulting,PIN079968,4978
CLG,FSC,31/05/2010,Soft services contract,Int Facilities Mgmt,Fire Service College Mess Club,PIN079664,1333.33
CLG,FSC,31/05/2010,Agency Costs (Admin),Director of Finance,Odgersinterim,PIN079918,13300
CLG,FSC,31/05/2010,Admin - Stationery,Facilities Costs,Office Depot UK Ltd,PIN080148,518.7
CLG,FSC,31/05/2010,USAR consumables,USAR,Somerscales (timber merchants) Ltd,PIN080170,1000
CLG,FSC,31/05/2010,Miscellaneous,Prop & Maint Costs,Weatherite Shopfronts & Shutters Ltd.,PIN079921,566.4
CLG,FSC,31/05/2010,Reactive Maintenance,Prop & Maint Costs,Weatherite Shopfronts & Shutters Ltd.,PIN080081,723.4
CLG,FSC,01/06/2010,IT Software - Maintenance,IT Section,Data Track PLC,PIN080010,512.41
CLG,FSC,01/06/2010,External training materials and fees,Firefighter Training,Duradiamond Healthcare Ltd.,PIN080334,7202
CLG,FSC,01/06/2010,"VL,AT,RP Fees",Hazmats,East Sussex Fire Authority,PIN079871,102.36
CLG,FSC,01/06/2010,"VL,AT,RP Fees",Hazmats,East Sussex Fire Authority,PIN079871,1000
CLG,FSC,01/06/2010,Electricity,Facilities Costs,EDF Electricity (Was London Electricity Plc),PIN079893,16461.72
CLG,FSC,01/06/2010,"Student - Travel, etc",Transport,ETC Private Hire & Chauffeur Services,PIN079953,544
CLG,FSC,01/06/2010,"Student - Travel, etc",Transport,ETC Private Hire & Chauffeur Services,PIN079953,630
CLG,FSC,01/06/2010,Telephone Charges,IT Section,Kcom,PIN081177,803.71
CLG,FSC,01/06/2010,"VL,AT,RP Fees",USAR,Northumberland County Council,PIN080417,1240
CLG,FSC,01/06/2010,IT Hardware - Rental,IT Section,Star Technology Services Ltd.,PIN079912,3779.66
CLG,FSC,01/06/2010,Water Hygiene & Pollution Control,Prop & Maint Costs,WCS Environmental Ltd,PIN080022,1315.96
CLG,FSC,02/06/2010,Miscellaneous,Prop & Maint Costs,Edmundsons Electrical Ltd,PIN080067,635.2
CLG,FSC,02/06/2010,Consultancy,CSSC - FRS FS Trng,QA Associates Ltd,PIN079895,863.8
CLG,FSC,03/06/2010,Travel - Other,Internat'al Business,ETC Private Hire & Chauffeur Services,PIN079872,95
CLG,FSC,03/06/2010,Travel - Other,Internat'al Business,ETC Private Hire & Chauffeur Services,PIN079872,95
CLG,FSC,03/06/2010,Travel - Other,Internat'al Business,ETC Private Hire & Chauffeur Services,PIN079872,95
CLG,FSC,03/06/2010,Travel - Other,Internat'al Business,ETC Private Hire & Chauffeur Services,PIN079872,95
CLG,FSC,03/06/2010,Travel - Other,Internat'al Business,ETC Private Hire & Chauffeur Services,PIN079872,140
CLG,FSC,03/06/2010,Travel - Other,Internat'al Business,ETC Private Hire & Chauffeur Services,PIN079872,140
CLG,FSC,03/06/2010,Staff Development - Skill Specific,Staff Development,Ian Stroud,PIN079861,854.69
CLG,FSC,03/06/2010,"Fgnd Eqpt, etc - Purchases",USAR,Lyon Equipment,PIN079999,2212.01
CLG,FSC,03/06/2010,Agency Costs (Admin),Library,Sue Hill Recruitment & Services Ltd,PIN079888,518.1
CLG,FSC,03/06/2010,"VL,AT,RP Fees",USAR,Wiltshire College,PIN079884,4676
CLG,FSC,04/06/2010,Vehicles - Consumables,Ops-Workshops,ATS Euromaster Ltd,PIN079993,1257.04
CLG,FSC,04/06/2010,"Fgnd Eqpt, etc - Maintenance",Ops-Fireground,Barber Brothers,PIN080095,240
CLG,FSC,04/06/2010,"Fgnd Eqpt, etc - Maintenance",Ops-Fireground,Barber Brothers,PIN080095,275
CLG,FSC,04/06/2010,Other Fuels (Heating+Lighting),Facilities Costs,Total Butler,PIN079984,250.51
CLG,FSC,04/06/2010,Other Fuels (Heating+Lighting),Facilities Costs,Total Butler,PIN079984,700
CLG,FSC,05/06/2010,USAR consumables,USAR,Building and Plumbing Supplies Ltd.,PIN079890,820
CLG,FSC,07/06/2010,"VL,AT,RP Fees",USAR,Avon Fire & Rescue Service,PIN080021,40
CLG,FSC,07/06/2010,"VL,AT,RP Fees",USAR,Avon Fire & Rescue Service,PIN080021,1000
CLG,FSC,07/06/2010,Consultancy,Incident Management,KA C&CC,PIN080011,1352.5
CLG,FSC,08/06/2010,Other Professional Fees,Cent. For Leadership,Warwick Business School,PIN080321,4200
CLG,FSC,08/06/2010,Other Professional Fees,Cent. For Leadership,Warwick Business School,PIN080322,114604
CLG,FSC,09/06/2010,"Petrol, Oil, Tyres",Ops-Fireground,BP LPG UK,PIN080080,1328.18
CLG,FSC,09/06/2010,"VL,AT,RP Fees",Hazmats,Draeger Safety UK Ltd.,PIN079992,1150
CLG,FSC,09/06/2010,"VL,AT,RP Fees",Hazmats,Draeger Safety UK Ltd.,PIN079992,1150
CLG,FSC,09/06/2010,Agency Costs (Admin),IT Section,Hays Information Technology,PIN079981,540
CLG,FSC,09/06/2010,Agency Costs (Admin),IT Section,Hays Information Technology,PIN079982,900
CLG,FSC,09/06/2010,Other Professional Fees,Facilities Costs,Knight Frank LLP (Bristol),PIN080005,1500
CLG,FSC,10/06/2010,"Fgnd Eqpt, etc - Maintenance",USAR,Banbury Plant Hire,PIN080087,1640
CLG,FSC,10/06/2010,Natural Gas,Facilities Costs,Corona Energy,PIN080083,10838.71
CLG,FSC,10/06/2010,Catering - Other,Int Facilities Mgmt,Fire Service College Mess Club,PIN079985,1333.33
CLG,FSC,10/06/2010,Agency Costs (Admin),Business Planning,Michael Page International,PIN080363,1600
CLG,FSC,10/06/2010,"VL,AT,RP Fees",Hazmats,Nottinghamshire Fire & Rescue Service,PIN080020,1040
CLG,FSC,10/06/2010,Relocation - Seconded (NT) ,Human Resources,Pickfords Ltd.,PIN079994,-14.87
CLG,FSC,10/06/2010,Relocation - Seconded (NT) ,Human Resources,Pickfords Ltd.,PIN079994,844
CLG,FSC,10/06/2010,Staff Development - Skill Specific,Staff Development,Supply 999 Limited,PIN079990,1470
CLG,FSC,10/06/2010,Staff Development - Skill Specific,Staff Development,Supply 999 Limited,PIN079990,1470
CLG,FSC,10/06/2010,"VL,AT,RP Fees",Hazmats,VT Group,PIN080240,3113.75
CLG,FSC,11/06/2010,Agency Costs (Admin),Marketing,Hays Sales & Marketing,PIN080014,870
CLG,FSC,11/06/2010,Agency Costs (Admin),Marketing,Hays Sales & Marketing,PIN080013,1450
CLG,FSC,11/06/2010,Payroll Fees,Human Resources,Home Office Pay & Pension Service,PIN080003,1069.25
CLG,FSC,11/06/2010,Fireground Consumables,Ops-Fireground,James Latham Western - Lathams Ltd,PIN080089,8250
CLG,FSC,14/06/2010,Consultancy,CSSC - FRS FS Trng,QA Associates Ltd,PIN080045,1923.2
CLG,FSC,14/06/2010,USAR consumables,USAR,Smith's (Gloucester) Limited,PIN081005,6355
CLG,FSC,15/06/2010,Miscellaneous,Prop & Maint Costs,Amity Insulation Services Ltd,PIN080174,562.5
CLG,FSC,15/06/2010,Sundry low value purchase,Resourcing,Barclays HMG Procurement Card,PPI004644,55.5
CLG,FSC,15/06/2010,Sundry low value purchase,Directors,Barclays HMG Procurement Card,PPI004644,92.93
