DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIERPOSTCODE|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633014|16066.88|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633014|616.67|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633016|652.32|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633016|578.93|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633016|1146.31|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633016|6425|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633016|42473.06|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633016|229425.41|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633016|22646.38|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633016|692.62|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633016|10284.45|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633016|7999.99|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633017|1045.53|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633018|372.07|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633018|159.52|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633018|733.92|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633018|3147.33|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633020|483.02|Apps and Certs Receipt - APC72815|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633047|6363.72|Apps and Certs Receipt - APC72759|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633049|7080.45|Apps and Certs Receipt - APC72754|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|MERSEYSIDE FIRE AND RESCUE SERVICES|633065|2000|#|L30 4YD|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|OVE ARUP & PARTNERS|633071|6332.8|#|NE1 3PL|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|PARSONS BRINCKERHOFF LIMITED|633104|41729.21|cc2120 professional fees to 30th June 2014|NE4 7YQ|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|615944|-861.45|Apps and Certs Receipt - APC57724|WD3 9AS|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|WILLIAMS LEA LIMITED|633092|1096.5|DFT-HA14060002 Dart Charge Leaflet V2|W2 6LG|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK SERVICES DIRECTORATE|ATKINS LTD|633064|13735|June 14|BS32 4SY|
Department for Transport|Highways Agency|16/07/2014|Contractor Costs|NETWORK SERVICES DIRECTORATE|OVE ARUP & PARTNERS|633061|18852|June 14|NE1 3PL|
Department for Transport|Highways Agency|16/07/2014|Digital Communications|NETWORK SERVICES DIRECTORATE|ATOS IT SERVICES UK LIMITED|541647|-3256.99|C4967106 Wordpress Dec 12 Charges|WV10 6UH|
Department for Transport|Highways Agency|16/07/2014|ICT Consultancy Costs|FINANCE & BUSINESS SERVICES|ATOS IT SERVICES UK LIMITED|631975|994|SIAM Project Charges 13/14: Extension MS02 10%|WV10 6UH|
Department for Transport|Highways Agency|16/07/2014|ICT Consultancy Costs|FINANCE & BUSINESS SERVICES|BROOK STREET (UK)  LTD|632372|0|XXXXXX w/c 28-Jul-14 (36.5 Hours)|AL1 4ZX|
Department for Transport|Highways Agency|16/07/2014|ICT Consultancy Costs|FINANCE & BUSINESS SERVICES|REED SPECIALIST RECRUITMENT LIMITED|633083|605.26|XXXXXX w/c 30-Jun-14 (37.5 Hours)|SW20 0BA|
Department for Transport|Highways Agency|16/07/2014|ICT Consultancy Costs|FINANCE & BUSINESS SERVICES|REED SPECIALIST RECRUITMENT LIMITED|633084|605.26|XXXXXX w/c 07-Jul-14 (37.5 Hours)|SW20 0BA|
Department for Transport|Highways Agency|16/07/2014|ICT Consumables|FINANCE & BUSINESS SERVICES|ATOS IT SERVICES UK LIMITED|625321|-2142.39|Consumables March 2014 spend.|WV10 6UH|
Department for Transport|Highways Agency|16/07/2014|ICT Hardware Maintenance|FINANCE & BUSINESS SERVICES|ATOS IT SERVICES UK LIMITED|625322|-1520.05|Chargeable Incidents & Equipment March 2014 spend|WV10 6UH|
Department for Transport|Highways Agency|16/07/2014|Lands Costs|MAJOR PROJECTS|TREASURY SOLICITOR|LOMD247778|2084.4|HAL00006726//407267|GL1 2AZ|
Department for Transport|Highways Agency|16/07/2014|Meeting Room Hire|NETWORK DELIVERY & DEVELOPMENT|CALDER CONFERENCES LIMITED|633107|671.77|Winter ICT Supplier Engagement Day - Birmingham|LS16 6RF|
Department for Transport|Highways Agency|16/07/2014|Meeting Room Hire|STRATEGY & PLANNING DIR|CALDER CONFERENCES LIMITED|633093|5136.01|invoice 124985|LS16 6RF|
Department for Transport|Highways Agency|16/07/2014|Non Civil Servant HA Staff|FINANCE & BUSINESS SERVICES|MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED|633011|1371.18|Doc 445522 Inv 5658714 20/6/14 XXXXXX w/e 22/6/14 (5 days @ #228.53 pd)|SL1 1DB|
Department for Transport|Highways Agency|16/07/2014|Non Civil Servant HA Staff|FINANCE & BUSINESS SERVICES|PERTEMPS RECRUITMENT PARTNERSHIP LTD|633009|548.21|XXXXXX W/E 04/07/2014|CV7 7PT|
Department for Transport|Highways Agency|16/07/2014|Non Civil Servant HA Staff|MAJOR PROJECTS|CAPITA GROUP|633010|8484.5|XXXXXX Timesheet week ending:22/06/14 & 29/06/14|DL1 9HN|
Department for Transport|Highways Agency|16/07/2014|Non Civil Servant HA Staff|NETWORK DELIVERY & DEVELOPMENT|HYDER HALCROW M25 JOINT VENTURE|633005|10155.24|#|GU2 7AR|
Department for Transport|Highways Agency|16/07/2014|Non Civil Servant HA Staff|NETWORK DELIVERY & DEVELOPMENT|MORGAN HUNT UK LTD|633081|1272|741365 Communications Workstream Daily Rate - XXXXXX w/e 13/07/14|EC4M 7EG|
Department for Transport|Highways Agency|16/07/2014|Other external training costs|MAJOR PROJECTS|SOUL BROTHERS LTD|633002|517|Payment for invoice 48661|MK46 5EA|
Department for Transport|Highways Agency|16/07/2014|RM - Electricity costs|NETWORK DELIVERY & DEVELOPMENT|BRITISH GAS TRADING LIMITED|629158|-515.29|#|CF10 5BT|
Department for Transport|Highways Agency|16/07/2014|RM - Electricity costs|NETWORK DELIVERY & DEVELOPMENT|BRITISH GAS TRADING LIMITED|633034|1068.78|#|CF10 5BT|
Department for Transport|Highways Agency|16/07/2014|RM - Electricity costs|NETWORK DELIVERY & DEVELOPMENT|BRITISH GAS TRADING LIMITED|633035|9655.99|#|CF10 5BT|
Department for Transport|Highways Agency|16/07/2014|RM - Electricity costs|NETWORK DELIVERY & DEVELOPMENT|BRITISH GAS TRADING LIMITED|633036|2401.28|#|CF10 5BT|
Department for Transport|Highways Agency|16/07/2014|RM - Electricity costs|NETWORK DELIVERY & DEVELOPMENT|BRITISH GAS TRADING LIMITED|633037|3704.57|#|CF10 5BT|
Department for Transport|Highways Agency|16/07/2014|RM - Electricity costs|NETWORK DELIVERY & DEVELOPMENT|BRITISH GAS TRADING LIMITED|633038|23418.04|#|CF10 5BT|
Department for Transport|Highways Agency|16/07/2014|RM - Electricity costs|NETWORK DELIVERY & DEVELOPMENT|BRITISH GAS TRADING LIMITED|633039|7529.8|#|CF10 5BT|
Department for Transport|Highways Agency|16/07/2014|RM - Electricity costs|NETWORK DELIVERY & DEVELOPMENT|BRITISH GAS TRADING LIMITED|633040|35631.89|#|CF10 5BT|
Department for Transport|Highways Agency|16/07/2014|RM - Electricity costs|NETWORK DELIVERY & DEVELOPMENT|BRITISH GAS TRADING LIMITED|633041|3539.76|#|CF10 5BT|
Department for Transport|Highways Agency|16/07/2014|RM - Electricity costs|NETWORK DELIVERY & DEVELOPMENT|BRITISH GAS TRADING LIMITED|633042|1282.33|#|CF10 5BT|
Department for Transport|Highways Agency|16/07/2014|RM - Electricity costs|NETWORK DELIVERY & DEVELOPMENT|BRITISH GAS TRADING LIMITED|633043|65211.47|#|CF10 5BT|
Department for Transport|Highways Agency|16/07/2014|RM - Electricity costs|NETWORK DELIVERY & DEVELOPMENT|BRITISH GAS TRADING LIMITED|633044|5357.5|#|CF10 5BT|
Department for Transport|Highways Agency|16/07/2014|RM - Electricity costs|NETWORK DELIVERY & DEVELOPMENT|BRITISH GAS TRADING LIMITED|633045|1162.2|#|CF10 5BT|
Department for Transport|Highways Agency|16/07/2014|RM Cost Reimbursable|NETWORK DELIVERY & DEVELOPMENT|ACCOLADE MEASUREMENT|633003|1887.5|Invoice I/1458/7 = A12 Bury Lane & Station Rd Monitoring, Charges for the month of June 2014|AL8 6LD|
Department for Transport|Highways Agency|16/07/2014|RM Cost Reimbursable|NETWORK DELIVERY & DEVELOPMENT|ACCOLADE MEASUREMENT|633059|5662.5|Invoice I/1092/12 = Structural monitoring A14/167.30 Hill House Viaduct, Monitoring for months April, May and June 2014|AL8 6LD|
Department for Transport|Highways Agency|16/07/2014|RM Cost Reimbursable|NETWORK DELIVERY & DEVELOPMENT|BALFOUR BEATTY MOTT MACDONALD AREA 10 ASC|627245|-9448.93|Apps and Certs Receipt - APC67566|WA3 7PG|
Department for Transport|Highways Agency|16/07/2014|RM Cost Reimbursable|NETWORK DELIVERY & DEVELOPMENT|BALFOUR BEATTY MOTT MACDONALD AREA 10 ASC|633022|4631.56|Apps and Certs Receipt - APC72821|WA3 7PG|
Department for Transport|Highways Agency|16/07/2014|RM Cost Reimbursable|NETWORK DELIVERY & DEVELOPMENT|BALFOUR BEATTY MOTT MACDONALD AREA 10 ASC|633022|44065.42|Apps and Certs Receipt - APC72821|WA3 7PG|
Department for Transport|Highways Agency|16/07/2014|RM TM for RTMC|NETWORK DELIVERY & DEVELOPMENT|BALFOUR BEATTY MOTT MACDONALD AREA 10 ASC|633023|30294.56|Apps and Certs Receipt - APC72812|WA3 7PG|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|A-ONE + INTEGRATED HIGHWAY SERVICES (CIS)|633063|856.97|Apps and Certs Receipt - APC72702|DL1 1TJ|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|ATKINS LTD|632710|466.58|A11 Fiveways to Thetford Atkins S&T Invoice Jun 14|BS32 4SY|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|ATKINS LTD|633057|291908.16|Invoice #8|BS32 4SY|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|BALFOUR BEATTY MOTT MACDONALD AREA 10 ASC|633022|4909.57|Apps and Certs Receipt - APC72821|WA3 7PG|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|BALFOUR BEATTY MOTT MACDONALD AREA 10 ASC|633022|70.82|Apps and Certs Receipt - APC72821|WA3 7PG|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|BMJV|633072|129496.23|Certificate 7|GU15 3XW|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|CAMBRIDGESHIRE COUNTY COUNCIL|633008|2297|A14 Cambs to hunts traffic modelling work Cambs CC on behalf of WSP for 2756.40 inc VAT July 14|CB3 0AP|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|CARILLION CONSTRUCTION LTD - CIVIL ENGINEERING|633032|19982.93|Cert No 19 Assessment Date 28/1/14 M6 Ext Carlisle|S1 2BQ|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|CARILLION CONSTRUCTION LTD - CIVIL ENGINEERING|633033|274321.39|Cert No 83a Assessment Date 7/7/14 M6 Ext Carlisle|S1 2BQ|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|EM HIGHWAY SERVICES LTD|633014|338.58|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|EVERSHEDS LLP|LOMD247774|730|00006340XXXXXX|B3 3AL|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|FAITHFUL & GOULD|633098|16442.75|Inv No 14015763 dated 16/7/14. M62 J25 to 30 MMS. F&G costs to December 2013. Receipt 2 of 2|WR5 1TX|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|GEORGE CORDEROY & CO|633054|19347.89|PAYMENT OF INVOICE 19719|LU1 1JB|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|HYDER HALCROW M25 JOINT VENTURE|633062|8389.77|PAYMENT OF INV FOR CONTRACT DOCS & SUPPORTING THE TENDER - PACKAGE ORDER REF-1179|GU2 7AR|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|HYDER HALCROW M25 JOINT VENTURE|633103|184105.94|Inv No 1635 dated 16/7/14. M1 J39 to 42 ALR Construction. HHJV costs June 2014|GU2 7AR|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|IMTECH TRAFFIC & INFRA UK LIMITED|633078|36692.26|FEES TO DATE|RG24 8WZ|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|LISTER HAIGH|LOMD247770|15872.25|00013128/XXXXXX|HG5 0HN|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|MOUCHEL LIMITED|633027|93195.66|June 14 fees. Invoice 5000036582|L3 1ES|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|PINSENT MASONS LLP|633106|49706.82|A14 Cambs to Hunts Receipt of Inv 6098244 for 59648.18 inc VAT Pinsent Masons paid 27 05 14|EC2A 4ES|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|THE POLICE AND CRIME COMMISSIONER FOR WEST MIDLANDS|633091|2435.29|Draft Invoice dated:16/7/14 Amt:#2435.29|B4 6NQ|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|TREASURY SOLICITOR|LOMD247782|2848.8|HAL00011656/(XXXXXXL/407268|GL1 2AZ|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|MAJOR PROJECTS|VALUATION OFFICE AGENCY|LOMD247788|2059.8|HAL00010238/XXXXXX/18000002092014|GL4 7RT|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|AMEY LG LIMITED|633067|46745.48|Apps and Certs Receipt - APC72825|OX4 4DQ|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|AMEY LG LIMITED|633067|159.34|Apps and Certs Receipt - APC72825|OX4 4DQ|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|AMEY LG LIMITED|633067|708897.74|Apps and Certs Receipt - APC72825|OX4 4DQ|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|AMEY LG LIMITED|633070|2108.23|Apps and Certs Receipt - APC72827|OX4 4DQ|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|AMEY LG LIMITED|633100|230169.91|Apps and Certs Receipt - APC72822|OX4 4DQ|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|A-ONE + INTEGRATED HIGHWAY SERVICES (CIS)|633063|25.45|Apps and Certs Receipt - APC72702|DL1 1TJ|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|BALFOUR BEATTY MOTT MACDONALD AREA 10 ASC|622247|-1996.25|Apps and Certs Receipt - APC63544|WA3 7PG|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|BALFOUR BEATTY MOTT MACDONALD AREA 10 ASC|630744|-4832|Apps and Certs Receipt - APC71053|WA3 7PG|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|BALFOUR BEATTY MOTT MACDONALD AREA 10 ASC|633022|80947.03|Apps and Certs Receipt - APC72821|WA3 7PG|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|BALFOUR BEATTY MOTT MACDONALD AREA 10 ASC|633024|308.65|Apps and Certs Receipt - APC72810|WA3 7PG|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|BALFOUR BEATTY MOTT MACDONALD AREA 10 ASC|633024|22995.4|Apps and Certs Receipt - APC72810|WA3 7PG|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|BALFOUR BEATTY MOTT MACDONALD AREA 10 ASC|633024|491.55|Apps and Certs Receipt - APC72810|WA3 7PG|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|BALFOUR BEATTY MOTT MACDONALD AREA 10 ASC|633024|73431.66|Apps and Certs Receipt - APC72810|WA3 7PG|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|BALFOUR BEATTY MOTT MACDONALD AREA 10 ASC|633025|1443.82|Apps and Certs Receipt - APC72791|WA3 7PG|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|BALFOUR BEATTY MOTT MACDONALD AREA 10 ASC|633025|536|Apps and Certs Receipt - APC72791|WA3 7PG|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|BALFOUR BEATTY MOTT MACDONALD AREA 10 ASC|633025|1034.52|Apps and Certs Receipt - APC72791|WA3 7PG|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|BALFOUR BEATTY MOTT MACDONALD AREA 10 ASC|633025|11474.6|Apps and Certs Receipt - APC72791|WA3 7PG|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|BAM MORGAN SINDALL JOINT VENTURE|633073|364938|Cert No 1 dated 14/7/14. M1 J41 PPS bmJV costs June 2014|CV21 2DW|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|CONNECT PLUS (M25) LTD|633053|2594.23|M25/1795 A30 Cycleway Phase 3|EN6 3NP|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|622468|-2882.97|Apps and Certs Receipt - APC63589|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633013|1361.9|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633013|14712.05|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633013|5615.16|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633013|4286.82|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633013|119.1|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633016|78.05|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633018|251.46|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633018|142266.02|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633018|5526.23|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633018|1498.43|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633018|2140.21|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633018|42342.42|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633018|306.2|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|EM HIGHWAY SERVICES LTD|633018|6481.23|Apps and Certs Receipt - APC72826|M2 5JB|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|EVERSHEDS LLP|LOMD247779|795.7|00011538/XXXXXX|B3 3AL|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|EVERSHEDS LLP|LOMD247790|2038|00012390/XXXXXX|B3 3AL|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|EVERSHEDS LLP|LOMD247790|680|00012390XXXXXX|B3 3AL|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|IMTECH TRAFFIC & INFRA UK LIMITED|633085|7700|#|RG24 8WZ|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|605871|-2191.73|Apps and Certs Receipt - APC48097|WD3 9AS|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|607722|-7123.11|Apps and Certs Receipt - APC49665|WD3 9AS|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|612346|-1347.21|Apps and Certs Receipt - APC54837|WD3 9AS|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|613522|-2799.14|Apps and Certs Receipt - APC55673|WD3 9AS|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|616032|-1343.36|Apps and Certs Receipt - APC55651|WD3 9AS|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|621035|-1808.36|Apps and Certs Receipt - APC61746|WD3 9AS|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|626190|-668.43|Apps and Certs Receipt - APC65322|WD3 9AS|
Department for Transport|Highways Agency|16/07/2014|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|630986|-583.36|Apps and Certs Receipt - APC71026|WD3 9AS|
