DEPARTMENTALFAMILY|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIER2POSTCODE|2
Department For Transport|Highways England|14/07/2015|PFI Service Payments|NETWORK DELIVERY & DEVELOPMENT|ROAD MANAGEMENT SERVICES (DARRINGTON) LTD|661973|2298098.15|Inv. #90017555 - Toll for June 2015|BA2 3RH|
Department For Transport|Highways England|14/07/2015|Prepaid expenses - programme|FINANCE & BUSINESS SERVICES|THE POLICE AND CRIME COMMISSIONER FOR KENT|662029|4000|Coldharbour SERVICE CHARGE QTR 2 - JULY, AUGUST, SEPTEMBER 2015|ME15 9BZ|
Department For Transport|Highways England|14/07/2015|RM - Electricity costs|NETWORK DELIVERY & DEVELOPMENT|NPOWER LIMITED (NON CIS) CHARGES|662004|8606.08|#|LS14 1WY|
Department For Transport|Highways England|14/07/2015|RM - Electricity costs|NETWORK DELIVERY & DEVELOPMENT|NPOWER LIMITED (NON CIS) CHARGES|662006|2442.77|#|LS14 1WY|
Department For Transport|Highways England|14/07/2015|RM - Utilities|NETWORK DELIVERY & DEVELOPMENT|BRITISH TELECOM PLC (NON CIS) CHARGES|661949|9458.69|Invoice VP05959170Q05401Z4 calls and usage charge for quarter April - June 15NDDE Area 6 Routine Maintenance BT Payments|DH98 1BT|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - ICT (A)|FINANCE & BUSINESS SERVICES|AMEY COMMUNITY LIMITED|661942|10649|Project Manager - XXXXX May 15|OX4 4DQ|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - ICT (A)|FINANCE & BUSINESS SERVICES|AMEY COMMUNITY LIMITED|661943|3830|Project Manager - XXXXX June 15|OX4 4DQ|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|AECOM INFRASTRUCTURE & ENVIRONMENT UK LIMITED|661994|20176.2|iNV nR:6274883 Inv Date: 06 July 2015 Professional Services for Period Ending 26 June 2015|RG21 7PP|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|AECOM INFRASTRUCTURE & ENVIRONMENT UK LIMITED|662038|110517.78|SA fees April-May|RG21 7PP|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|AECOM INFRASTRUCTURE & ENVIRONMENT UK LIMITED|662039|54653.66|DS fees April - May|RG21 7PP|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|A-ONE + INTEGRATED HIGHWAY SERVICES (CIS)|661978|3635.82|Apps and Certs Receipt - APC92383|DL1 1TJ|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|ATKINS LTD|643097|-9184.53|M63 J26 Chain Bar. Invoice for Professional Services Oct 2014.|BS32 4SY|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|ATKINS LTD|645071|-33927.97|M62 J26. Invoice for professional fees Nov 2014. Received 17.12.2014|BS32 4SY|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|ATKINS LTD|647035|-34142.77|M62 Chain Bar - invoice for professional services in Dec 14. Received 20/01/2015|BS32 4SY|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|ATKINS LTD|650686|-40585.95|M62 Chain Bar. Invoice for Jan 2015. received 23/02/2015.|BS32 4SY|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|ATKINS LTD|653601|-36840.67|M62 Chain Bar. Invoice for February fees. received 27.03.2015.|BS32 4SY|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|ATKINS LTD|654829|-20099.99|M62 Chain Bar- invoice for Atkins, for March fees, received 16/04/2015|BS32 4SY|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|ATKINS LTD|657506|-2437.05|M62 J24 Chair Bar - Professional Servcies|BS32 4SY|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|ATKINS LTD|662025|953.03|M1 J39 to 42 Services for March, April, May & June 3/7/15|BS32 4SY|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|CARTER JONAS LLP|LOMD251892|2542.8|00013599/XXXXX|BA1 2JQ|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|EVERSHEDS LLP|LOMD251907|1740.2|HAL00010903/XXXXX1403648|B3 3AL|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|EVERSHEDS LLP|LOMD251914|596|HAL00012374//91403651|B3 3AL|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|EVERSHEDS LLP|LOMD251916|118256.25|00009563/XXXXX|B3 3AL|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|EVERSHEDS LLP|LOMD251918|1274.4|HAL00001328/XXXXX/91403650|B3 3AL|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|EVERSHEDS LLP|LOMD251919|740|HAL00012666/UNKNOWN/91401964|B3 3AL|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|EVERSHEDS LLP|LOMD251976|1608.4|HAL00010966/CXXXXX|B3 3AL|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|FAITHFUL & GOULD|662024|33341.71|Payment for invoice june 2015|WR5 1TX|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|GEORGE CORDEROY & CO|661944|22916.46|Invoice number 20165. Date 30th June 2015. Amount #27,499.75, excluding VAT #22,916.46|LU1 1JB|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|GEORGE CORDEROY & CO|661948|6727.57|IN PAYMENT OF INVOICE NO.20166|LU1 1JB|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|GEORGE CORDEROY & CO|662002|11662.95|M4 J3 - 12 Fee account No 11 - Consultancy Support|LU1 1JB|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|GEORGE CORDEROY & CO|662040|1148.18|June 2015 fees. Invoice 20161|LU1 1JB|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|GEORGE CORDEROY & CO|662041|31986.62|IN PAYMENT OF INVOICE NO.20174|LU1 1JB|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|GEORGE CORDEROY & CO|662043|33395.13|June 2015 fees. Invoice 20160|LU1 1JB|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|HYDER HALCROW M25 JOINT VENTURE|661968|10969.16|#|GU2 7AR|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|HYDER HALCROW M25 JOINT VENTURE|661989|69249.94|IN PAYMENT OF INVOICE FOR FEES UP UNTIL 26/06/15|GU2 7AR|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|HYDER HALCROW M25 JOINT VENTURE|662012|6276.91|Fees up until 24/04/2015|GU2 7AR|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|JACOBS UK LTD|661965|9227.93|#|G2 7HX|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|LANDTEAM FARMS LTD|LOMD251932|16974.9|00013374/LXXXXX|DL10 6RW|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|MOUCHEL LIMITED|661995|5942.96|June Fees|L3 1ES|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|SAVILLS INCORPORATING SMITHS GORE|LOMD251913|16526.74|HAL55555524//26020014|PE1 1QF|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|THE POLICE AND CRIME COMMISSIONER FOR WEST MIDLANDS|662008|2435.29|Invoice for June 2015. Amount 2435.29 No VAT to pay.|B4 6NQ|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|VALUATION OFFICE AGENCY (VOA)|LOMD251911|20698.22|HAL88888581//25000023532015|GL4 7RT|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|VALUATION OFFICE AGENCY (VOA)|LOMD251912|17925|HAL88888581//18000001062015|GL4 7RT|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|VEALE WASBROUGH VIZARDS|LOMD251944|552.3|HAL00013281XXXXX345786|BS1 5WS|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|VEALE WASBROUGH VIZARDS|LOMD251946|726.6|HAL00013285XXXXX/345793|BS1 5WS|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|VEALE WASBROUGH VIZARDS|LOMD251966|705.32|HAL00013587/XXXXX./345881|BS1 5WS|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|MAJOR PROJECTS|VEALE WASBROUGH VIZARDS|LOMD251969|1273.92|HAL00010375XXXXX/345889|BS1 5WS|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|A-ONE + INTEGRATED HIGHWAY SERVICES (CIS)|661938|16398.59|Apps and Certs Receipt - APC93732|DL1 1TJ|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|A-ONE + INTEGRATED HIGHWAY SERVICES (CIS)|661939|23310.62|Apps and Certs Receipt - APC93732|DL1 1TJ|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|ATKINS LTD|662022|2174.55|M1 J41 Pinch Point Services for May & June 3/7/15|BS32 4SY|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|CONNECT PLUS (M25) LTD|662001|424483.12|M25/3003 Dartford free flow charging infrastructure workstream 3 - scheme development|EN6 3NP|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|COSTAIN LIMITED|661987|306726.9|#|SL6 4UB|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|COSTAIN LIMITED|RM3742|-18760.66|PIN 535865 M6 J33 VMS & CCTV|SL6 4UB|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|GENESYS TELECOMMUNICATIONS LTD|639969|-3483.21|A46 MS3's & CCTV NRTS Authorisation Form 10/10/2014|GU14 7BF|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|GENESYS TELECOMMUNICATIONS LTD|649591|10176.72|NRTS Task Authorisation Proforma dated 17 Feb 2015 refers|GU14 7BF|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|GENESYS TELECOMMUNICATIONS LTD|649592|-9982.21|NRTS Task Authorisation Proforma dated 17/2/2015|GU14 7BF|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|PEEKMOUCHEL|631772|-884.52|?Invoice No. 90162213 Dated 30/04/14|AL2 2DQ|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|UK HIGHWAYS M40 LTD|662016|46221.91|AWN 108 Stage 6 Site supervision , commissoning and handover|OX15 3YT|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|VEALE WASBROUGH VIZARDS|LOMD251156|1167.68|HAL00013589XXXXX/345873|BS1 5WS|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|VEALE WASBROUGH VIZARDS|LOMD251180|1447.2|HAL00013592/XXXXX|BS1 5WS|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|VEALE WASBROUGH VIZARDS|LOMD251759|920.38|HAL00012095/XXXXX/345887|BS1 5WS|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|VEALE WASBROUGH VIZARDS|LOMD251955|589.2|HAL00012748/XXXXXG/345835|BS1 5WS|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|VEALE WASBROUGH VIZARDS|LOMD251956|542.7|HAL00012981XXXXX/345882|BS1 5WS|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|VEALE WASBROUGH VIZARDS|LOMD251963|663.3|HAL00013212/XXXXX/345839|BS1 5WS|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|VEALE WASBROUGH VIZARDS|LOMD251968|774.5|HAL00013210/XXXXXI/345929|BS1 5WS|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|VEALE WASBROUGH VIZARDS|LOMD251978|1428|00013069XXXXX|BS1 5WS|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|WSP UK LIMITED|661984|7138.46|Draft Invoice CDF Areas 6 & 8 Cycling Schemes Fees & Disbursements June 2015|RG21 4HJ|
Department For Transport|Highways England|14/07/2015|TA Cost AUC - Programme|NETWORK DELIVERY & DEVELOPMENT|WSP UK LIMITED|661985|3518.05|Draft Invoice CDF Areas 6 & 8 Cycling Schemes Fees & Disbursements June 2015|RG21 4HJ|
Department For Transport|Highways England|14/07/2015|TA Renewal of Roads - Capital|NETWORK DELIVERY & DEVELOPMENT|GEORGE CORDEROY & CO|662045|1291.14|June 2015 fees. Invoice 20160|LU1 1JB|
Department For Transport|Highways England|14/07/2015|TA Renewal of Roads - Capital|NETWORK DELIVERY & DEVELOPMENT|INTERSERVE CONSTRUCTION LIMITED|661940|4384.85|Apps and Certs Receipt - APC93830|B23 7RZ|
Department For Transport|Highways England|14/07/2015|TA Renewal of Structures - Capital|NETWORK DELIVERY & DEVELOPMENT|AECOM INFRASTRUCTURE & ENVIRONMENT UK LIMITED|661956|52694.68|Invoice 6275275 for Site Supervision for period ending 26 June 2015 PSF PO1349 - A138 Chelmer Viaduct Replacement|RG21 7PP|
Department For Transport|Highways England|14/07/2015|TA Renewal of Structures - Capital|NETWORK DELIVERY & DEVELOPMENT|FAITHFUL & GOULD|662030|2305.91|M1 J39 to 42 RoR services up to June 10/7/15|WR5 1TX|
Department For Transport|Highways England|14/07/2015|TA Renewal of Structures - Capital|NETWORK DELIVERY & DEVELOPMENT|FAITHFUL & GOULD|662032|2395.94|M1 J39 to 42 Waterproofing services up to June 10/7/15|WR5 1TX|
Department For Transport|Highways England|14/07/2015|TA Renewal of Structures - Capital|NETWORK DELIVERY & DEVELOPMENT|NETWORK RAIL|662017|24995.35|For invoice 1176058|B1 1RT|
Department For Transport|Highways England|14/07/2015|Travel - Rail - First|FINANCE & BUSINESS SERVICES|REDFERN TRAVEL LTD|198|-112.22|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|Travel - Rail - Standard|COMMERCIAL & PROCUREMENT|REDFERN TRAVEL LTD|198|3802.69|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|Travel - Rail - Standard|CUSTOMER OPERATIONS|REDFERN TRAVEL LTD|198|582.95|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|Travel - Rail - Standard|CUSTOMER OPERATIONS|REDFERN TRAVEL LTD|198|4921.76|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|Travel - Rail - Standard|FINANCE & BUSINESS SERVICES|REDFERN TRAVEL LTD|198|5935.83|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|Travel - Rail - Standard|HUMAN RESOURCES|REDFERN TRAVEL LTD|198|2829.93|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|Travel - Rail - Standard|MAJOR PROJECTS|REDFERN TRAVEL LTD|198|5661.4|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|Travel - Rail - Standard|NETWORK DELIVERY & DEVELOPMENT|REDFERN TRAVEL LTD|198|8123.3|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|Travel - Rail - Standard|NETWORK DELIVERY & DEVELOPMENT|REDFERN TRAVEL LTD|198|58.34|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|Travel - Rail - Standard|PROFESSIONAL & TECHNICAL SOLS|REDFERN TRAVEL LTD|198|9370.35|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|Travel - Rail - Standard|STRATEGY & PLANNING DIR|REDFERN TRAVEL LTD|198|3072.06|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|UK subsistence|COMMERCIAL & PROCUREMENT|REDFERN TRAVEL LTD|198|851.63|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|UK subsistence|CUSTOMER OPERATIONS|REDFERN TRAVEL LTD|198|7960.18|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|UK subsistence|FINANCE & BUSINESS SERVICES|REDFERN TRAVEL LTD|198|2959.82|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|UK subsistence|HUMAN RESOURCES|REDFERN TRAVEL LTD|198|895.37|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|UK subsistence|MAJOR PROJECTS|REDFERN TRAVEL LTD|198|941.77|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|UK subsistence|NETWORK DELIVERY & DEVELOPMENT|REDFERN TRAVEL LTD|198|6519.03|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|UK subsistence|NETWORK DELIVERY & DEVELOPMENT|REDFERN TRAVEL LTD|198|86.92|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|UK subsistence|PROFESSIONAL & TECHNICAL SOLS|REDFERN TRAVEL LTD|198|3778.81|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|UK subsistence|STRATEGY & PLANNING DIR|REDFERN TRAVEL LTD|198|1344.7|HOTELS, RAIL AND AIR TRAVEL 2015-27|BD1 3AZ|
Department For Transport|Highways England|14/07/2015|Water and sewerage|FINANCE & BUSINESS SERVICES|THAMES WATER UTILITIES LTD (NON CIS) WATER USAGE|660447|-650|Guildford water June 2015|SN38 3TW|
Department For Transport|Highways England|15/07/2015|CM - Compensation / Variation Costs|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|662116|1301.71|Apps and Certs Receipt - APC93636|WD3 9AS|
Department For Transport|Highways England|15/07/2015|CM - Compensation / Variation Costs|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|662118|3611.47|Apps and Certs Receipt - APC93634|WD3 9AS|
Department For Transport|Highways England|15/07/2015|CM - Compensation / Variation Costs|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|662119|4692.67|Apps and Certs Receipt - APC93635|WD3 9AS|
Department For Transport|Highways England|15/07/2015|CM - Compensation / Variation Costs|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|662120|12483.64|Apps and Certs Receipt - APC93637|WD3 9AS|
Department For Transport|Highways England|15/07/2015|CM - Compensation / Variation Costs|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|662121|8676.63|Apps and Certs Receipt - APC93638|WD3 9AS|
Department For Transport|Highways England|15/07/2015|CM - Compensation / Variation Costs|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|662122|58193.1|Apps and Certs Receipt - APC93639|WD3 9AS|
Department For Transport|Highways England|15/07/2015|CM - Compensation / Variation Costs|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|662123|24551.53|Apps and Certs Receipt - APC93640|WD3 9AS|
Department For Transport|Highways England|15/07/2015|CM - External Technical Consultant Costs|NETWORK DELIVERY & DEVELOPMENT|BLACK DRAIN DRAINAGE BOARD|662138|4111.2|Black Drainage Board BD/10/2015 15/07/2015|DN6 7FE|
Department For Transport|Highways England|15/07/2015|CM - External Technical Consultant Costs|NETWORK DELIVERY & DEVELOPMENT|DANVM DRAINAGE COMMISSIONERS|662135|18455.9|DANVM DVM/102/2015 15/07/2015|DN6 7FE|
Department For Transport|Highways England|15/07/2015|CM - Lump Sum Fees|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|662091|621357.67|Apps and Certs Receipt - APC93591|WD3 9AS|
Department For Transport|Highways England|15/07/2015|CM - Lump Sum Fees|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|662091|50000|Apps and Certs Receipt - APC93591|WD3 9AS|
Department For Transport|Highways England|15/07/2015|CM - Third Party Damage|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|662124|259751.61|Apps and Certs Receipt - APC93908|WD3 9AS|
Department For Transport|Highways England|15/07/2015|CM - Time Based Charges|NETWORK DELIVERY & DEVELOPMENT|AECOM|662052|28716.11|AECOM Fees for June 2015 - NDDE Region Modelling 2015-16|AL1 9WQ|
Department For Transport|Highways England|15/07/2015|CM - Time Based Charges|NETWORK DELIVERY & DEVELOPMENT|AECOM|662055|24425|AECOM Survey Fees for June 2015|AL1 9WQ|
Department For Transport|Highways England|15/07/2015|CM - Time Based Charges|NETWORK DELIVERY & DEVELOPMENT|AECOM|662057|27931.62|AECOM Fees for June 2015 - NDDE Development Planning 2015-16|AL1 9WQ|
Department For Transport|Highways England|15/07/2015|CM - Time Based Charges|NETWORK DELIVERY & DEVELOPMENT|AECOM|662058|1586|AECOM Fees for June 2015 - Contract Management 2015-16|AL1 9WQ|
Department For Transport|Highways England|15/07/2015|CM - Time Based Charges|NETWORK DELIVERY & DEVELOPMENT|BRITISH TELECOM PLC (NON CIS) CHARGES|662087|942.4|BT VP86739170Q054018J 15/07/2015|DH98 1BT|
Department For Transport|Highways England|15/07/2015|CM - Time Based Charges|NETWORK DELIVERY & DEVELOPMENT|TRUVELO (UK) LTD|662080|1570|Invoice 12795 Annual Truvelo Site Calibrations - Site 36 - A14 Bythorn E|TW8 8LG|
Department For Transport|Highways England|15/07/2015|CM - Time Based Charges|PROFESSIONAL & TECHNICAL SOLS|FUGRO APERIO LTD|662095|47440.34|Work for May/June 2015 (July inv) pt1 (#47,440.34)|CB25 9BD|
Department For Transport|Highways England|15/07/2015|Consultancy Fees - Training & Development|MAJOR PROJECTS|GEORGE CORDEROY & CO|662054|3449.96|Consultancy Fees for June 2015 - Mr XXXXX and XXXXX - relating to PO 1487|LU1 1JB|
Department For Transport|Highways England|15/07/2015|Contractor Costs|CUSTOMER OPERATIONS|ATKINS LTD|662076|52855.95|June 2015|BS32 4SY|
Department For Transport|Highways England|15/07/2015|Contractor Costs|CUSTOMER OPERATIONS|BURLINGTON UNIFORMS LTD|662093|5742|Burlingtons invoice 443895 - COV gloves and Bump cap - #4785.00|EC1V 1JN|
Department For Transport|Highways England|15/07/2015|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|AECOM|660159|809.01|June 2015 Payment|AL1 9WQ|
Department For Transport|Highways England|15/07/2015|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|AECOM|660160|-2609.81|June 2015 Payment|AL1 9WQ|
Department For Transport|Highways England|15/07/2015|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|CONNECT PLUS (M25) LTD|662082|26854.41|M25/2947 Dartford tunnel speed survey|EN6 3NP|
Department For Transport|Highways England|15/07/2015|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|GENESYS TELECOMMUNICATIONS LTD|662063|4726659.47|July 2015 BSC|GU14 7BF|
Department For Transport|Highways England|15/07/2015|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|JACOBS UK LTD|660859|592.29|Site Supervision (June)|G2 7HX|
Department For Transport|Highways England|15/07/2015|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|JACOBS UK LTD|660868|959.23|Major works design (June)|G2 7HX|
Department For Transport|Highways England|15/07/2015|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|NETWORK RAIL|662136|6471.03|Invoice 1174841 remit number 60337 relating to Basic Asset Protection agreement for the visual inspeaction of outside party bridges over the railway - Gt Yarmouth, final invoice for current costs. Area 6 Network Rail payments|B1 1RT|
Department For Transport|Highways England|15/07/2015|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|OVE ARUP & PARTNERS|662065|6585|#|NE1 3PL|
Department For Transport|Highways England|15/07/2015|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|PRICEWATERHOUSECOOPERS|662113|97198.5|PWC 2014 Winter/Spring|E14 9SQ|
Department For Transport|Highways England|15/07/2015|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|PRICEWATERHOUSECOOPERS|662114|19321|PWC March 15 Work|E14 9SQ|
Department For Transport|Highways England|15/07/2015|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|RAYNESWAY CONSTRUCTION LIMITED|662009|11250|BKN/10L Stabilise ground and provide fence|NE12 8BU|
Department For Transport|Highways England|15/07/2015|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|662124|18426.13|Apps and Certs Receipt - APC93908|WD3 9AS|
Department For Transport|Highways England|15/07/2015|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|662124|9478.3|Apps and Certs Receipt - APC93908|WD3 9AS|
Department For Transport|Highways England|15/07/2015|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|662124|102971.17|Apps and Certs Receipt - APC93908|WD3 9AS|
Department For Transport|Highways England|15/07/2015|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|662124|53400.28|Apps and Certs Receipt - APC93908|WD3 9AS|
Department For Transport|Highways England|15/07/2015|Contractor Costs|NETWORK DELIVERY & DEVELOPMENT|SKANSKA CONSTRUCTION UK LTD|662124|513.45|Apps and Certs Receipt - APC93908|WD3 9AS|
